"","numero","data_autuacao","data_baixa","tem_rito_art_12","em_tramitacao","resultado"
"1",316,2014-01-22,2025-05-27,"Não","Não","Prejudicado"
"2",317,2014-02-10,2016-06-21,"Não","Não","Sem mérito"
"3",318,2014-02-24,2014-10-23,"Não","Não","Sem mérito"
"4",319,2014-04-03,2015-02-18,"Não","Não","Sem mérito"
"5",320,2014-05-15,NA,"Não","Sim","Sem julgamento"
"6",321,2014-05-25,NA,"Não","Sim","Sem julgamento"
"7",322,2014-05-30,NA,"Não","Sim","Sem julgamento"
"8",323,2014-06-27,2022-09-26,"Sim","Não","Procedente"
"9",324,2014-08-25,2021-10-01,"Sim","Não","Procedente"
"10",325,2014-08-27,2022-05-06,"Não","Não","Procedente em parte"
"11",326,2014-09-09,2016-03-07,"Não","Não","Prejudicado"
"12",327,2014-09-16,2014-11-06,"Não","Não","Sem mérito"
"13",328,2014-10-03,2021-08-12,"Não","Não","Procedente"
"14",329,2014-12-02,2015-02-18,"Não","Não","Sem mérito"
"15",330,2015-01-16,2020-04-06,"Não","Não","Sem mérito"
"16",332,2015-02-20,2019-08-30,"Não","Não","Sem mérito"
"17",333,2015-02-26,2015-06-09,"Não","Não","Sem mérito"
"18",334,2015-03-09,2023-06-05,"Não","Não","Procedente"
"19",335,2015-03-13,2021-09-27,"Sim","Não","Procedente"
"20",336,2015-03-17,2021-05-19,"Não","Não","Improcedente"
"21",337,2015-03-23,2019-08-09,"Não","Não","Procedente"
"22",338,2015-03-23,NA,"Não","Sim","Sem julgamento"
"23",339,2015-03-26,2016-08-16,"Não","Não","Procedente"
"24",340,2015-04-08,2019-06-07,"Não","Não","Sem mérito"
"25",341,2015-04-09,2023-03-10,"Não","Não","Procedente em parte"
"26",342,2015-04-16,NA,"Não","Sim","Sem julgamento"
"27",343,2015-05-07,2016-11-24,"Não","Não","Sem mérito"
"28",344,2015-05-07,2020-09-23,"Não","Não","Sem mérito"
"29",345,2015-05-16,2015-06-16,"Não","Não","Sem mérito"
"30",346,2015-05-22,2015-08-13,"Não","Não","Sem mérito"
"31",347,2015-05-27,NA,"Não","Sim","Sem julgamento"
"32",348,2015-06-01,NA,"Não","Sim","Sem julgamento"
"33",349,2015-06-01,2020-09-21,"Não","Não","Sem mérito"
"34",350,2015-06-16,2016-12-15,"Não","Não","Sem mérito"
"35",351,2015-06-17,NA,"Não","Sim","Sem julgamento"
"36",352,2015-06-17,2015-08-12,"Não","Não","Sem mérito"
"37",353,2015-06-30,2021-09-27,"Não","Não","Procedente em parte"
"38",354,2015-07-02,2016-10-27,"Não","Não","Sem mérito"
"39",355,2015-07-07,2019-10-21,"Não","Não","Sem mérito"
"40",356,2015-07-27,2018-06-08,"Não","Não","Sem mérito"
"41",357,2015-07-28,2021-10-18,"Sim","Não","Procedente"
"42",358,2015-08-03,2015-10-21,"Não","Não","Sem mérito"
"43",359,2015-08-05,2015-10-22,"Não","Não","Sem mérito"
"44",360,2015-08-06,2019-11-04,"Não","Não","Sem mérito"
"45",361,2015-08-10,2019-10-09,"Não","Não","Sem mérito"
"46",362,2015-08-13,2024-05-02,"Não","Não","Procedente em parte"
"47",363,2015-08-18,2015-09-10,"Não","Não","Sem mérito"
"48",364,2015-08-21,2019-10-16,"Não","Não","Improcedente"
"49",365,2015-08-24,2018-08-24,"Sim","Não","Sem mérito"
"50",366,2015-08-31,2025-03-14,"Sim","Não","Improcedente"
"51",367,2015-09-01,2021-03-11,"Não","Não","Improcedente"
"52",368,2015-09-02,2021-09-24,"Não","Não","Procedente"
"53",369,2015-09-18,2020-10-28,"Não","Não","Sem mérito"
"54",370,2015-09-21,2020-10-20,"Não","Não","Procedente"
"55",371,2015-10-07,2016-02-16,"Não","Não","Sem mérito"
"56",372,2015-10-28,2017-04-17,"Não","Não","Prejudicado"
"57",375,2015-11-04,2019-04-22,"Não","Não","Sem mérito"
"58",376,2015-11-19,2020-05-22,"Não","Não","Sem mérito"
"59",377,2015-11-23,2017-09-04,"Não","Não","Sem mérito"
"60",378,2015-12-03,2016-08-25,"Não","Não","Procedente em parte"
"61",379,2015-12-05,NA,"Não","Sim","Sem julgamento"
"62",380,2016-01-15,2020-06-19,"Não","Não","Prejudicado"
"63",381,2016-01-19,2023-05-09,"Não","Não","Improcedente"
"64",382,2016-01-28,2016-03-10,"Não","Não","Sem mérito"
"65",383,2016-01-28,2016-03-10,"Não","Não","Sem mérito"
"66",384,2016-02-01,2020-10-20,"Não","Não","Procedente"
"67",385,2016-02-15,2017-11-22,"Não","Não","Sem mérito"
"68",386,2016-02-22,2020-11-10,"Sim","Não","Sem mérito"
"69",387,2016-03-01,2017-12-07,"Não","Não","Procedente"
"70",388,2016-03-03,2016-08-25,"Não","Não","Procedente em parte"
"71",389,2016-03-10,2020-11-02,"Não","Não","Procedente"
"72",390,2016-03-17,2017-09-18,"Não","Não","Sem mérito"
"73",391,2016-03-17,2017-10-09,"Não","Não","Sem mérito"
"74",392,2016-03-30,2017-02-23,"Não","Não","Sem mérito"
"75",393,2016-04-08,2017-05-10,"Não","Não","Sem mérito"
"76",394,2016-04-11,2017-03-16,"Não","Não","Sem mérito"
"77",395,2016-04-11,2019-10-23,"Sim","Não","Procedente"
"78",396,2016-04-14,2020-03-19,"Não","Não","Sem mérito"
"79",397,2016-04-14,2016-05-23,"Não","Não","Sem mérito"
"80",398,2016-04-15,2022-08-31,"Sim","Não","Sem mérito"
"81",399,2016-05-02,2020-06-09,"Não","Não","Sem mérito"
"82",400,2016-05-02,NA,"Não","Sim","Sem julgamento"
"83",401,2016-05-02,2023-05-08,"Não","Não","Improcedente"
