"","classe","numero","data_autuacao","data_baixa","evento","tempo"
"1","ADPF","1",2000-01-27,2003-12-01,1,1404
"2","ADPF","2",2000-03-03,2011-01-04,1,3959
"3","ADPF","3",2000-04-11,2004-03-19,1,1438
"4","ADPF","4",2000-04-28,2006-10-06,1,2352
"5","ADPF","5",2000-08-08,2000-09-18,1,41
"6","ADPF","6",2000-08-23,2014-12-03,1,5215
"7","ADPF","7",2000-09-22,2015-11-16,1,5533
"8","ADPF","8",2000-11-21,2006-05-25,1,2011
"9","ADPF","9",2000-11-22,2011-02-24,1,3746
"10","ADPF","10",2000-12-05,2019-09-11,1,6854
"11","ADPF","11",2001-01-30,2007-10-25,1,2459
"12","ADPF","12",2001-03-19,2001-05-16,1,58
"13","ADPF","13",2001-03-28,2001-04-24,1,27
"14","ADPF","14",2001-04-23,2014-05-15,1,4770
"15","ADPF","15",2001-08-21,2006-03-14,1,1666
"16","ADPF","16",2001-08-30,2012-04-25,1,3891
"17","ADPF","17",2001-09-20,2003-03-12,1,538
"18","ADPF","18",2001-09-21,2002-08-16,1,329
"19","ADPF","19",2001-10-03,2002-01-18,1,107
"20","ADPF","20",2001-10-09,2001-11-20,1,42
"21","ADPF","21",2001-10-11,2002-03-19,1,159
"22","ADPF","22",2001-10-11,2004-03-23,1,894
"23","ADPF","23",2001-10-11,2002-03-20,1,160
"24","ADPF","24",2001-11-19,2020-09-14,1,6874
"25","ADPF","25",2001-12-17,2002-08-19,1,245
"26","ADPF","26",2001-12-21,2017-12-07,1,5830
"27","ADPF","27",2002-01-25,2002-04-15,1,80
"28","ADPF","28",2002-01-25,2002-08-19,1,206
"29","ADPF","29",2002-03-04,2002-04-04,1,31
"30","ADPF","30",2002-03-12,2002-04-15,1,34
"31","ADPF","31",2002-03-12,2002-04-15,1,34
"32","ADPF","32",2002-05-16,2002-07-17,1,62
"33","ADPF","33",2002-07-08,2008-05-16,1,2139
"34","ADPF","34",2002-08-14,2016-06-30,1,5069
"35","ADPF","35",2002-08-14,2004-04-02,1,597
"36","ADPF","36",2002-08-27,2023-05-23,1,7574
"37","ADPF","37",2003-01-02,2010-03-30,1,2644
"38","ADPF","38",2003-02-20,2003-07-28,1,158
"39","ADPF","39",2003-02-25,2007-11-08,1,1717
"40","ADPF","40",2003-04-09,2015-10-21,1,4578
"41","ADPF","41",2003-04-23,2020-10-05,1,6375
"42","ADPF","42",2003-06-30,2006-05-15,1,1050
"43","ADPF","43",2003-08-06,2004-02-17,1,195
"44","ADPF","44",2003-09-18,2003-10-09,1,21
