"","classe","numero","data_autuacao","data_baixa","relator_atual","evento","tempo"
"1","ADPF","316",2014-01-22,2025-05-27,"MIN. ANDRÉ MENDONÇA",1,4143
"2","ADPF","317",2014-02-10,2016-06-21,"MIN. CELSO DE MELLO",1,862
"3","ADPF","318",2014-02-24,2014-10-23,"MIN. CELSO DE MELLO",1,241
"4","ADPF","319",2014-04-03,2015-02-18,"MIN. DIAS TOFFOLI",1,321
"5","ADPF","320",2014-05-15,2025-06-06,"MIN. DIAS TOFFOLI",0,4040
"6","ADPF","321",2014-05-25,2025-06-06,"MIN. ANDRÉ MENDONÇA",0,4030
"7","ADPF","322",2014-05-30,2025-06-06,"MIN. ANDRÉ MENDONÇA",0,4025
"8","ADPF","323",2014-06-27,2022-09-26,"MIN. GILMAR MENDES",1,3013
"9","ADPF","324",2014-08-25,2021-10-01,"MIN. LUÍS ROBERTO BARROSO",1,2594
"10","ADPF","325",2014-08-27,2022-05-06,"MIN. ROSA WEBER",1,2809
"11","ADPF","326",2014-09-09,2016-03-07,"MIN. CÁRMEN LÚCIA",1,545
"12","ADPF","327",2014-09-16,2014-11-06,"MIN. MARCO AURÉLIO",1,51
"13","ADPF","328",2014-10-03,2021-08-12,"MIN. MARCO AURÉLIO",1,2505
"14","ADPF","329",2014-12-02,2015-02-18,"MIN. CELSO DE MELLO",1,78
"15","ADPF","330",2015-01-16,2020-04-06,"MIN. CELSO DE MELLO",1,1907
"16","ADPF","332",2015-02-20,2019-08-30,"MIN. GILMAR MENDES",1,1652
"17","ADPF","333",2015-02-26,2015-06-09,"MIN. CÁRMEN LÚCIA",1,103
"18","ADPF","334",2015-03-09,2023-06-05,"MIN. ALEXANDRE DE MORAES",1,3010
"19","ADPF","335",2015-03-13,2021-09-27,"MIN. LUÍS ROBERTO BARROSO",1,2390
"20","ADPF","336",2015-03-17,2021-05-19,"MIN. LUIZ FUX",1,2255
"21","ADPF","337",2015-03-23,2019-08-09,"MIN. MARCO AURÉLIO",1,1600
"22","ADPF","338",2015-03-23,2025-06-06,"MIN. LUÍS ROBERTO BARROSO",0,3728
"23","ADPF","339",2015-03-26,2016-08-16,"MIN. LUIZ FUX",1,509
"24","ADPF","340",2015-04-08,2019-06-07,"MIN. LUÍS ROBERTO BARROSO",1,1521
"25","ADPF","341",2015-04-09,2023-03-10,"MIN. LUÍS ROBERTO BARROSO",1,2892
"26","ADPF","342",2015-04-16,2025-06-06,"MIN. ANDRÉ MENDONÇA",0,3704
"27","ADPF","343",2015-05-07,2016-11-24,"MIN. CÁRMEN LÚCIA",1,567
"28","ADPF","344",2015-05-07,2020-09-23,"MIN. MARCO AURÉLIO",1,1966
"29","ADPF","345",2015-05-16,2015-06-16,"MIN. LUÍS ROBERTO BARROSO",1,31
"30","ADPF","346",2015-05-22,2015-08-13,"MIN. LUÍS ROBERTO BARROSO",1,83
"31","ADPF","347",2015-05-27,2025-06-06,"MIN. LUÍS ROBERTO BARROSO",0,3663
"32","ADPF","348",2015-06-01,2025-06-06,"MIN. ANDRÉ MENDONÇA",0,3658
"33","ADPF","349",2015-06-01,2020-09-21,"MIN. MARCO AURÉLIO",1,1939
"34","ADPF","350",2015-06-16,2016-12-15,"MIN. DIAS TOFFOLI",1,548
"35","ADPF","351",2015-06-17,2025-06-06,"MIN. NUNES MARQUES",0,3642
"36","ADPF","352",2015-06-17,2015-08-12,"MIN. CÁRMEN LÚCIA",1,56
"37","ADPF","353",2015-06-30,2021-09-27,"MIN. CÁRMEN LÚCIA",1,2281
"38","ADPF","354",2015-07-02,2016-10-27,"MIN. LUÍS ROBERTO BARROSO",1,483
"39","ADPF","355",2015-07-07,2019-10-21,"MIN. GILMAR MENDES",1,1567
"40","ADPF","356",2015-07-27,2018-06-08,"MIN. GILMAR MENDES",1,1047
"41","ADPF","357",2015-07-28,2021-10-18,"MIN. CÁRMEN LÚCIA",1,2274
"42","ADPF","358",2015-08-03,2015-10-21,"MIN. LUÍS ROBERTO BARROSO",1,79
"43","ADPF","359",2015-08-05,2015-10-22,"MIN. LUÍS ROBERTO BARROSO",1,78
"44","ADPF","360",2015-08-06,2019-11-04,"MIN. LUÍS ROBERTO BARROSO",1,1551
"45","ADPF","361",2015-08-10,2019-10-09,"MIN. MARCO AURÉLIO",1,1521
"46","ADPF","362",2015-08-13,2024-05-02,"MIN. ALEXANDRE DE MORAES",1,3185
"47","ADPF","363",2015-08-18,2015-09-10,"MIN. CELSO DE MELLO",1,23
"48","ADPF","364",2015-08-21,2019-10-16,"MIN. CÁRMEN LÚCIA",1,1517
"49","ADPF","365",2015-08-24,2018-08-24,"MIN. GILMAR MENDES",1,1096
"50","ADPF","366",2015-08-31,2025-03-14,"MIN. GILMAR MENDES",1,3483
"51","ADPF","367",2015-09-01,2021-03-11,"MIN. CÁRMEN LÚCIA",1,2018
"52","ADPF","368",2015-09-02,2021-09-24,"MIN. GILMAR MENDES",1,2214
"53","ADPF","369",2015-09-18,2020-10-28,"MIN. LUIZ FUX",1,1867
"54","ADPF","370",2015-09-21,2020-10-20,"MIN. ROSA WEBER",1,1856
"55","ADPF","371",2015-10-07,2016-02-16,"MIN. EDSON FACHIN",1,132
"56","ADPF","372",2015-10-28,2017-04-17,"MIN. ROSA WEBER",1,537
"57","ADPF","375",2015-11-04,2019-04-22,"MIN. CÁRMEN LÚCIA",1,1265
"58","ADPF","376",2015-11-19,2020-05-22,"MIN. CÁRMEN LÚCIA",1,1646
"59","ADPF","377",2015-11-23,2017-09-04,"MIN. LUIZ FUX",1,651
"60","ADPF","378",2015-12-03,2016-08-25,"MIN. LUÍS ROBERTO BARROSO",1,266
"61","ADPF","379",2015-12-05,2025-06-06,"MIN. LUIZ FUX",0,3471
