"","numero","data_autuacao","data_baixa","tem_rito_art_12","resultado","evento","tempo"
"1",316,2014-01-22,2025-05-27,"Não","Prejudicado",1,4143
"2",317,2014-02-10,2016-06-21,"Não","Sem mérito",1,862
"3",318,2014-02-24,2014-10-23,"Não","Sem mérito",1,241
"4",319,2014-04-03,2015-02-18,"Não","Sem mérito",1,321
"5",323,2014-06-27,2022-09-26,"Sim","Procedente",1,3013
"6",324,2014-08-25,2021-10-01,"Sim","Procedente",1,2594
"7",325,2014-08-27,2022-05-06,"Não","Procedente em parte",1,2809
"8",326,2014-09-09,2016-03-07,"Não","Prejudicado",1,545
"9",327,2014-09-16,2014-11-06,"Não","Sem mérito",1,51
"10",328,2014-10-03,2021-08-12,"Não","Procedente",1,2505
"11",329,2014-12-02,2015-02-18,"Não","Sem mérito",1,78
"12",330,2015-01-16,2020-04-06,"Não","Sem mérito",1,1907
"13",332,2015-02-20,2019-08-30,"Não","Sem mérito",1,1652
"14",333,2015-02-26,2015-06-09,"Não","Sem mérito",1,103
"15",334,2015-03-09,2023-06-05,"Não","Procedente",1,3010
"16",335,2015-03-13,2021-09-27,"Sim","Procedente",1,2390
"17",336,2015-03-17,2021-05-19,"Não","Improcedente",1,2255
"18",337,2015-03-23,2019-08-09,"Não","Procedente",1,1600
"19",339,2015-03-26,2016-08-16,"Não","Procedente",1,509
"20",340,2015-04-08,2019-06-07,"Não","Sem mérito",1,1521
"21",341,2015-04-09,2023-03-10,"Não","Procedente em parte",1,2892
"22",343,2015-05-07,2016-11-24,"Não","Sem mérito",1,567
"23",344,2015-05-07,2020-09-23,"Não","Sem mérito",1,1966
"24",345,2015-05-16,2015-06-16,"Não","Sem mérito",1,31
"25",346,2015-05-22,2015-08-13,"Não","Sem mérito",1,83
"26",349,2015-06-01,2020-09-21,"Não","Sem mérito",1,1939
"27",350,2015-06-16,2016-12-15,"Não","Sem mérito",1,548
"28",352,2015-06-17,2015-08-12,"Não","Sem mérito",1,56
"29",353,2015-06-30,2021-09-27,"Não","Procedente em parte",1,2281
"30",354,2015-07-02,2016-10-27,"Não","Sem mérito",1,483
"31",355,2015-07-07,2019-10-21,"Não","Sem mérito",1,1567
"32",356,2015-07-27,2018-06-08,"Não","Sem mérito",1,1047
"33",357,2015-07-28,2021-10-18,"Sim","Procedente",1,2274
"34",358,2015-08-03,2015-10-21,"Não","Sem mérito",1,79
"35",359,2015-08-05,2015-10-22,"Não","Sem mérito",1,78
"36",360,2015-08-06,2019-11-04,"Não","Sem mérito",1,1551
"37",361,2015-08-10,2019-10-09,"Não","Sem mérito",1,1521
"38",362,2015-08-13,2024-05-02,"Não","Procedente em parte",1,3185
"39",363,2015-08-18,2015-09-10,"Não","Sem mérito",1,23
"40",364,2015-08-21,2019-10-16,"Não","Improcedente",1,1517
"41",365,2015-08-24,2018-08-24,"Sim","Sem mérito",1,1096
"42",366,2015-08-31,2025-03-14,"Sim","Improcedente",1,3483
"43",367,2015-09-01,2021-03-11,"Não","Improcedente",1,2018
"44",368,2015-09-02,2021-09-24,"Não","Procedente",1,2214
"45",369,2015-09-18,2020-10-28,"Não","Sem mérito",1,1867
"46",370,2015-09-21,2020-10-20,"Não","Procedente",1,1856
"47",371,2015-10-07,2016-02-16,"Não","Sem mérito",1,132
"48",372,2015-10-28,2017-04-17,"Não","Prejudicado",1,537
"49",375,2015-11-04,2019-04-22,"Não","Sem mérito",1,1265
"50",376,2015-11-19,2020-05-22,"Não","Sem mérito",1,1646
"51",377,2015-11-23,2017-09-04,"Não","Sem mérito",1,651
"52",378,2015-12-03,2016-08-25,"Não","Procedente em parte",1,266
"53",380,2016-01-15,2020-06-19,"Não","Prejudicado",1,1617
"54",381,2016-01-19,2023-05-09,"Não","Improcedente",1,2667
"55",382,2016-01-28,2016-03-10,"Não","Sem mérito",1,42
"56",383,2016-01-28,2016-03-10,"Não","Sem mérito",1,42
"57",384,2016-02-01,2020-10-20,"Não","Procedente",1,1723
"58",385,2016-02-15,2017-11-22,"Não","Sem mérito",1,646
"59",386,2016-02-22,2020-11-10,"Sim","Sem mérito",1,1723
"60",387,2016-03-01,2017-12-07,"Não","Procedente",1,646
"61",388,2016-03-03,2016-08-25,"Não","Procedente em parte",1,175
"62",389,2016-03-10,2020-11-02,"Não","Procedente",1,1698
"63",390,2016-03-17,2017-09-18,"Não","Sem mérito",1,550
"64",391,2016-03-17,2017-10-09,"Não","Sem mérito",1,571
"65",392,2016-03-30,2017-02-23,"Não","Sem mérito",1,330
"66",393,2016-04-08,2017-05-10,"Não","Sem mérito",1,397
"67",394,2016-04-11,2017-03-16,"Não","Sem mérito",1,339
"68",395,2016-04-11,2019-10-23,"Sim","Procedente",1,1290
"69",396,2016-04-14,2020-03-19,"Não","Sem mérito",1,1435
"70",397,2016-04-14,2016-05-23,"Não","Sem mérito",1,39
"71",398,2016-04-15,2022-08-31,"Sim","Sem mérito",1,2329
"72",399,2016-05-02,2020-06-09,"Não","Sem mérito",1,1499
"73",401,2016-05-02,2023-05-08,"Não","Improcedente",1,2562
"74",404,2016-05-04,2019-10-07,"Não","Sem mérito",1,1251
"75",405,2016-05-05,2021-08-16,"Não","Procedente em parte",1,1929
"76",406,2016-05-06,2017-02-21,"Não","Sem mérito",1,291
"77",407,2016-05-09,2016-06-08,"Não","Sem mérito",1,30
"78",408,2016-05-13,2017-11-17,"Não","Sem mérito",1,553
"79",409,2016-05-23,2016-09-28,"Não","Sem mérito",1,128
"80",410,2016-05-24,2016-06-24,"Não","Sem mérito",1,31
"81",411,2016-05-24,2021-08-18,"Não","Sem mérito",1,1912
"82",412,2016-06-08,2020-03-10,"Não","Sem mérito",1,1371
"83",413,2016-06-16,2018-08-14,"Não","Procedente",1,789
"84",414,2016-07-08,2017-03-30,"Não","Sem mérito",1,265
"85",415,2016-07-14,2018-10-01,"Não","Sem mérito",1,809
"86",416,2016-07-19,2017-11-24,"Não","Prejudicado",1,493
"87",417,2016-07-27,2017-08-22,"Não","Sem mérito",1,391
"88",418,2016-07-27,2020-05-15,"Não","Improcedente",1,1388
"89",419,2016-08-05,2021-09-01,"Não","Improcedente",1,1853
"90",421,2016-08-24,2017-06-16,"Não","Sem mérito",1,296
"91",423,2016-10-04,2020-07-09,"Sim","Sem mérito",1,1374
"92",425,2016-10-31,2018-11-16,"Não","Prejudicado",1,746
"93",426,2016-11-03,2021-11-26,"Não","Sem mérito",1,1849
"94",427,2016-11-04,2022-12-01,"Não","Sem mérito",1,2218
"95",428,2016-11-07,2017-05-26,"Não","Sem mérito",1,200
"96",430,2016-11-11,2023-05-19,"Não","Sem mérito",1,2380
"97",431,2016-11-11,2017-03-21,"Não","Sem mérito",1,130
"98",432,2016-11-11,2017-02-13,"Não","Sem mérito",1,94
"99",435,2016-11-23,2018-10-02,"Não","Sem mérito",1,678
"100",436,2016-11-30,2017-02-24,"Não","Sem mérito",1,86
"101",437,2016-12-20,2020-10-26,"Não","Procedente",1,1406
"102",438,2016-12-20,2020-02-07,"Não","Sem mérito",1,1144
"103",439,2017-01-02,2017-06-13,"Não","Sem mérito",1,162
"104",440,2017-02-15,2020-02-10,"Não","Sem mérito",1,1090
"105",441,2017-02-24,2017-08-25,"Não","Sem mérito",1,182
"106",443,2017-03-14,2020-05-19,"Não","Sem mérito",1,1162
"107",444,2017-03-14,2020-06-18,"Sim","Procedente",1,1192
"108",446,2017-03-22,2019-11-06,"Não","Procedente em parte",1,959
"109",447,2017-03-29,2017-08-23,"Não","Sem mérito",1,147
"110",448,2017-04-05,2020-12-15,"Não","Sem mérito",1,1350
"111",449,2017-04-07,2019-11-04,"Não","Procedente",1,941
"112",450,2017-04-18,2019-10-08,"Sim","Sem mérito",1,903
"113",451,2017-04-27,2019-02-21,"Não","Sem mérito",1,665
"114",452,2017-05-03,2020-05-27,"Não","Procedente em parte",1,1120
"115",453,2017-05-04,2019-12-13,"Não","Sem mérito",1,953
"116",455,2017-05-11,2023-08-14,"Sim","Sem mérito",1,2286
"117",456,2017-05-16,2017-08-31,"Não","Sem mérito",1,107
"118",457,2017-05-22,2020-06-16,"Não","Procedente",1,1121
"119",458,2017-05-23,2019-11-22,"Não","Sem mérito",1,913
"120",459,2017-05-25,2017-08-03,"Não","Prejudicado",1,70
"121",460,2017-06-06,2020-09-11,"Não","Procedente",1,1193
"122",461,2017-06-06,2020-10-08,"Não","Procedente",1,1220
"123",462,2017-06-06,2024-08-30,"Não","Procedente",1,2642
"124",463,2017-06-07,2019-03-08,"Não","Prejudicado",1,639
"125",464,2017-06-08,2018-11-08,"Não","Sem mérito",1,518
"126",465,2017-06-08,2020-10-01,"Não","Procedente",1,1211
"127",467,2017-06-08,2020-08-14,"Não","Procedente",1,1163
"128",468,2017-06-09,2018-06-27,"Não","Sem mérito",1,383
"129",469,2017-06-20,2017-08-24,"Não","Sem mérito",1,65
"130",470,2017-06-22,2022-09-01,"Não","Sem mérito",1,1897
"131",471,2017-06-26,2020-05-26,"Sim","Sem mérito",1,1065
"132",472,2017-07-13,2017-11-06,"Não","Sem mérito",1,116
"133",474,2017-08-19,2024-09-30,"Não","Procedente em parte",1,2599
"134",475,2017-08-19,2023-05-12,"Sim","Improcedente",1,2092
"135",476,2017-08-22,2020-03-20,"Não","Prejudicado",1,941
"136",477,2017-08-24,2019-10-29,"Não","Prejudicado",1,796
"137",478,2017-08-29,2018-02-26,"Não","Sem mérito",1,181
"138",479,2017-08-30,2017-11-21,"Não","Sem mérito",1,83
"139",480,2017-09-15,2018-05-04,"Não","Sem mérito",1,231
"140",481,2017-09-15,2018-08-07,"Não","Sem mérito",1,326
"141",482,2017-09-15,2020-04-06,"Não","Procedente",1,934
"142",483,2017-09-21,2019-06-25,"Sim","Sem mérito",1,642
"143",484,2017-09-25,2020-11-19,"Não","Procedente em parte",1,1151
"144",485,2017-09-25,2021-02-17,"Não","Procedente",1,1241
"145",486,2017-10-06,2023-09-06,"Não","Procedente em parte",1,2161
"146",487,2017-10-09,2018-03-23,"Não","Sem mérito",1,165
"147",488,2017-10-11,2024-03-04,"Não","Sem mérito",1,2336
"148",489,2017-10-20,2020-04-02,"Não","Prejudicado",1,895
"149",491,2017-10-20,2020-06-08,"Não","Prejudicado",1,962
"150",492,2017-10-23,2021-02-08,"Sim","Procedente",1,1204
"151",493,2017-10-23,2021-02-12,"Não","Procedente",1,1208
"152",494,2017-10-27,2023-03-24,"Sim","Sem mérito",1,1974
"153",495,2017-10-30,2023-05-26,"Sim","Procedente",1,2034
"154",496,2017-10-30,2022-11-22,"Sim","Improcedente",1,1849
"155",497,2017-11-21,2019-11-04,"Não","Sem mérito",1,713
"156",498,2017-11-23,2020-06-01,"Não","Sem mérito",1,921
"157",499,2017-11-23,2023-08-09,"Sim","Procedente",1,2085
"158",500,2017-11-28,2022-05-11,"Não","Sem mérito",1,1625
"159",501,2017-11-30,2022-09-20,"Não","Procedente",1,1755
"160",502,2017-12-18,2018-03-19,"Não","Sem mérito",1,91
"161",503,2017-12-13,2019-11-05,"Não","Sem mérito",1,692
"162",504,2017-12-14,2020-12-09,"Não","Procedente",1,1091
"163",505,2017-12-21,2018-08-26,"Não","Prejudicado",1,248
