"","classe","numero","data_autuacao","data_baixa","tem_rito_art_12","evento","tempo"
"1","ADPF","315",2014-01-16,2014-01-16,"Não",1,0
"2","ADPF","316",2014-01-22,2025-05-27,"Não",1,4143
"3","ADPF","317",2014-02-10,2016-06-21,"Não",1,862
"4","ADPF","318",2014-02-24,2014-10-23,"Não",1,241
"5","ADPF","319",2014-04-03,2015-02-18,"Não",1,321
"6","ADPF","320",2014-05-15,2025-06-06,"Não",0,4040
"7","ADPF","321",2014-05-25,2025-06-06,"Não",0,4030
"8","ADPF","322",2014-05-30,2025-06-06,"Não",0,4025
"9","ADPF","323",2014-06-27,2022-09-26,"Sim",1,3013
"10","ADPF","324",2014-08-25,2021-10-01,"Sim",1,2594
"11","ADPF","325",2014-08-27,2022-05-06,"Não",1,2809
"12","ADPF","326",2014-09-09,2016-03-07,"Não",1,545
"13","ADPF","327",2014-09-16,2014-11-06,"Não",1,51
"14","ADPF","328",2014-10-03,2021-08-12,"Não",1,2505
"15","ADPF","329",2014-12-02,2015-02-18,"Não",1,78
"16","ADPF","330",2015-01-16,2020-04-06,"Não",1,1907
"17","ADPF","331",2015-02-04,2015-02-05,"Não",1,1
"18","ADPF","332",2015-02-20,2019-08-30,"Não",1,1652
"19","ADPF","333",2015-02-26,2015-06-09,"Não",1,103
"20","ADPF","334",2015-03-09,2023-06-05,"Não",1,3010
"21","ADPF","335",2015-03-13,2021-09-27,"Sim",1,2390
"22","ADPF","336",2015-03-17,2021-05-19,"Não",1,2255
"23","ADPF","337",2015-03-23,2019-08-09,"Não",1,1600
"24","ADPF","338",2015-03-23,2025-06-06,"Não",0,3728
"25","ADPF","339",2015-03-26,2016-08-16,"Não",1,509
"26","ADPF","340",2015-04-08,2019-06-07,"Não",1,1521
"27","ADPF","341",2015-04-09,2023-03-10,"Não",1,2892
"28","ADPF","342",2015-04-16,2025-06-06,"Não",0,3704
"29","ADPF","343",2015-05-07,2016-11-24,"Não",1,567
"30","ADPF","344",2015-05-07,2020-09-23,"Não",1,1966
"31","ADPF","345",2015-05-16,2015-06-16,"Não",1,31
