,ativo,tipo
1,ELISETE FERREIRA DIAS,0
2,PRESIDENTE DA REPUBLICA,1
3,GOVERNADORA DO ESTADO DO MARANHAO,5
4,"FEDERACAO NACIONAL DAS EMPRESAS DISTRIBUIDORAS VINCULADAS AOS FABRICANTES DE CERVEJA, REFRIGERANTES E AGUA MINERAL",9
5,ASSOCIACAO NACIONAL DE DEFENSORES PUBLICOS,9
6,PARTIDO SOCIALISMO E LIBERDADE,8
7,PARTIDO DOS TRABALHADORES,8
8,CONFEDERACAO NACIONAL DE SERVICOS,9
9,CONFEDERACAO NACIONAL DOS ESTABELECIMENTOS DE ENSINO,9
10,ASSOCIACAO BRASILEIRA DO AGRONEGOCIO,9
11,"CONFEDERACAO NACIONAL DE SAUDE, HOSPITAIS, ESTABELECIMENTOS E SERVICOS",9
12,FEDERACAO NACIONAL DOS TRABALHADORES DO JUDICIARIO FEDERAL E MINISTERIO PUBULICO DA UNIAO,9
13,PREFEITO MUNICIPAL DE ALTO RIO DOCE,0
14,ASSOCIACAO NACIONAL DOS PROCURADORES DOS ESTADOS E DO DISTRITO FEDERAL,9
15,DEMOCRATAS,8
16,ELO ENGENHARIA COMERCIO E CONSTRUCOES LTDA,0
17,ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO,9
18,ASSOCIACAO BRASILEIRA DE EMISSORAS DE RADIO E TELEVISAO,9
19,PROCURADOR-GERAL DA REPUBLICA,6
20,PARTIDO PROGRESSISTA,8
21,PARTIDO SOCIALISTA BRASILEIRO,8
22,SOCIEDADE RURAL BRASILEIRA,9
23,PARTIDO SOCIAL DEMOCRATICO,8
24,GOVERNADOR DO ESTADO DA BAHIA,5
25,CONFEDERACAO DOS SERVIDORES PUBLICOS DO BRASIL,9
26,ASSOCIACAO NACIONAL DAS UNIVERSIDADES PARTICULARES,9
27,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,8
28,ASSOCIACAO NACIONAL DOS SERVIDORES DA JUSTICA DO TRABALHO,9
29,ASSOCIACAO NACIONAL DOS SERVIDORES DO JUDICIARIO FEDERAL,9
30,GOVERNADOR DO DISTRITO FEDERAL,5
31,ASSOCIACAO DOS MEMBROS DOS TRIBUNAIS DE CONTAS DO BRASIL,9
32,ASSOCIACAO NACIONAL DO MINISTERIO PUBLICO DE CONTAS,9
33,ASSOCIACAO NACIONAL DOS AUDITORES (MINISTROS E CONSELHEIROS SUBSTITUTOS) DOS TRIBUNAIS DE CONTAS DO BRASIL,9
34,DEM NACIONAL,8
35,ASSOCIACAO NACIONAL DOS MAGISTRADOS DA JUSTICA DO TRABALHO,9
36,MESA DA ASSEMBLEIA LEGISLATIVA DO ESTADO DA BAHIA,4
37,"SINDICATO NACIONAL DOS APOSENTADOS, PENSIONISTAS E IDOSOS DA FORCA SINDICAL",9
38,PARTIDO SOCIAL LIBERAL,8
39,SOLIDARIEDADE,8
40,GOVERNADOR DO ESTADO DA PARAIBA,5
41,CONFEDERACAO NACIONAL DO TRANSPORTE,9
42,CONFEDERACAO NACIONAL DOS TRABALHADORES NO COMERCIO,9
43,PARTIDO COMUNISTA DO BRASIL,8
44,PARTIDO POPULAR SOCIALISTA,8
45,ASSOCIACAO NACIONAL DAS EMPRESAS DE TRANSPORTES URBANOS,9
46,GOVERNADOR DO ESTADO DE SERGIPE,5
47,GOVERNADOR DO ESTADO DO PIAUI,5
48,CONFEDERACAO NACIONAL DOS PESCADORES E AQUICULTORES,9
49,ASSOCIACAO NACIONAL DAS FRANQUIAS POSTAIS DO BRASIL,9
50,UNIAO GERAL DOS TRABALHADORES DO ESTADO DO RIO DE JANEIRO,9
51,PARTIDO DEMOCRATICO TRABALHISTA,8
52,ASSOCIACAO BRASILEIRA DAS EMPRESAS EXIBIDORAS CINEMATOGRAFICAS OPERADORAS DE MULTIPLEX,9
53,ASSOCIACAO BRASILEIRA DOS DISTRIBUIDORES DE ENERGIA ELETRICA,9
54,REDE SUSTENTABILIDADE,8
55,CIDADANIA,8
56,GOVERNADOR DO ESTADO DO RIO DE JANEIRO,5
57,CONFEDERACAO BRASILEIRA DE ATLETISMO,9
58,PARTIDO HUMANISTA DA SOLIDARIEDADE,8
59,SOCIEDADE BRASILEIRA PARA CONSERVACAO DA FAUNA,9
60,CONFEDERACAO DOS SERVIDORES PUBLICOS DO BRASIL C S P B,9
61,"FEDERACAO NACIONAL DOS SERVIDORES DOS MINISTERIOS PUBLICOS ESTADUAIS, DOS SERVIDORES DAS PROCURADORIAS-GERAIS DOS ESTADOS E DOS SERVIDORES DAS DEFENSORIAS PUBLICAS ESTADUAIS",9
62,SINDICATO NACIONAL DOS TRABALHADORES EM FUNDACOES PUBLICAS FEDERAIS DE GEOGRAFIA E ESTATISTICA,9
63,ASSOCIACAO AUDITORIA CIDADA DA DIVIDA,9
64,ASSOCIACAO DE PRACAS DO ESTADO DE SANTA CATARINA,9
65,"ASSOCIACAO NACIONAL DE AVALIACAO, ATENCAO E AMPARO A SAUDE",9
66,ASSOCIACAO NACIONAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL,9
67,"CONFEDERACAO BRASILEIRA DE APOSENTADOS, PENSIONISTAS E IDOSOS",9
68,CONFEDERACAO NACIONAL DOS TRABALHADORES EM SEGURIDADE SOCIAL DA CUT,9
69,CONFEDERACAO NACIONAL DOS TRABALHADORES NA AGRICULTURA,9
70,FEDERACAO DOS TRABALHADORES EM DIFUSAO CULTURAL E ARTISTICA DO ESTADO DE SAO PAULO,9
71,"FEDERACAO NACIONAL DOS SINDICATOS DE TRABALHADORES EM SAUDE, TRABALHO, PREVIDENCIA E ASSISTENCIA SOCIAL",9
72,FUNDACAO ANFIP DE ESTUDOS DA SEGURIDADE SOCIAL E TRIBUTARIO,9
73,"MOVIMENTO DOS SERVIDORES PUBLICOS, APOSENTADOS E PENSIONISTAS",9
74,CENTRAL DA CLASSE TRABALHADORA,9
75,SINDICATO DOS ECONOMISTAS DO DISTRITO FEDERAL,9
76,"SINDICATO DOS EMPREGADOS EM EMPRESAS EXIBIDORAS, DISTRIBUIDORAS E PRODUTORAS DE FILMES E VIDEOS CINEMATOGRAFICOS DO ESTADO DO RIO GRANDE DO SUL",9
77,SINDICATO DOS TRABALHADORES EM SAUDE E PREVIDENCIA DO SERVICO PUBLICO FEDERAL DO ESTADO DE SANTA CATARINA,9
78,"SINDICATO FEDERAL DOS SERVIDORES FEDERAIS AUTARQUICOS NOS ENTES DE FORMULACAO, PROMOCAO E FISCALIZACAO DA POLITICA DA MOEDA E DO CREDITO",9
79,SINDICATO NACIONAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL,9
80,SINDICATO NACIONAL DOS AUDITORES FISCAIS DO TRABALHO,9
81,PARTIDO DA MULHER BRASILEIRA,8
82,PARTIDO TRABALHISTA DO BRASIL,8
83,ASSOCIACAO DOS JUIZES FEDERAIS DO BRASIL,9
84,ASSOCIACAO DOS MAGISTRADOS BRASILEIROS,9
85,"CONFEDERACAO NACIONAL DO COMERCIO DE BENS, SERVICOS E TURISMO",9
86,GOVERNADORA DO ESTADO DE RORAIMA,5
87,ASSOCIACAO BRASILEIRA DE DEFESA DO CONSUMIDOR,9
88,CONFEDERACAO NACIONAL DA INDUSTRIA,9
89,MESA DO SENADO FEDERAL,2
90,GOVERNADOR DO ESTADO DO PARANA,5
91,ASSOCIACAO NACIONAL DAS DEFENSORAS E DEFENSORES PUBLICOS,9
92,ASSOCIACAO NACIONAL DOS TRANSPORTADORES DE PASSAGEIROS SOBRE TRILHOS-ANP-TRILHOS,9
93,CONFED BRASILEIRA DE TRABALHADORES POLICIAIS CIVIS,9
94,CONFEDERACAO DA AGRICULTURA E PECUARIA DO BRASIL,9
95,ESTADO DO CEARA,5
96,CONFEDERACAO NACIONAL DOS TRABALHADORES NA INDUSTRIA QUIMICA,9
97,FEDERACAO DOS EMPREGADOS DE AGENTES AUTONOMOS DO COMERCIO DO ESTADO DE SAO PAULO,9
98,SINDICATO NACIONAL DOS APOSENTADOS PENSIONISTAS E IDOSOS DA FORCA SINDICAL,9
99,ASSOCIACAO NACIONAL DE DEFESA DOS CONCURSOS PARA CARTORIOS,9
