"";"X";"V1"
"1";1;0
"2";2;0
"3";3;2
"4";4;1
"5";5;2
"6";6;1
"7";7;2
"8";8;2
"9";9;1
"10";10;2
"11";11;2
"12";12;1
"13";13;1
"14";14;2
"15";15;1
"16";16;0
"17";17;0
"18";18;1
"19";19;2
"20";20;2
"21";21;2
"22";22;2
"23";23;2
"24";24;1
"25";25;2
"26";26;2
"27";27;1
"28";28;1
"29";29;2
"30";30;1
"31";31;2
"32";32;2
"33";33;2
"34";34;1
"35";35;1
"36";36;2
"37";37;1
"38";38;2
"39";39;2
"40";40;2
"41";41;2
"42";42;1
"43";43;2
"44";44;2
"45";45;1
"46";46;1
"47";47;1
"48";48;1
"49";49;2
"50";50;2
"51";51;1
"52";52;2
"53";53;2
"54";54;2
"55";55;1
"56";56;1
"57";57;1
"58";58;1
"59";59;1
"60";60;1
"61";61;2
"62";62;2
"63";63;2
"64";64;1
"65";65;1
"66";66;2
"67";67;2
"68";68;2
"69";69;2
"70";70;2
"71";71;2
"72";72;1
"73";73;1
"74";74;0
"75";75;1
"76";76;0
"77";77;1
"78";78;0
"79";79;0
"80";80;0
"81";81;0
"82";82;0
"83";83;0
"84";84;0
"85";85;0
"86";86;0
"87";87;0
"88";88;0
"89";89;0
"90";90;0
"91";91;0
"92";92;0
"93";93;0
"94";94;1
"95";95;2
"96";96;1
"97";97;1
"98";98;1
"99";99;1
"100";100;1
"101";101;2
"102";102;1
"103";103;1
"104";104;1
"105";105;1
"106";106;0
"107";107;0
"108";108;0
"109";109;0
"110";110;0
"111";111;0
"112";112;0
"113";113;0
"114";114;0
"115";115;0
"116";116;0
"117";117;0
"118";118;0
"119";119;0
"120";120;0
"121";121;0
"122";122;1
"123";123;1
"124";124;2
"125";125;2
"126";126;1
"127";127;1
"128";128;1
"129";129;1
"130";130;1
"131";131;2
"132";132;1
"133";133;1
"134";134;1
"135";135;2
"136";136;2
"137";137;1
"138";138;1
"139";139;1
"140";140;1
"141";141;1
"142";142;1
"143";143;1
"144";144;1
"145";145;1
"146";146;2
"147";147;1
"148";148;1
"149";149;0
"150";150;0
"151";151;0
"152";152;0
"153";153;0
"154";154;0
"155";155;0
"156";156;0
"157";157;0
"158";158;0
"159";159;0
"160";160;0
"161";161;0
"162";162;0
"163";163;0
"164";164;0
"165";165;0
"166";166;1
"167";167;1
"168";168;1
"169";169;2
"170";170;1
"171";171;2
"172";172;2
"173";173;2
"174";174;2
"175";175;2
"176";176;2
"177";177;2
"178";178;2
"179";179;2
"180";180;2
"181";181;2
"182";182;2
"183";183;1
"184";184;2
"185";185;1
"186";186;1
"187";187;1
"188";188;1
"189";189;0
"190";190;0
"191";191;0
"192";192;0
"193";193;0
"194";194;0
"195";195;0
"196";196;0
"197";197;0
"198";198;0
"199";199;0
"200";200;0
"201";201;1
"202";202;0
"203";203;1
"204";204;0
"205";205;2
"206";206;1
"207";207;2
"208";208;2
"209";209;2
"210";210;2
"211";211;2
"212";212;1
"213";213;1
"214";214;1
"215";215;1
"216";216;1
"217";217;0
"218";218;1
"219";219;2
"220";220;1
"221";221;2
"222";222;2
"223";223;1
"224";224;2
"225";225;2
"226";226;2
"227";227;2
"228";228;2
"229";229;2
"230";230;1
"231";231;2
"232";232;1
"233";233;2
"234";234;1
"235";235;2
"236";236;2
"237";237;1
"238";238;1
"239";239;2
"240";240;1
"241";241;1
"242";242;2
"243";243;2
"244";244;2
"245";245;2
"246";246;2
"247";247;2
"248";248;1
"249";249;2
"250";250;1
"251";251;2
"252";252;2
"253";253;2
"254";254;2
"255";255;2
"256";256;1
"257";257;1
"258";258;1
"259";259;1
"260";260;1
"261";261;1
"262";262;2
"263";263;2
"264";264;1
"265";265;1
"266";266;1
"267";267;1
"268";268;2
"269";269;2
"270";270;2
"271";271;2
"272";272;2
"273";273;2
"274";274;2
"275";275;1
"276";276;2
"277";277;2
"278";278;0
"279";279;2
"280";280;2
"281";281;2
"282";282;2
"283";283;2
"284";284;2
"285";285;2
"286";286;2
"287";287;2
"288";288;2
"289";289;2
"290";290;2
"291";291;2
"292";292;2
"293";293;2
"294";294;2
"295";295;2
"296";296;2
"297";297;2
"298";298;2
"299";299;2
"300";300;2
"301";301;2
"302";302;2
"303";303;2
"304";304;2
"305";305;2
"306";306;2
"307";307;2
"308";308;2
"309";309;2
"310";310;1
"311";311;1
"312";312;1
"313";313;1
"314";314;1
"315";315;1
"316";316;1
"317";317;2
"318";318;2
"319";319;2
"320";320;2
"321";321;2
"322";322;2
"323";323;2
"324";324;1
"325";325;1
"326";326;2
"327";327;2
"328";328;2
"329";329;2
"330";330;2
"331";331;2
"332";332;2
"333";333;2
"334";334;1
"335";335;2
"336";336;1
"337";337;2
"338";338;2
"339";339;2
"340";340;2
"341";341;2
"342";342;2
"343";343;2
"344";344;2
"345";345;2
"346";346;2
"347";347;2
"348";348;2
"349";349;2
"350";350;2
"351";351;2
"352";352;2
"353";353;2
"354";354;2
"355";355;2
"356";356;2
"357";357;2
"358";358;2
"359";359;2
"360";360;2
"361";361;2
"362";362;1
"363";363;1
"364";364;1
"365";365;1
"366";366;1
"367";367;1
"368";368;0
"369";369;1
"370";370;2
"371";371;1
"372";372;2
"373";373;2
"374";374;2
"375";375;2
"376";376;2
"377";377;2
"378";378;2
"379";379;2
"380";380;2
"381";381;2
"382";382;2
"383";383;2
"384";384;2
"385";385;2
"386";386;2
"387";387;1
"388";388;1
"389";389;0
"390";390;2
"391";391;2
"392";392;2
"393";393;2
"394";394;1
"395";395;0
"396";396;1
"397";397;1
"398";398;0
"399";399;1
"400";400;1
"401";401;1
"402";402;0
"403";403;0
"404";404;0
"405";405;2
"406";406;1
"407";407;2
"408";408;2
"409";409;2
"410";410;2
"411";411;2
"412";412;2
"413";413;1
"414";414;1
"415";415;1
"416";416;1
"417";417;0
"418";418;0
"419";419;1
"420";420;2
"421";421;2
"422";422;2
"423";423;1
"424";424;2
"425";425;2
"426";426;2
"427";427;2
"428";428;2
"429";429;2
"430";430;2
"431";431;2
"432";432;2
"433";433;2
"434";434;2
"435";435;2
"436";436;2
"437";437;1
"438";438;2
"439";439;2
"440";440;2
"441";441;2
"442";442;2
"443";443;2
"444";444;2
"445";445;2
"446";446;2
"447";447;2
"448";448;2
"449";449;2
"450";450;1
"451";451;1
"452";452;1
"453";453;1
"454";454;1
"455";455;1
"456";456;1
"457";457;2
"458";458;1
"459";459;1
"460";460;1
"461";461;1
"462";462;2
"463";463;2
"464";464;1
"465";465;1
"466";466;1
"467";467;1
"468";468;1
"469";469;2
"470";470;1
"471";471;2
"472";472;2
"473";473;2
"474";474;2
"475";475;1
"476";476;2
"477";477;2
"478";478;2
"479";479;2
"480";480;2
"481";481;2
"482";482;2
"483";483;2
"484";484;2
"485";485;2
"486";486;2
"487";487;2
"488";488;2
"489";489;2
"490";490;2
"491";491;2
"492";492;2
"493";493;0
"494";494;0
"495";495;2
"496";496;2
"497";497;2
"498";498;2
"499";499;2
