"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"2";"***";"";""
"**";"classe";"1";"**";"";""
"****";"34156";"149287";"22.88";"****";""
"1767";"18942";" 9.33";"-2257.757";"público";" 0.000000e+00"
"1094";"14866";" 7.36";"-2253.910";"direito";" 0.000000e+00"
" 830";" 9924";" 8.36";"-1269.496";"dever";"4.810995e-278"
" 145";" 4452";" 3.26";"-1001.371";"pessoa";"9.041018e-220"
" 144";" 4140";" 3.48";" -908.352";"atividade";"1.500152e-199"
" 303";" 5055";" 5.99";" -845.447";"serviço";"7.100791e-186"
" 217";" 4337";" 5.00";" -808.941";"órgão";"6.140346e-178"
" 210";" 4255";" 4.94";" -799.251";"social";"7.849427e-176"
" 278";" 4571";" 6.08";" -754.043";"político";"5.301718e-166"
" 148";" 3576";" 4.14";" -729.263";"saúde";"1.295425e-160"
" 375";" 5073";" 7.39";" -713.868";"próprio";"2.884105e-157"
" 159";" 3530";" 4.50";" -691.854";"ambiente";"1.766115e-152"
" 159";" 3502";" 4.54";" -683.548";"executivo";"1.130971e-150"
" 207";" 3732";" 5.55";" -651.716";"exercício";"9.459938e-144"
"  79";" 2710";" 2.92";" -623.473";"ano";"1.313126e-137"
" 104";" 2859";" 3.64";" -611.628";"ambiental";"4.950391e-135"
" 350";" 4540";" 7.71";" -610.708";"competência";"7.846844e-135"
" 116";" 2941";" 3.94";" -609.621";"humano";"1.352663e-134"
" 226";" 3707";" 6.10";" -606.818";"ministério";"5.504813e-134"
" 119";" 2953";" 4.03";" -606.639";"política";"6.023494e-134"
"  96";" 2759";" 3.48";" -599.566";"sociedade";"2.081085e-132"
" 224";" 3642";" 6.15";" -592.091";"proteção";"8.791202e-131"
" 365";" 4536";" 8.05";" -583.308";"prever";"7.155277e-129"
" 210";" 3483";" 6.03";" -573.849";"plano";"8.167663e-127"
" 204";" 3401";" 6.00";" -562.090";"liberdade";"2.951667e-124"
" 211";" 3423";" 6.16";" -554.741";"orçamentário";"1.171018e-122"
"  82";" 2440";" 3.36";" -535.594";"instituição";"1.713379e-118"
" 218";" 3381";" 6.45";" -529.346";"estabelecer";"3.919416e-117"
"  67";" 2260";" 2.96";" -515.787";"assegurar";"3.491839e-114"
" 146";" 2774";" 5.26";" -497.124";"penal";"4.015923e-110"
"  46";" 2028";" 2.27";" -494.992";"vida";"1.168385e-109"
" 255";" 3484";" 7.32";" -489.498";"legal";"1.832058e-108"
"  55";" 2072";" 2.65";" -487.103";"policial";"6.084496e-108"
" 457";" 4721";" 9.68";" -481.365";"legislativo";"1.078447e-106"
" 414";" 4436";" 9.33";" -475.492";"sistema";"2.045212e-105"
" 110";" 2438";" 4.51";" -473.883";"atuação";"4.580491e-105"
"  99";" 2352";" 4.21";" -472.083";"administração";"1.128465e-104"
"  24";" 1754";" 1.37";" -465.450";"agente";"3.132368e-103"
"  37";" 1828";" 2.02";" -456.191";"área";"3.242169e-101"
" 249";" 3318";" 7.50";" -454.618";"execução";"7.129128e-101"
"  53";" 1924";" 2.75";" -447.388";"privado";" 2.670821e-99"
"  36";" 1752";" 2.05";" -435.713";"país";" 9.280169e-97"
" 740";" 6161";"12.01";" -430.199";"jurídico";" 1.470993e-95"
" 221";" 3045";" 7.26";" -429.907";"emenda";" 1.703072e-95"
"  49";" 1806";" 2.71";" -421.345";"crime";" 1.243353e-93"
"  93";" 2131";" 4.36";" -420.022";"educação";" 2.413189e-93"
" 120";" 2310";" 5.19";" -415.873";"ente";" 1.931043e-92"
" 649";" 5573";"11.65";" -414.061";"bem";" 4.787736e-92"
"  40";" 1709";" 2.34";" -413.314";"desmatamento";" 6.962047e-92"
" 114";" 2233";" 5.11";" -405.880";"econômico";" 2.890254e-90"
" 209";" 2867";" 7.29";" -402.626";"judiciário";" 1.476393e-89"
" 176";" 2628";" 6.70";" -397.013";"prazo";" 2.461629e-88"
"  73";" 1898";" 3.85";" -394.698";"governo";" 7.856362e-88"
" 106";" 2125";" 4.99";" -391.064";"prático";" 4.854927e-87"
"  43";" 1647";" 2.61";" -387.743";"dado";" 2.565475e-86"
" 305";" 3414";" 8.93";" -385.098";"novo";" 9.663815e-86"
" 113";" 2153";" 5.25";" -384.847";"cargo";" 1.095747e-85"
"  92";" 1992";" 4.62";" -381.553";"diretor";" 5.713562e-85"
" 209";" 2774";" 7.53";" -377.208";"além";" 5.045282e-84"
"  36";" 1557";" 2.31";" -377.208";"garantir";" 5.045745e-84"
" 353";" 3677";" 9.60";" -376.750";"iii";" 6.347068e-84"
" 315";" 3441";" 9.15";" -376.035";"informação";" 9.083131e-84"
" 148";" 2361";" 6.27";" -375.137";"função";" 1.424772e-83"
" 369";" 3767";" 9.80";" -374.929";"regime";" 1.581194e-83"
"  49";" 1649";" 2.97";" -374.525";"comissão";" 1.936108e-83"
"  32";" 1497";" 2.14";" -368.703";"população";" 3.585637e-82"
"  87";" 1905";" 4.57";" -366.735";"garantia";" 9.619366e-82"
"  33";" 1479";" 2.23";" -360.945";"livre";" 1.753443e-80"
" 119";" 2091";" 5.69";" -355.086";"democrático";" 3.308077e-79"
"  65";" 1698";" 3.83";" -353.300";"participação";" 8.100934e-79"
"  82";" 1810";" 4.53";" -349.613";"uso";" 5.145798e-78"
"  91";" 1874";" 4.86";" -349.397";"ensino";" 5.735219e-78"
"1079";" 7624";"14.15";" -346.767";"nacional";" 2.143870e-77"
"  40";" 1486";" 2.69";" -346.672";"responsabilidade";" 2.248338e-77"
" 370";" 3637";"10.17";" -341.092";"administrativo";" 3.691137e-76"
" 110";" 1963";" 5.60";" -336.455";"autoridade";" 3.774384e-75"
"  73";" 1699";" 4.30";" -336.334";"destinar";" 4.012135e-75"
"  45";" 1484";" 3.03";" -334.619";"força";" 9.480292e-75"
"  18";" 1267";" 1.42";" -333.481";"grupo";" 1.677189e-74"
"  58";" 1562";" 3.71";" -328.630";"amazônia";" 1.910636e-73"
"  22";" 1266";" 1.74";" -323.441";"operação";" 2.578340e-72"
"  46";" 1452";" 3.17";" -322.872";"redução";" 3.430832e-72"
"  56";" 1522";" 3.68";" -321.258";"orçamento";" 7.705319e-72"
" 196";" 2478";" 7.91";" -320.028";"necessidade";" 1.428117e-71"
" 417";" 3826";"10.90";" -319.405";"segurança";" 1.952544e-71"
" 349";" 3420";"10.20";" -318.679";"necessário";" 2.809045e-71"
"  41";" 1392";" 2.95";" -316.433";"polícia";" 8.666197e-71"
" 656";" 5162";"12.71";" -313.492";"ii";" 3.788321e-70"
"  70";" 1597";" 4.38";" -312.987";"projeto";" 4.882515e-70"
" 203";" 2493";" 8.14";" -312.044";"coletivo";" 7.831790e-70"
"  63";" 1540";" 4.09";" -311.310";"contrato";" 1.131852e-69"
" 508";" 4311";"11.78";" -309.736";"até";" 2.493624e-69"
" 145";" 2103";" 6.89";" -308.876";"financeiro";" 3.838136e-69"
"  49";" 1426";" 3.44";" -308.468";"mínimo";" 4.710193e-69"
"  90";" 1724";" 5.22";" -308.247";"autonomia";" 5.261556e-69"
" 226";" 2616";" 8.64";" -306.011";"realizar";" 1.615186e-68"
" 251";" 2769";" 9.06";" -305.159";"civil";" 2.476306e-68"
"  33";" 1292";" 2.55";" -305.136";"internacional";" 2.505101e-68"
" 118";" 1906";" 6.19";" -304.733";"pena";" 3.066121e-68"
"  26";" 1221";" 2.13";" -300.403";"unidade";" 2.691636e-67"
" 184";" 2315";" 7.95";" -297.109";"maior";" 1.404879e-66"
"  48";" 1378";" 3.48";" -296.545";"despesa";" 1.864276e-66"
"  35";" 1275";" 2.75";" -295.457";"organização";" 3.218169e-66"
" 192";" 2356";" 8.15";" -294.357";"acordo";" 5.586670e-66"
"  18";" 1134";" 1.59";" -293.594";"cidadão";" 8.193915e-66"
"  49";" 1370";" 3.58";" -291.977";"parlamentar";" 1.844034e-65"
"  79";" 1589";" 4.97";" -291.902";"indígena";" 1.914544e-65"
"  75";" 1559";" 4.81";" -291.502";"procedimento";" 2.340720e-65"
" 167";" 2184";" 7.65";" -291.476";"base";" 2.370970e-65"
"  64";" 1460";" 4.38";" -285.861";"desenvolvimento";" 3.966874e-64"
" 155";" 2067";" 7.50";" -281.014";"membro";" 4.513786e-63"
"  28";" 1167";" 2.40";" -279.594";"número";" 9.204857e-63"
"3963";"21480";"18.45";" -279.020";"art";" 1.228069e-62"
"  77";" 1525";" 5.05";" -277.606";"federativo";" 2.496872e-62"
"  18";" 1075";" 1.67";" -275.936";"ideia";" 5.770711e-62"
"  91";" 1617";" 5.63";" -275.733";"risco";" 6.389171e-62"
" 255";" 2674";" 9.54";" -274.734";"condição";" 1.054972e-61"
" 140";" 1943";" 7.21";" -274.101";"respectivo";" 1.449304e-61"
"  39";" 1218";" 3.20";" -269.481";"obrigação";" 1.472709e-60"
"  84";" 1546";" 5.43";" -269.469";"realização";" 1.481171e-60"
" 218";" 2422";" 9.00";" -268.753";"regra";" 2.121618e-60"
"  14";" 1000";" 1.40";" -263.238";"tratamento";" 3.378375e-59"
" 236";" 2507";" 9.41";" -262.034";"defesa";" 6.183517e-59"
"2243";"13035";"17.21";" -260.395";"constituição";" 1.407551e-58"
"  43";" 1206";" 3.57";" -257.037";"combate";" 7.593509e-58"
"  32";" 1120";" 2.86";" -256.389";"comunidade";" 1.050868e-57"
" 119";" 1731";" 6.87";" -254.241";"limite";" 3.088831e-57"
" 268";" 2669";"10.04";" -253.850";"inciso";" 3.760049e-57"
"  35";" 1129";" 3.10";" -252.231";"período";" 8.472931e-57"
"  33";" 1106";" 2.98";" -249.970";"investigação";" 2.636486e-56"
" 114";" 1672";" 6.82";" -247.213";"efetivo";" 1.052303e-55"
" 197";" 2204";" 8.94";" -246.406";"determinado";" 1.577455e-55"
"  38";" 1125";" 3.38";" -244.323";"dignidade";" 4.488312e-55"
" 119";" 1692";" 7.03";" -243.552";"expressão";" 6.609148e-55"
"  42";" 1147";" 3.66";" -241.936";"criar";" 1.487991e-54"
"  97";" 1535";" 6.32";" -241.053";"deputado";" 2.317694e-54"
"  11";"  900";" 1.22";" -240.690";"programa";" 2.781481e-54"
"  24";" 1002";" 2.40";" -239.892";"responsável";" 4.152099e-54"
"  21";"  974";" 2.16";" -238.620";"mulher";" 7.863315e-54"
"  51";" 1201";" 4.25";" -238.232";"técnica";" 9.556611e-54"
"  42";" 1132";" 3.71";" -237.544";"igualdade";" 1.349882e-53"
"  57";" 1241";" 4.59";" -237.157";"atribuição";" 1.639203e-53"
" 109";" 1599";" 6.82";" -236.344";"eleição";" 2.465292e-53"
" 503";" 3947";"12.74";" -236.039";"cf";" 2.872908e-53"
"  73";" 1342";" 5.44";" -233.421";"prestação";" 1.069545e-52"
" 240";" 2414";" 9.94";" -232.754";"iv";" 1.495449e-52"
"  17";"  922";" 1.84";" -232.657";"democracia";" 1.570063e-52"
"  29";" 1014";" 2.86";" -231.893";"autorização";" 2.304415e-52"
"  27";"  997";" 2.71";" -231.450";"básico";" 2.877929e-52"
" 170";" 1974";" 8.61";" -230.784";"estatal";" 4.020565e-52"
"  41";" 1097";" 3.74";" -229.492";"restrição";" 7.694777e-52"
