"";"classe 1";"classe 2"
"art";-279,02;279,02
"público";-2257,757;2257,757
"lei";2,786;-2,786
"federal";446,424;-446,424
"direito";-2253,91;2253,91
"ministro";13607,168;-13607,168
"fundamental";19849,526;-19849,526
"geral";872,282;-872,282
"tribunal";7143,038;-7143,038
"constitucional";1,038;-1,038
"preceito";28609,876;-28609,876
"constituição";-260,395;260,395
"arguição";31450,93;-31450,93
"ação";3466,833;-3466,833
"relator";12427,621;-12427,621
"descumprimento";30161,768;-30161,768
"medida";624,374;-624,374
"dever";-1269,496;1269,496
"decisão";1944,437;-1944,437
"nacional";-346,767;346,767
"adpf";12302,708;-12302,708
"adv";1541,611;-1541,611
"meio";93,522;-93,522
"min";16801,239;-16801,239
"princípio";-116,098;116,098
"caso";-60,231;60,231
"ato";119,256;-119,256
"união";-93,256;93,256
"processo";-17,76;17,76
"voto";6076,348;-6076,348
"supremo";1704,476;-1704,476
"presidente";348,251;-348,251
"república";12,523;-12,523
"procurador";634,506;-634,506
"norma";-143,633;143,633
"plenário";10431,617;-10431,617
"forma";-139,91;139,91
"também";-202,972;202,972
"jurídico";-430,199;430,199
"mesmo";-213,231;213,231
"legislativo";-481,365;481,365
"senhor";3101,658;-3101,658
"julgar";8208,64;-8208,64
"julgamento";4566,427;-4566,427
"recurso";0,115;-0,115
"já";-11,126;11,126
"município";-41,439;41,439
"controlo";182,009;-182,009
"presente";3504,907;-3504,907
"rel";11629,824;-11629,824
"bem";-414,061;414,061
"corte";296,398;-296,398
"judicial";341,846;-341,846
"serviço";-845,447;845,447
"ainda";-227,411;227,411
"sentido";344,32;-344,32
"dia";423,183;-423,183
"cautelar";3757,488;-3757,488
"ii";-313,492;313,492
"pedido";4721,019;-4721,019
"artigo";-158,326;158,326
"brasileiro";-173,856;173,856
"próprio";-713,868;713,868
"estadual";-18,974;18,974
"inconstitucionalidade";3103,168;-3103,168
"adir";5872,308;-5872,308
"assim";-0,025;0,025
"termo";563,48;-563,48
"competência";-610,708;610,708
"pleno";7722,054;-7722,054
"sistema";-475,492;475,492
"intdo";231,858;-231,858
"pessoa";-1001,371;1001,371
"político";-754,043;754,043
"cf";-236,039;236,039
"rio";0,857;-0,857
"social";-799,251;799,251
"justiça";24,477;-24,477
"relação";-228,23;228,23
"quando";-0,239;0,239
"prever";-583,308;583,308
"órgão";-808,941;808,941
"normativo";-1,87;1,87
"até";-309,736;309,736
"curiae";260,022;-260,022
"municipal";6,706;-6,706
"atividade";-908,352;908,352
"auto";1136,923;-1136,923
"ministério";-606,818;606,818
"dje";9850,67;-9850,67
"questão";2,71;-2,71
"efeito";8,415;-8,415
"regime";-374,929;374,929
"dar";-181,932;181,932
"situação";-65,677;65,677
"segurança";-319,405;319,405
"liberdade";-562,09;562,09
"apenas";-144,621;144,621
"saúde";-729,263;729,263
"direto";2015,125;-2015,125
"proc";534,268;-534,268
"tratar";6,481;-6,481
"distrito";1608,911;-1608,911
"decreto";-51,255;51,255
"brasil";-191,234;191,234
"considerar";-152,085;152,085
"proteção";-592,091;592,091
"razão";35,105;-35,105
"plano";-573,849;573,849
"ambiente";-691,854;691,854
"exercício";-651,716;651,716
"orçamentário";-554,741;554,741
"administrativo";-341,092;341,092
"novo";-385,098;385,098
"informação";-376,035;376,035
"iii";-376,75;376,75
"ordem";-78,659;78,659
"humano";-609,621;609,621
"precedente";2429,411;-2429,411
"am";65,812;-65,812
"determinar";-62,802;62,802
"emenda";-429,907;429,907
"executivo";-683,548;683,548
"legal";-489,498;489,498
"modo";-57,408;57,408
"paulo";13,642;-13,642
"execução";-454,618;454,618
"necessário";-318,679;318,679
"governador";182,056;-182,056
"estabelecer";-529,346;529,346
"janeiro";-14,341;14,341
"df";2006,934;-2006,934
"ambiental";-611,628;611,628
"âmbito";-97,082;97,082
"seguinte";107,13;-107,13
"objeto";475,586;-475,586
"roberto";2691,718;-2691,718
"matéria";-32,466;32,466
"impugnar";535,451;-535,451
"advogado";240,432;-240,432
"porque";-175,379;175,379
"mérito";3687,56;-3687,56
"penal";-497,124;497,124
"política";-606,639;606,639
"barroso";2759,948;-2759,948
"ano";-623,473;623,473
"inciso";-253,85;253,85
"interesse";-177,354;177,354
"caput";-83,767;83,767
"judiciário";-402,626;402,626
"vez";-73,134;73,134
"reconhecer";24,403;-24,403
"civil";-305,159;305,159
"coletivo";-312,044;312,044
"constitucionalidade";1269,048;-1269,048
"subsidiariedade";7126,629;-7126,629
"mendes";3393,476;-3393,476
"interpretação";18,031;-18,031
"defesa";-262,034;262,034
"agravo";7569,802;-7569,802
"possibilidade";-4,706;4,706
"sociedade";-599,566;599,566
"processual";1500,914;-1500,914
"entidade";-45,48;45,48
"possível";-17,293;17,293
"requisito";2073,863;-2073,863
"moraes";3699,276;-3699,276
"além";-377,208;377,208
"prazo";-397,013;397,013
"condição";-274,734;274,734
"único";-48,547;48,547
"gilmar";3390,461;-3390,461
"observar";-167,635;167,635
"câmara";-125,56;125,56
"violação";-51,163;51,163
"inclusive";-210,689;210,689
"empresa";-175,113;175,113
"realizar";-306,011;306,011
"partido";450,244;-450,244
"fato";-178,317;178,317
"cármen";3667,625;-3667,625
"entender";66,629;-66,629
"alexandre";3277,765;-3277,765
"especial";-163,92;163,92
"instituição";-535,594;535,594
"específico";-174,589;174,589
"jurisprudência";646,098;-646,098
"lúcia";3707,426;-3707,426
"pedir";1158,27;-1158,27
"conselho";-119,841;119,841
"demais";-48,197;48,197
"atuação";-473,883;473,883
"necessidade";-320,028;320,028
"educação";-420,022;420,022
"regra";-268,753;268,753
"representação";273,585;-273,585
"dispositivo";5,243;-5,243
"apresentar";-29,582;29,582
"iv";-232,754;232,754
"aqui";-133,382;133,382
"função";-375,137;375,137
"parecer";68,29;-68,29
"respeito";-154,406;154,406
"administração";-472,083;472,083
"acordo";-294,357;294,357
"maior";-297,109;297,109
"marco";1883,091;-1883,091
"declaração";1456,887;-1456,887
"permitir";-168,13;168,13
"luiz";2992,607;-2992,607
"hipótese";0,978;-0,978
"inicial";517,025;-517,025
"controvérsia";2109,499;-2109,499
"aplicação";-76,64;76,64
"fachin";3178,858;-3178,858
"policial";-487,103;487,103
"ente";-415,873;415,873
"econômico";-405,88;405,88
"diverso";-95,014;95,014
"cargo";-384,847;384,847
"tema";-18,54;18,54
"acórdão";3782,053;-3782,053
"grande";-24,276;24,276
"conhecimento";2286,332;-2286,332
"regimental";4817,625;-4817,625
"referido";-51,819;51,819
"natureza";-172,513;172,513
"ponto";-18,887;18,887
"assegurar";-515,787;515,787
"edson";3589,53;-3589,53
"ausência";445,927;-445,927
"vista";239,817;-239,817
"acesso";-175,303;175,303
"inconstitucional";-20,652;20,652
"arts";-7,642;7,642
"determinado";-246,406;246,406
