art;3963;17517
público;1767;17175
lei;4538;14898
federal;5127;12451
direito;1094;13772
ministro;8534;5004
fundamental;10340;4738
geral;2904;5076
tribunal;6926;6306
constitucional;3264;10791
preceito;10490;2062
constituição;2243;10792
arguição;9964;903
ação;5028;6016
relator;6754;3116
descumprimento;9344;673
medida;3296;6683
dever;830;9094
decisão;3907;5550
nacional;1079;6545
adpf;5933;2171
adv;495;26
meio;2297;6157
min;5747;692
princípio;1468;6685
caso;1580;6577
ato;2179;5621
união;1193;5432
processo;1592;6024
voto;4209;2628
supremo;3132;4220
presidente;1998;4112
república;1583;4827
procurador;833;896
norma;1111;5493
plenário;4402;1140
forma;1094;5399
também;1012;5471
jurídico;740;5421
mesmo;979;5394
legislativo;457;4264
senhor;2500;1811
julgar;4188;1654
julgamento;3431;2331
recurso;1308;4363
já;1229;4601
município;784;3396
controlo;1701;3913
presente;3137;2541
rel;4070;517
bem;649;4924
corte;1813;3790
judicial;1793;3597
serviço;303;4752
ainda;780;4628
sentido;1790;3582
dia;1641;2999
cautelar;2970;2120
ii;656;4506
pedido;3216;1940
artigo;717;3974
brasileiro;596;3545
próprio;375;4698
estadual;940;3705
inconstitucionalidade;2718;2146
adir;3051;1221
assim;1119;3792
termo;1782;3032
competência;350;4190
pleno;3403;965
sistema;414;4022
intdo;89;15
pessoa;145;4307
político;278;4293
cf;503;3444
rio;638;2063
social;210;4045
justiça;1060;3002
relação;603;3857
quando;1011;3467
prever;365;4171
órgão;217;4120
normativo;944;3344
até;508;3803
curiae;287;270
municipal;919;2811
atividade;144;3996
auto;1472;1578
ministério;226;3481
dje;3324;328
questão;963;3057
efeito;1015;3085
regime;369;3398
dar;560;3431
situação;690;3247
segurança;417;3409
liberdade;204;3197
apenas;604;3417
saúde;148;3428
direto;2060;1855
proc;169;7
tratar;971;2983
distrito;1612;1420
decreto;617;2844
brasil;367;2608
considerar;567;3301
proteção;224;3418
razão;1037;2828
plano;210;3273
ambiente;159;3371
exercício;207;3525
orçamentário;211;3212
administrativo;370;3267
novo;305;3109
informação;315;3126
iii;353;3324
ordem;580;2905
humano;116;2825
precedente;2054;1554
am;64;54
determinar;631;2992
emenda;221;2824
executivo;159;3343
legal;255;3229
modo;621;2910
paulo;541;1518
execução;249;3069
necessário;349;3071
governador;667;1188
estabelecer;218;3163
janeiro;475;1940
df;1244;643
ambiental;104;2755
âmbito;530;2822
seguinte;1015;2334
objeto;1265;2001
roberto;1641;833
matéria;593;2582
impugnar;1277;1926
advogado;636;999
porque;397;2671
mérito;2107;976
penal;146;2628
política;119;2834
barroso;1690;864
ano;79;2631
inciso;268;2401
interesse;349;2460
caput;425;2302
judiciário;209;2658
vez;480;2461
reconhecer;789;2171
civil;251;2518
coletivo;203;2290
constitucionalidade;1448;1415
subsidiariedade;2527;323
mendes;1733;656
interpretação;740;2084
defesa;236;2271
agravo;2464;174
possibilidade;603;2243
sociedade;96;2663
processual;1461;1253
entidade;464;2197
possível;548;2247
requisito;1634;1143
moraes;1594;409
além;209;2565
prazo;176;2452
condição;255;2419
único;460;2205
gilmar;1732;656
observar;337;2359
câmara;279;1892
violação;442;2153
inclusive;299;2373
empresa;249;1977
realizar;226;2390
partido;687;814
fato;311;2287
cármen;1646;470
entender;770;1837
alexandre;1566;516
especial;314;2235
instituição;82;2358
específico;301;2223
jurisprudência;1111;1418
lúcia;1612;424
pedir;1259;1182
conselho;256;1759
demais;427;2071
atuação;110;2328
necessidade;196;2282
educação;93;2038
regra;218;2204
representação;528;714
dispositivo;608;1843
apresentar;442;1977
iv;240;2174
aqui;313;2085
função;148;2213
parecer;717;1680
respeito;299;2121
administração;99;2253
acordo;192;2164
maior;184;2131
marco;1257;719
declaração;1279;995
permitir;286;2123
luiz;1362;400
hipótese;563;1810
inicial;998;1355
controvérsia;1482;907
aplicação;361;1990
fachin;1455;434
policial;55;2017
ente;120;2190
econômico;114;2119
diverso;334;1980
cargo;113;2040
tema;437;1848
acórdão;1716;504
grande;238;1136
conhecimento;1459;788
regimental;1841;322
referido;376;1892
natureza;253;1985
ponto;415;1769
assegurar;67;2193
edson;1447;303
ausência;907;1264
vista;797;1372
acesso;193;1702
inconstitucional;408;1761
arts;443;1728
determinado;197;2007
base;167;2017
membro;155;1912
democrático;119;1972
vida;46;1982
financeiro;145;1958
ensino;91;1783
eminente;1261;762
caráter;513;1642
fundamento;767;1392
afirmar;398;1752
análise;491;1641
rosa;1436;318
prático;106;2019
procedente;1837;288
conferir;418;1709
superior;263;1622
declarar;1087;997
eleitoral;146;1511
indígena;79;1510
existência;739;1334
diretor;92;1900
tender;495;1565
acompanhar;1266;698
partir;203;1820
transporte;132;1302
autor;579;1453
legislação;239;1776
pena;118;1788
weber;1408;261
toffoli;1355;292
ocorrer;254;1749
cumprimento;306;1674
local;275;1699
estatal;170;1804
governo;73;1825
instrumento;606;1391
resolução;341;1471
autoridade;110;1853
área;37;1791
trabalhador;154;1049
privado;53;1871
fux;1294;320
crime;49;1757
santo;216;395
objetivo;517;1429
associação;481;625
garantia;87;1818
respectivo;140;1803
congresso;162;1603
pagamento;201;1700
só;254;1651
objectivo;511;1398
omissão;559;1276
dispor;231;1694
servidor;170;1526
desmatamento;40;1669
manifestação;490;1385
sessão;1346;444
requerente;612;1226
amplo;560;1335
assembleia;137;571
muito;195;1621
concessão;386;1457
caber;276;1547
uso;82;1728
autonomia;90;1634
texto;207;1616
covid;132;1508
região;321;981
instituto;205;990
ricardo;1082;365
agente;24;1730
decorrente;308;1514
país;36;1716
aurélio;1206;405
relevante;716;1075
comissão;49;1600
limite;119;1612
individual;239;1518
dado;43;1604
lesão;1136;523
institucional;162;1586
adotar;290;1458
stf;502;1206
então;337;1424
item;326;1270
participação;65;1633
tese;481;1235
exigir;313;1432
diante;481;1277
proposta;590;1113
expressão;119;1573
senado;125;1430
complementar;158;1497
legitimidade;892;778
eleição;109;1490
admitir;713;1002
concreto;410;1319
ficar;165;1553
agr;1521;37
lewandowski;1099;332
adequado;356;1363
relatório;687;832
imediato;817;889
destinar;73;1626
deferir;861;828
devido;160;1542
efetivo;114;1558
deputado;97;1438
código;186;1429
conjunto;455;1213
constituir;153;1548
celso;1363;221
conceder;435;1219
entendimento;605;1086
expor;974;721
anterior;358;1306
amazônia;58;1504
contrato;63;1477
fiscalização;125;1471
projeto;70;1527
risco;91;1526
parágrafo;299;1328
proferido;988;670
fundo;107;1420
vir;238;1400
verificar;392;1264
liminar;997;623
manter;168;1452
orçamento;56;1466
mello;1305;224
exame;624;1012
regional;293;785
doc;492;952
via;679;958
prestar;235;1358
eventual;221;1393
pandemia;113;1460
material;249;1275
interno;406;1158
coisa;318;1182
aplicar;129;1452
procedimento;75;1484
destacar;390;1211
finalidade;185;1404
realização;84;1462
população;32;1465
livre;33;1446
garantir;36;1521
contar;109;1450
critério;148;1401
desenvolvimento;64;1396
polícia;41;1351
força;45;1439
dj;1275;109
momento;245;1319
essencial;200;1360
juiz;98;1237
exemplo;192;1364
autorizar;191;1362
federativo;77;1448
contexto;295;1258
demonstrar;365;1197
ativo;809;691
eficácia;531;990
sp;368;243
formular;733;772
embargo;1124;238
responsabilidade;40;1446
ementa;835;452
petição;702;780
provimento;1188;312
importante;116;1378
exercer;102;1397
redução;46;1406
despesa;48;1330
concentrado;913;589
abstrato;680;808
mínimo;49;1377
impor;145;1346
encontrar;206;1267
conhecer;1195;239
luís;669;627
ae;8;12
trabalhista;201;1053
eficaz;1122;336
data;244;1126
parlamentar;49;1321
questionar;576;874
chefe;65;848
menos;123;1298
promover;104;1334
conta;165;1056
sanar;1352;82
reqte;384;0
resultado;114;1288
sempre;178;1228
juízo;295;1078
submeter;308;1100
sul;152;400
cabimento;1168;206
operação;22;1244
utilização;442;959
incluir;155;1235
grupo;18;1249
impedir;227;1169
redação;147;1187
suspensão;320;1038
face;555;827
internacional;33;1259
fixar;162;1218
utilizar;202;1176
atender;374;1003
previsão;111;1262
defensoria;96;683
registro;158;1130
definir;84;1288
prestação;73;1269
representar;131;1196
passar;79;1277
afastar;409;958
deixar;144;1197
legítimo;109;1168
contrário;161;1188
cumprir;161;1152
documento;278;994
relativo;100;1226
organização;35;1240
observância;355;968
manifestar;581;727
casa;109;1160
antes;179;1115
mato;136;358
número;28;1139
unidade;26;1195
relatoria;980;254
ofensa;413;868
referir;172;1122
tutela;405;834
indicar;206;1059
revelar;250;1039
mc;1023;146
sede;547;733
eletrônico;360;834
solução;174;1071
disposto;144;1125
profissional;129;1062
obrigação;39;1179
embora;156;1116
grosso;132;329
extraordinário;608;632
virtual;1054;134
atribuição;57;1184
combate;43;1163
gestão;72;1144
parcialmente;889;317
edoc;339;679
quadro;113;1119
verba;169;1048
grave;93;1121
editar;168;1055
justificar;212;1014
mulher;21;953
ed;343;742
especialmente;162;1073
final;268;940
linha;268;953
atual;118;1095
existir;199;993
técnica;51;1150
comunidade;32;1088
conhecido;901;289
provisório;280;858
negar;930;271
alteração;136;1049
requerer;419;777
dignidade;38;1087
precatório;275;898
sustentar;298;896
trazer;231;937
referendo;938;158
investigação;33;1073
separação;146;1030
assentar;443;735
criar;42;1105
universidade;70;887
período;35;1094
igualdade;42;1090
cidadão;18;1116
tornar;118;1042
parâmetro;166;979
ex;204;816
argumento;343;787
disposição;121;1017
convenção;37;1019
atar;861;181
procedência;712;417
possuir;195;939
restrição;41;1056
prévio;109;1011
fiscal;60;965
preliminar;668;419
prejuízo;181;943
tomar;108;1008
evitar;263;861
providência;115;999
legalidade;129;987
conteúdo;187;913
andré;458;334
levar;119;994
presidência;363;689
maneira;256;862
certo;101;1008
receber;127;958
espécie;290;807
nunes;520;149
ideia;18;1057
republicano;66;998
ressaltar;176;934
determinação;102;995
mostrar;324;783
título;64;1000
terra;23;867
demanda;187;904
representante;40;914
atribuir;110;977
prefeito;138;379
implementação;50;1015
envolver;130;929
jurisdição;258;805
causa;144;907
problema;47;981
economia;78;972
democracia;17;905
conclusão;351;705
adoção;87;991
discutir;576;483
categoria;134;913
vincular;92;976
legislador;44;1001
cláusula;117;900
rede;154;478
proteger;36;995
preservação;156;884
exigência;110;922
querer;107;811
instituir;72;976
atuar;48;997
estabelecimento;68;902
advocacia;360;594
benefício;55;961
carta;106;940
alegação;306;732
federação;95;741
pessoal;47;972
iniciativa;58;941
gênero;48;840
re;636;330
autorização;29;985
curso;95;924
falar;180;678
responsável;24;978
legislar;69;927
marques;505;147
básico;27;970
estudo;22;835
configurar;256;766
urbano;67;833
tratamento;14;986
constante;127;891
bloqueio;327;683
comum;44;947
visar;84;919
formal;201;791
prevenção;59;884
elemento;72;897
mês;48;858
publicação;235;737
pensão;133;759
mecanismo;300;667
concluir;203;786
portaria;136;759
integrar;48;927
proibição;50;875
criação;49;921
território;57;880
impossibilidade;284;689
norte;120;446
lado;84;864
jurisdicional;227;739
busca;160;795
competente;41;932
preso;28;819
programa;11;889
transparência;26;889
fase;81;804
lesividade;938;29
disponível;117;453
reconhecimento;159;797
receita;44;840
expressar;84;872
oliveira;30;98
modelo;64;841
vedar;41;908
acercar;188;766
mina;166;316
defensor;59;175
claro;94;833
privativo;92;845
piauí;180;263
mesa;99;765
ix;165;745
debate;120;798
ajuizamento;746;184
orientação;122;779
publicar;234;553
produzir;92;826
máximo;26;883
vedação;57;855
intervenção;79;825
expressamente;80;843
nível;15;874
the;8;170
praticar;59;851
firmar;386;523
defender;170;731
manutenção;74;833
registrar;114;771
edição;68;834
integrante;62;841
grau;237;628
alegar;224;690
procuradoria;450;399
compreender;209;698
dentro;21;872
regimento;181;691
pará;169;232
bahia;123;199
prisão;21;792
empregado;62;746
mencionar;173;725
luz;103;779
absoluto;79;808
mandato;21;818
inexistência;586;306
consequência;60;824
funcionamento;32;852
atendimento;224;648
aspecto;96;786
decidir;201;675
parcial;427;433
oportunidade;165;709
valer;109;744
mendonça;428;206
souza;14;70
colocar;89;773
prova;82;740
espaço;27;822
violar;218;657
rj;248;173
rp;71;704
inc;184;588
campo;92;664
distribuição;62;776
mandar;277;538
ademais;157;717
implicar;139;728
discussão;163;688
silva;46;262
súmula;213;613
referente;75;784
confederação;327;255
previsto;90;769
diferente;33;779
vigente;72;783
misto;55;787
causar;302;533
motivo;189;644
dezembro;213;601
elaboração;39;801
crédito;34;760
dúvida;145;689
bom;90;695
técnico;17;740
violência;11;718
vacinação;22;706
regulamentar;139;685
qualidade;70;733
publicidade;20;798
produção;43;769
ordinário;263;556
repercussão;327;476
ordenamento;88;745
cabível;622;212
propor;299;526
obrigatório;81;731
acima;115;709
estabelecido;44;778
impugnação;468;349
relevância;206;608
teor;177;645
sexual;18;633
lugar;86;715
alterar;106;700
alegado;365;442
nada;90;693
realidade;46;743
diretamente;111;694
central;68;543
escolha;25;746
definição;51;741
tão;179;608
circunstância;123;674
sanitário;19;755
particular;68;714
melhor;53;707
deliberação;63;709
voltar;83;707
relacionado;81;697
mudança;18;742
monitoramento;17;697
revisão;110;635
recepção;377;389
inquérito;57;631
constar;94;678
classe;249;491
apto;618;174
mero;256;532
josé;61;523
excepcional;101;678
natural;25;726
posição;117;633
emprego;29;712
competir;65;704
real;82;661
conformidade;396;376
resultar;174;591
of;16;227
aí;57;706
atingir;45;697
suficiente;124;640
ltda;5;15
estrutural;82;647
unanimidade;622;109
sim;94;662
compreensão;218;544
decorrer;55;709
analisar;190;562
indicação;145;573
popular;102;554
amazona;74;221
pensamento;17;683
dano;42;663
aumento;6;680
pressuposto;452;271
agora;128;615
seguir;143;598
total;54;668
apreciação;281;451
tributário;71;598
adotado;42;700
constitucionalmente;42;698
efetividade;162;576
posto;224;509
achar;80;627
palavra;65;653
hora;19;618
perda;220;491
turma;542;142
professor;25;630
grifo;321;399
paraíba;158;161
físico;17;690
sindicato;63;205
secretaria;38;615
criminal;22;578
água;69;580
imposto;37;666
consideração;126;589
pretender;118;602
brasília;434;258
vii;53;644
prestador;77;607
entanto;106;613
limitação;30;672
definitivo;397;318
contido;164;548
citar;212;492
significar;122;583
militar;28;582
oficial;56;642
impacto;19;684
regular;88;620
capacidade;24;678
revogar;151;550
reiterar;248;460
nota;141;544
crfb;55;552
votar;261;388
maranhão;141;115
eficiência;25;677
produto;5;575
relatar;499;205
dr;132;80
extensão;168;517
divergência;333;343
constituinte;10;675
permanente;18;664
científico;16;648
taxa;29;593
menor;65;591
falta;110;563
restar;261;428
proibir;26;649
gerar;48;626
vigência;104;571
catarina;103;154
prerrogativa;40;645
destinação;22;648
sujeito;22;657
estrutura;15;656
informar;49;615
capaz;385;299
futuro;26;633
disciplina;39;635
negro;193;379
chegar;52;614
presença;150;514
honra;38;611
temática;321;349
discriminação;13;615
improcedência;509;157
anual;18;630
importância;36;636
propósito;159;515
diploma;123;552
papel;31;625
caracterizar;193;485
vítima;8;587
existente;58;612
postulado;199;465
ilegal;24;606
suspender;314;353
temporário;16;604
cenário;36;625
br;11;113
religioso;21;564
exatamente;114;538
escola;17;568
excluir;97;563
criança;11;597
indireto;135;525
passo;267;355
hoje;39;610
reduzir;31;616
prisional;21;584
aprovar;29;611
igualmente;109;541
conduta;47;592
obstante;100;556
buscar;67;583
alagoas;73;193
ppcdam;7;593
pertinente;80;565
favor;52;583
ad;470;170
aberto;71;553
votação;37;571
precisar;38;594
grifar;232;415
reunião;15;585
histórico;15;623
tudo;133;510
ms;260;257
março;168;411
salário;38;509
assistência;29;583
setor;15;566
pretensão;241;392
infração;1;587
disciplinar;33;602
início;137;490
veicular;224;415
sistemático;73;564
arma;20;552
conflito;69;559
espírito;51;170
doutrina;89;545
zona;21;517
fático;82;538
implementar;45;582
carlos;217;148
apresentado;143;477
amicus;211;136
subjetivo;154;459
logo;176;448
chamado;44;568
associacao;58;2
improcedente;524;94
pensar;84;521
peça;152;431
negativo;206;409
impeachment;62;538
sobretudo;41;576
argüição;570;9
alcançar;59;551
afronta;109;509
fazenda;57;525
depender;31;577
terceirização;29;519
proporcionalidade;20;583
evidenciar;174;444
continuidade;107;507
preservar;32;580
enfrentamento;94;512
federado;22;583
ameaça;164;411
pertinência;329;262
esfera;32;566
simples;106;487
consagrar;101;510
independentemente;44;563
https;4;129
meta;8;541
contratação;13;566
admissibilidade;447;152
validade;131;469
recente;86;505
principal;50;547
preciso;41;557
instauração;118;476
incidência;134;468
razoável;55;548
virtude;119;483
mundo;7;555
igual;53;517
elaborar;33;567
depois;57;533
penhora;199;403
obra;22;546
filho;33;331
construção;26;537
incompatível;62;537
anteriormente;142;450
milhão;2;499
universitário;25;495
sindical;159;302
ajuizado;504;79
eis;173;419
vacina;8;493
recursal;444;119
limitar;62;527
instalação;20;554
honorário;55;476
pleito;100;487
revista;24;512
monocrático;479;62
ingresso;104;467
governamental;12;566
cultural;9;549
indivíduo;10;554
conter;55;528
alto;12;547
condução;35;512
