"";"V1"
"1";0
"2";0
"3";2
"4";1
"5";2
"6";1
"7";2
"8";2
"9";1
"10";2
"11";2
"12";1
"13";1
"14";2
"15";1
"16";0
"17";0
"18";1
"19";2
"20";2
"21";2
"22";2
"23";2
"24";1
"25";2
"26";2
"27";1
"28";1
"29";2
"30";1
"31";2
"32";2
"33";2
"34";1
"35";1
"36";2
"37";1
"38";2
"39";2
"40";2
"41";2
"42";1
"43";2
"44";2
"45";1
"46";1
"47";1
"48";1
"49";2
"50";2
"51";1
"52";2
"53";2
"54";2
"55";1
"56";1
"57";1
"58";1
"59";1
"60";1
"61";2
"62";2
"63";2
"64";1
"65";1
"66";2
"67";2
"68";2
"69";2
"70";2
"71";2
"72";1
"73";1
"74";0
"75";1
"76";0
"77";1
"78";0
"79";0
"80";0
"81";0
"82";0
"83";0
"84";0
"85";0
"86";0
"87";0
"88";0
"89";0
"90";0
"91";0
"92";0
"93";0
"94";1
"95";2
"96";1
"97";1
"98";1
"99";1
"100";1
"101";2
"102";1
"103";1
"104";1
"105";1
"106";0
"107";0
"108";0
"109";0
"110";0
"111";0
"112";0
"113";0
"114";0
"115";0
"116";0
"117";0
"118";0
"119";0
"120";0
"121";0
"122";1
"123";1
"124";2
"125";2
"126";1
"127";1
"128";1
"129";1
"130";1
"131";2
"132";1
"133";1
"134";1
"135";2
"136";2
"137";1
"138";1
"139";1
"140";1
"141";1
"142";1
"143";1
"144";1
"145";1
"146";2
"147";1
"148";1
"149";0
"150";0
"151";0
"152";0
"153";0
"154";0
"155";0
"156";0
"157";0
"158";0
"159";0
"160";0
"161";0
"162";0
"163";0
"164";0
"165";0
"166";1
"167";1
"168";1
"169";2
"170";1
"171";2
"172";2
"173";2
"174";2
"175";2
"176";2
"177";2
"178";2
"179";2
"180";2
"181";2
"182";2
"183";1
"184";2
"185";1
"186";1
"187";1
"188";1
"189";0
"190";0
"191";0
"192";0
"193";0
"194";0
"195";0
"196";0
"197";0
"198";0
"199";0
"200";0
"201";1
"202";0
"203";1
"204";0
"205";2
"206";1
"207";2
"208";2
"209";2
"210";2
"211";2
"212";1
"213";1
"214";1
"215";1
"216";1
"217";0
"218";1
"219";2
"220";1
"221";2
"222";2
"223";1
