"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"2";"***";"";""
"**";"classe";"1";"**";"";""
"****";"34156";"149287";"22.88";"****";""
" 9964";"10867";" 91.69";"31450.930";"arguição";" 0.000000e+00"
" 9344";"10017";" 93.28";"30161.768";"descumprimento";" 0.000000e+00"
"10490";"12552";" 83.57";"28609.876";"preceito";" 0.000000e+00"
"10340";"15078";" 68.58";"19849.526";"fundamental";" 0.000000e+00"
" 5747";" 6439";" 89.25";"16801.239";"min";" 0.000000e+00"
" 8534";"13538";" 63.04";"13607.168";"ministro";" 0.000000e+00"
" 6754";" 9870";" 68.43";"12427.621";"relator";" 0.000000e+00"
" 5933";" 8104";" 73.21";"12302.708";"adpf";" 0.000000e+00"
" 4070";" 4587";" 88.73";"11629.824";"rel";" 0.000000e+00"
" 4402";" 5542";" 79.43";"10431.617";"plenário";" 0.000000e+00"
" 3324";" 3652";" 91.02";" 9850.670";"dje";" 0.000000e+00"
" 4188";" 5842";" 71.69";" 8208.640";"julgar";" 0.000000e+00"
" 3403";" 4368";" 77.91";" 7722.054";"pleno";" 0.000000e+00"
" 2464";" 2638";" 93.40";" 7569.802";"agravo";" 0.000000e+00"
" 6926";"13232";" 52.34";" 7143.038";"tribunal";" 0.000000e+00"
" 2527";" 2850";" 88.67";" 7126.629";"subsidiariedade";" 0.000000e+00"
" 4209";" 6837";" 61.56";" 6076.348";"voto";" 0.000000e+00"
" 3051";" 4272";" 71.42";" 5872.308";"adir";" 0.000000e+00"
" 1521";" 1558";" 97.63";" 4985.185";"agr";" 0.000000e+00"
" 1837";" 2125";" 86.45";" 4936.761";"procedente";" 0.000000e+00"
" 1841";" 2163";" 85.11";" 4817.625";"regimental";" 0.000000e+00"
" 3216";" 5156";" 62.37";" 4721.019";"pedido";" 0.000000e+00"
" 3431";" 5762";" 59.55";" 4566.427";"julgamento";" 0.000000e+00"
" 1352";" 1434";" 94.28";" 4183.601";"sanar";" 0.000000e+00"
" 1275";" 1384";" 92.12";" 3796.128";"dj";" 0.000000e+00"
" 1716";" 2220";" 77.30";" 3782.053";"acórdão";" 0.000000e+00"
" 2970";" 5090";" 58.35";" 3757.488";"cautelar";" 0.000000e+00"
" 1612";" 2036";" 79.17";" 3707.426";"lúcia";" 0.000000e+00"
" 1594";" 2003";" 79.58";" 3699.276";"moraes";" 0.000000e+00"
" 2107";" 3083";" 68.34";" 3687.560";"mérito";" 0.000000e+00"
" 1646";" 2116";" 77.79";" 3667.625";"cármen";" 0.000000e+00"
" 1363";" 1584";" 86.05";" 3620.550";"celso";" 0.000000e+00"
" 1408";" 1669";" 84.36";" 3615.983";"weber";" 0.000000e+00"
" 1447";" 1750";" 82.69";" 3589.530";"edson";" 0.000000e+00"
" 3137";" 5678";" 55.25";" 3504.907";"presente";" 0.000000e+00"
" 1436";" 1754";" 81.87";" 3500.359";"rosa";" 0.000000e+00"
" 5028";"11044";" 45.53";" 3466.833";"ação";" 0.000000e+00"
" 1305";" 1529";" 85.35";" 3416.747";"mello";" 0.000000e+00"
" 1733";" 2389";" 72.54";" 3393.476";"mendes";" 0.000000e+00"
" 1732";" 2388";" 72.53";" 3390.461";"gilmar";" 0.000000e+00"
" 1355";" 1647";" 82.27";" 3329.224";"toffoli";" 0.000000e+00"
" 1566";" 2082";" 75.22";" 3277.765";"alexandre";" 0.000000e+00"
" 1455";" 1889";" 77.02";" 3178.858";"fachin";" 0.000000e+00"
" 2718";" 4864";" 55.88";" 3103.168";"inconstitucionalidade";" 0.000000e+00"
" 2500";" 4311";" 57.99";" 3101.658";"senhor";" 0.000000e+00"
" 1294";" 1614";" 80.17";" 3035.487";"fux";" 0.000000e+00"
" 1168";" 1374";" 85.01";" 3033.611";"cabimento";" 0.000000e+00"
"  938";"  967";" 97.00";" 3030.562";"lesividade";" 0.000000e+00"
" 1195";" 1434";" 83.33";" 2998.987";"conhecer";" 0.000000e+00"
" 1362";" 1762";" 77.30";" 2992.607";"luiz";" 0.000000e+00"
" 1054";" 1188";" 88.72";" 2942.154";"virtual";" 0.000000e+00"
" 1346";" 1790";" 75.20";" 2810.266";"sessão";" 0.000000e+00"
" 1023";" 1169";" 87.51";" 2789.323";"mc";" 0.000000e+00"
" 1124";" 1362";" 82.53";" 2771.462";"embargo";" 0.000000e+00"
" 1690";" 2554";" 66.17";" 2759.948";"barroso";" 0.000000e+00"
" 1188";" 1500";" 79.20";" 2723.930";"provimento";" 0.000000e+00"
" 1641";" 2474";" 66.33";" 2691.718";"roberto";" 0.000000e+00"
" 1206";" 1611";" 74.86";" 2493.906";"aurélio";" 0.000000e+00"
"  938";" 1096";" 85.58";" 2460.329";"referendo";" 0.000000e+00"
" 1122";" 1458";" 76.95";" 2440.072";"eficaz";" 0.000000e+00"
" 2054";" 3608";" 56.93";" 2429.411";"precedente";" 0.000000e+00"
" 1099";" 1431";" 76.80";" 2380.715";"lewandowski";" 0.000000e+00"
" 1459";" 2247";" 64.93";" 2286.332";"conhecimento";" 0.000000e+00"
"  980";" 1234";" 79.42";" 2254.093";"relatoria";" 0.000000e+00"
" 1082";" 1447";" 74.78";" 2230.235";"ricardo";" 0.000000e+00"
"  861";" 1042";" 82.63";" 2123.108";"atar";" 0.000000e+00"
" 1482";" 2389";" 62.03";" 2109.499";"controvérsia";" 0.000000e+00"
" 1634";" 2777";" 58.84";" 2073.863";"requisito";" 0.000000e+00"
"  930";" 1201";" 77.44";" 2042.309";"negar";" 0.000000e+00"
" 2060";" 3915";" 52.62";" 2015.125";"direto";" 0.000000e+00"
" 1244";" 1887";" 65.92";" 2006.934";"df";" 0.000000e+00"
" 1136";" 1659";" 68.47";" 1976.649";"lesão";" 0.000000e+00"
" 1266";" 1964";" 64.46";" 1950.135";"acompanhar";" 0.000000e+00"
" 3907";" 9457";" 41.31";" 1944.437";"decisão";" 0.000000e+00"
"  901";" 1190";" 75.71";" 1897.792";"conhecido";" 0.000000e+00"
" 1257";" 1976";" 63.61";" 1883.091";"marco";" 0.000000e+00"
"  570";"  579";" 98.45";" 1881.074";"argüição";" 0.000000e+00"
" 1261";" 2023";" 62.33";" 1809.183";"eminente";" 0.000000e+00"
"  889";" 1206";" 73.71";" 1780.681";"parcialmente";" 0.000000e+00"
"  746";"  930";" 80.22";" 1743.536";"ajuizamento";" 0.000000e+00"
" 3132";" 7352";" 42.60";" 1704.476";"supremo";" 0.000000e+00"
"  622";"  731";" 85.09";" 1611.192";"unanimidade";" 0.000000e+00"
" 1612";" 3032";" 53.17";" 1608.911";"distrito";" 0.000000e+00"
"  495";"  521";" 95.01";" 1541.611";"adv";" 0.000000e+00"
"  467";"  475";" 98.32";" 1536.823";"ag";" 0.000000e+00"
" 1461";" 2714";" 53.83";" 1500.914";"processual";" 0.000000e+00"
"  446";"  452";" 98.67";" 1476.046";"reg";"6.422853e-323"
" 1279";" 2274";" 56.24";" 1456.887";"declaração";"9.140412e-319"
"  438";"  453";" 96.69";" 1402.895";"extrato";"4.935615e-307"
"  997";" 1620";" 61.54";" 1387.545";"liminar";"1.068869e-303"
"  618";"  792";" 78.03";" 1372.540";"apto";"1.948088e-300"
"  524";"  618";" 84.79";" 1348.030";"improcedente";"4.128729e-295"
"  504";"  583";" 86.45";" 1340.469";"ajuizado";"1.814967e-293"
"  479";"  541";" 88.54";" 1326.675";"monocrático";"1.804416e-290"
"  835";" 1287";" 64.88";" 1297.852";"ementa";"3.311780e-284"
"  384";"  384";"100.00";" 1297.702";"reqte";"3.569170e-284"
"  988";" 1658";" 59.59";" 1280.557";"proferido";"1.898892e-280"
"  622";"  834";" 74.58";" 1270.516";"cabível";"2.887396e-278"
" 1448";" 2863";" 50.58";" 1269.048";"constitucionalidade";"6.019898e-278"
"  542";"  684";" 79.24";" 1237.037";"turma";"5.449228e-271"
"  913";" 1502";" 60.79";" 1235.568";"concentrado";"1.136101e-270"
"  376";"  392";" 95.92";" 1188.288";"acordar";"2.141357e-260"
"  974";" 1695";" 57.46";" 1162.135";"expor";"1.033923e-254"
" 1259";" 2441";" 51.58";" 1158.270";"pedir";"7.155356e-254"
"  520";"  669";" 77.73";" 1145.754";"nunes";"3.755597e-251"
" 1472";" 3050";" 48.26";" 1136.923";"auto";"3.119601e-249"
"  505";"  652";" 77.45";" 1105.386";"marques";"2.230266e-242"
"  383";"  422";" 90.76";" 1105.085";"seguimento";"2.591972e-242"
"  387";"  432";" 89.58";" 1092.521";"redator";"1.394744e-239"
"  509";"  666";" 76.43";" 1087.104";"improcedência";"2.097740e-238"
"  712";" 1129";" 63.06";" 1041.139";"procedência";"2.052821e-228"
" 1087";" 2084";" 52.16";" 1026.896";"declarar";"2.558912e-225"
"  636";"  966";" 65.84";" 1016.931";"re";"3.751473e-223"
"  444";"  563";" 78.86";" 1003.827";"recursal";"2.644644e-220"
"  586";"  892";" 65.70";"  932.303";"inexistência";"9.323318e-205"
"  470";"  640";" 73.44";"  931.133";"ad";"1.675079e-204"
"  397";"  495";" 80.20";"  924.877";"ilegitimidade";"3.836182e-203"
"  499";"  704";" 70.88";"  923.667";"relatar";"7.029508e-203"
"  668";" 1087";" 61.45";"  923.379";"preliminar";"8.119304e-203"
"  447";"  599";" 74.62";"  912.628";"admissibilidade";"1.765033e-200"
"  286";"  298";" 95.97";"  904.126";"solver";"1.244055e-198"
"  892";" 1670";" 53.41";"  892.375";"legitimidade";"4.461794e-196"
"  265";"  267";" 99.25";"  884.171";"osição";"2.709633e-194"
"  373";"  462";" 80.74";"  879.179";"interpor";"3.297159e-193"
" 2904";" 7980";" 36.39";"  872.282";"geral";"1.041285e-191"
"  264";"  270";" 97.78";"  859.962";"ã";"4.964045e-189"
"  302";"  342";" 88.30";"  831.553";"zavascki";"7.447490e-183"
"  809";" 1500";" 53.93";"  828.122";"ativo";"4.148936e-182"
"  304";"  350";" 86.86";"  813.822";"arguições";"5.331322e-179"
"  271";"  293";" 92.49";"  806.259";"ref";"2.351480e-177"
"  317";"  379";" 83.64";"  795.039";"teori";"6.467478e-175"
"  861";" 1689";" 50.98";"  764.348";"deferir";"3.046213e-168"
"  223";"  224";" 99.55";"  747.451";"divulg";"1.437533e-164"
"  223";"  226";" 98.67";"  736.904";"decl";"2.824596e-162"
"  227";"  233";" 97.42";"  734.956";"emb";"7.490079e-162"
"  428";"  634";" 67.51";"  718.698";"mendonça";"2.569592e-158"
"  343";"  456";" 75.22";"  710.139";"agravante";"1.865819e-156"
"  327";"  427";" 76.58";"  699.886";"divergir";"3.165690e-154"
"  362";"  505";" 71.68";"  683.997";"prover";"9.031833e-151"
"  223";"  238";" 93.70";"  677.552";"public";"2.276604e-149"
"  271";"  328";" 82.62";"  664.938";"declaratório";"1.260347e-146"
"  387";"  570";" 67.89";"  657.115";"referendar";"6.334266e-145"
"  452";"  723";" 62.52";"  646.922";"pressuposto";"1.043501e-142"
" 1111";" 2529";" 43.93";"  646.098";"jurisprudência";"1.576290e-142"
"  322";"  438";" 73.52";"  638.357";"conversão";"7.609828e-141"
"  833";" 1729";" 48.18";"  634.506";"procurador";"5.232984e-140"
