"";"classe 1";"classe 2"
"art";1;0
"público";1;0
"lei";0,095;1
"federal";0;1
"direito";1;0
"ministro";0;1
"fundamental";0;1
"geral";0;1
"tribunal";0;1
"constitucional";0,308;1
"preceito";0;1
"constituição";1;0
"arguição";0;1
"ação";0;1
"relator";0;1
"descumprimento";0;1
"medida";0;1
"dever";1;0
"decisão";0;1
"nacional";1;0
"adpf";0;1
"adv";0;1
"meio";0;1
"min";0;1
"princípio";1;0
"caso";1;0
"ato";0;1
"união";1;0
"processo";1;0
"voto";0;1
"supremo";0;1
"presidente";0;1
"república";0;1
"procurador";0;1
"norma";1;0
"plenário";0;1
"forma";1;0
"também";1;0
"jurídico";1;0
"mesmo";1;0
"legislativo";1;0
"senhor";0;1
"julgar";0;1
"julgamento";0;1
"recurso";0,735;1
"já";1;0,001
"município";1;0
"controlo";0;1
"presente";0;1
"rel";0;1
"bem";1;0
"corte";0;1
"judicial";0;1
"serviço";1;0
"ainda";1;0
"sentido";0;1
"dia";0;1
"cautelar";0;1
"ii";1;0
"pedido";0;1
"artigo";1;0
"brasileiro";1;0
"próprio";1;0
"estadual";1;0
"inconstitucionalidade";0;1
"adir";0;1
"assim";1;0,874
"termo";0;1
"competência";1;0
"pleno";0;1
"sistema";1;0
"intdo";0;1
"pessoa";1;0
"político";1;0
"cf";1;0
"rio";0,355;1
"social";1;0
"justiça";0;1
"relação";1;0
"quando";1;0,625
"prever";1;0
"órgão";1;0
"normativo";1;0,171
"até";1;0
"curiae";0;1
"municipal";0,01;1
"atividade";1;0
"auto";0;1
"ministério";1;0
"dje";0;1
"questão";0,1;1
"efeito";0,004;1
"regime";1;0
"dar";1;0
"situação";1;0
"segurança";1;0
"liberdade";1;0
"apenas";1;0
"saúde";1;0
"direto";0;1
"proc";0;1
"tratar";0,011;1
"distrito";0;1
"decreto";1;0
"brasil";1;0
"considerar";1;0
"proteção";1;0
"razão";0;1
"plano";1;0
"ambiente";1;0
"exercício";1;0
"orçamentário";1;0
"administrativo";1;0
"novo";1;0
"informação";1;0
"iii";1;0
"ordem";1;0
"humano";1;0
"precedente";0;1
"am";0;1
"determinar";1;0
"emenda";1;0
"executivo";1;0
"legal";1;0
"modo";1;0
"paulo";0;1
"execução";1;0
"necessário";1;0
"governador";0;1
"estabelecer";1;0
"janeiro";1;0
"df";0;1
"ambiental";1;0
"âmbito";1;0
"seguinte";0;1
"objeto";0;1
"roberto";0;1
"matéria";1;0
"impugnar";0;1
"advogado";0;1
"porque";1;0
"mérito";0;1
"penal";1;0
"política";1;0
"barroso";0;1
"ano";1;0
"inciso";1;0
"interesse";1;0
"caput";1;0
"judiciário";1;0
"vez";1;0
"reconhecer";0;1
"civil";1;0
"coletivo";1;0
"constitucionalidade";0;1
"subsidiariedade";0;1
"mendes";0;1
"interpretação";0;1
"defesa";1;0
"agravo";0;1
"possibilidade";1;0,03
"sociedade";1;0
"processual";0;1
"entidade";1;0
"possível";1;0
"requisito";0;1
"moraes";0;1
"além";1;0
"prazo";1;0
"condição";1;0
"único";1;0
"gilmar";0;1
"observar";1;0
"câmara";1;0
"violação";1;0
"inclusive";1;0
"empresa";1;0
"realizar";1;0
"partido";0;1
"fato";1;0
"cármen";0;1
"entender";0;1
"alexandre";0;1
"especial";1;0
"instituição";1;0
"específico";1;0
"jurisprudência";0;1
