de;32540;112342
a;24123;96322
em;21790;77692
o;19573;73321
que;12085;60743
ser;8653;41706
por;11515;41151
se;7420;31518
para;7180;28795
não;7382;26935
ao;5148;23898
com;4017;21301
s;1656;777
estado;2281;13366
poder;2305;18795
como;3566;17224
n;5137;10211
1;5052;9162
um;929;12005
ter;2002;11462
uma;1087;11622
sua;1462;10202
ir;2309;8787
2;3094;7509
outro;2245;6911
haver;1959;8133
sobre;1145;8019
3;2785;5866
todo;1055;7907
4;3359;5019
estar;1318;7121
seu;909;7352
5;2353;5280
9;2939;3962
qual;1446;5783
sem;917;4872
mais;499;6052
i;1280;4823
entre;732;5386
6;2088;3441
fazer;1031;4828
essa;769;4669
trabalho;593;3502
tal;804;4363
2020;1602;2353
10;2030;2501
qualquer;719;4191
quanto;1212;3608
esse;744;4057
parte;1135;3373
ver;1012;3501
2021;1311;2084
8;1474;2434
7;1160;2768
p;749;2686
ele;285;3357
isso;520;3405
12;1564;2099
sob;708;2982
fim;612;3086
19;815;2526
contra;923;2489
11;1564;1606
valor;241;3013
segundo;669;2656
v;925;1832
dizer;350;2657
este;944;1973
esta;732;2163
2022;971;1280
eu;575;1823
2019;810;1533
13;855;1666
primeiro;612;2010
14;913;1503
1988;431;1972
c;562;1414
me;488;1473
aquele;328;1945
cada;101;2084
excelência;772;1320
desde;510;1702
22;655;1432
ela;221;1901
882;1502;527
2018;884;830
2023;713;810
dois;206;1709
21;854;969
20;613;1130
b;247;1588
após;504;1318
1999;1154;692
r;488;782
somente;345;1495
in;442;992
15;610;1068
17;817;818
aquela;261;1430
tanto;193;1471
povo;78;1309
24;571;955
23;606;916
18;621;831
2015;584;862
30;460;983
tempo;97;1403
2017;590;785
mediante;212;1309
nós;137;1221
j;862;333
16;560;800
27;709;574
d;366;873
maioria;557;680
06;822;232
vossa;385;806
ante;615;682
meu;372;884
2016;528;630
saber;130;1125
cuja;243;1030
apontar;216;1007
lhe;140;1079
29;482;603
08;836;179
minha;606;554
26;613;500
03;745;242
nosso;318;827
09;679;238
último;156;970
25;455;645
37;204;907
perante;347;751
2014;495;501
quem;74;952
