"";"";"";"";"centralizado";""
"1";"centralizado";"1.14859260486996";"6.30738602470893";"0.984771259429545";"57"
"2";"inconstitucionalidade";"1.365159820872";"-0.80013904117912";"0.96433371245765";"62"
"3";"acao_direta_de_inconstitucionalidade";"1.47986224628054";"-1.29005130214527";"0.944750199944538";"76"
"4";"conhecer";"1.59611100115808";"-1.28467428932786";"0.937994084053067";"83"
"5";"controversia";"1.56831440630593";"-1.11084247123888";"0.931173262492012";"89"
"6";"veto";"1.52321856660651";"-1.20881920262964";"0.926862900341212";"95"
"7";"honorario";"1.17842010607445";"5.39404218171372";"0.913051455073769";"106"
"8";"gilmar_mendes";"1.24949282799369";"-1.06566743044528";"0.907389307086678";"122"
"9";"congressista";"1.0781234261016";"5.2033889679902";"0.900501770363196";"137"
"10";"empenho";"1.05789913941909";"6.33761841258134";"0.899394137907475";"139"
"11";"acusacao";"0.691999038303666";"-0.386836172681207";"0.898290926336011";"142"
"12";"preceito_fundamental";"1.47537029001383";"-1.14277758047909";"0.897395094426069";"144"
"13";"rastreabilidade";"0.883470696135065";"5.54692025710809";"0.89604250479264";"149"
"14";"rubrica";"1.22012806816793";"5.75730042681511";"0.895414538278829";"150"
"15";"impositivo";"1.06533116866324";"5.291180808361";"0.895382788291891";"151"
"16";"celso_de_mello";"1.49860468175545";"-1.1944051464669";"0.892411150273894";"156"
"17";"denunciar";"0.622927868891296";"-0.330079215960356";"0.890152681266302";"160"
"18";"votacao";"0.757880121771221";"-0.386165905627225";"0.889605295415543";"161"
"19";"liquidar";"1.07552246469967";"5.59345080717806";"0.889590224219212";"162"
"20";"decisao";"0.868663213369523";"-0.356381751029256";"0.888827018836986";"164"
"21";"auto";"1.12385940406403";"-0.637622786853205";"0.888558550593001";"165"
"22";"requisito";"0.997186110830928";"-0.991979607164801";"0.886151981962792";"170"
"23";"cabimento";"1.56768296702398";"-1.30350451343";"0.885658852418827";"172"
"24";"edson_fachin";"1.33824517697302";"-1.12626006046723";"0.884327965308116";"176"
"25";"improcedente";"1.67419508627181";"-1.40488011649112";"0.883802884827927";"177"
"26";"natural";"-2.12605721789657";"-0.235440428909377";"0.883681310510853";"178"
"27";"recomposicao";"1.27511939404032";"6.55020115183195";"0.883465892877956";"180"
"28";"contingenciamento";"0.929589293525919";"5.14118103768901";"0.883297899276181";"181"
"29";"ministerio_publico";"0.588787731168622";"-0.367336894205143";"0.882794320369425";"182"
"30";"ricardo_lewandowski";"1.39943708337147";"-1.08606752265692";"0.880931319553571";"184"
"31";"embargos_de_declaracao";"1.81625643809098";"-1.42810020649382";"0.880700227876489";"185"
"32";"livre";"-1.83390685177312";"-0.163217837601143";"0.87987231682468";"186"
"33";"requerer";"1.15299913752908";"-0.724719450614551";"0.879305438893332";"187"
"34";"regimento_interno";"0.906322909460014";"-0.532796237639538";"0.878169271639224";"191"
"35";"descumprimento";"1.31299968306554";"-0.5974312863751";"0.877460523513076";"194"
"36";"procuradoria_geral_da_republica";"1.6205808904963";"-1.25287480671334";"0.876175452839212";"198"
"37";"cientificar";"-2.57655816531674";"-0.277762682322734";"0.874923940695847";"201"
"38";"advocacia_geral_da_uniao";"1.53122453042177";"-1.22443667012791";"0.874562432933176";"202"
"39";"procurador_geral_da_republica";"1.61858842589809";"-1.20602637632963";"0.874119138811747";"203"
"40";"producao";"-1.80407851387885";"-0.231492385509858";"0.873489162805091";"208"
"41";"dias_toffoli";"1.4307801365159";"-1.09590640078746";"0.872700637813029";"210"
"42";"cautelar";"1.27612938111668";"-0.639998420507637";"0.872508128398555";"211"
"43";"sanitario";"-2.34769624487412";"-0.325702704843207";"0.872090756734815";"212"
"44";"hipotese";"0.564738335483186";"-0.354478114060988";"0.871624554394962";"213"
"45";"credito";"1.37374310812189";"5.04964945245538";"0.870823570547265";"215"
"46";"texto";"0.417380304325418";"-0.228905232215611";"0.870619807972864";"216"
"47";"roberto_barroso";"1.53026030306202";"-1.06946316831877";"0.870615186139322";"217"
"48";"processual";"1.40219593759299";"-1.03261255668254";"0.870308738480582";"218"
"49";"mesa_diretora";"0.872473806350165";"-0.525591083420317";"0.870141146777376";"220"
"50";"abstrato";"1.34646235465343";"-1.17491497471333";"0.869549150185476";"222"
"51";"reconducao";"0.810244240193379";"-0.452120255809989";"0.868858688444211";"225"
"52";"requerente";"1.03469700219004";"-0.448924116821188";"0.867321225469116";"226"
"53";"precedente";"1.06663342611286";"-0.754769886656587";"0.86730957041062";"227"
"54";"impugnacao";"1.49643067259246";"-1.20203992544434";"0.867050144884434";"228"
"55";"referendo";"1.50346389995005";"-0.717033881052634";"0.866943239865123";"229"
"56";"candidato";"0.549574698175878";"-0.277227164372018";"0.86680579055458";"232"
"57";"constitucionalidade";"1.184635139004";"-1.02746556438589";"0.866344611946837";"233"
"58";"poder_judiciario";"0.34165380554836";"-0.402051693527638";"0.865979286147762";"234"
"59";"alexandre_de_moraes";"1.17048435321145";"-0.947359929579325";"0.864043541690948";"239"
"60";"formular";"1.13264913336565";"-0.689788242903155";"0.863950100273693";"240"
"61";"inelegibilidade";"0.783220132215006";"-0.441914809138778";"0.863345845775443";"242"
"62";"inquerito";"0.682028777426363";"-0.536449946873508";"0.863207190769194";"244"
"63";"deliberacao";"0.81855565583939";"-0.326515615432323";"0.862225553514804";"245"
"64";"doenca";"-2.70453193913371";"-0.254573676206297";"0.861640590147859";"246"
"65";"presidente";"0.883901292508488";"-0.60768815790313";"0.860999963829129";"248"
"66";"processo_penal";"0.513129429917253";"-0.446061689678358";"0.85959733782388";"251"
"67";"mundo";"-2.29565087524235";"-0.333331622874766";"0.858844581804444";"252"
"68";"fisico";"-2.21695237927417";"-0.0907287979156483";"0.858512814535867";"253"
"69";"instauracao";"0.81166570181609";"-0.519067792336118";"0.857668224693452";"256"
"70";"privado";"-1.68258181288652";"-0.201449271776971";"0.856497695111708";"258"
"71";"vacancia";"0.760646329214708";"-0.403056395882397";"0.85582531880604";"259"
"72";"ecologico";"-2.91001316742786";"-0.198348330572194";"0.854956414100209";"260"
"73";"pensamento";"-2.27122327908172";"-0.299335820936377";"0.854474336766887";"262"
"74";"mercado";"-2.47255463541367";"-0.300887552367519";"0.853852398731608";"264"
"75";"legislatura";"0.739363124022801";"-0.403864919010278";"0.852438318617147";"268"
"76";"vice";"0.73191738708399";"-0.473995680419305";"0.851325662429316";"269"
"77";"eleger";"0.652185852240363";"-0.391799072545985";"0.850796562963439";"270"
"78";"constituicao_federal";"0.492277767667388";"-0.0733117844413685";"0.850424002990125";"273"
"79";"direitos_fundamentais";"-1.48069685636818";"-0.305037761574131";"0.850022305370571";"278"
"80";"chapa";"0.788451055176802";"-0.430561731349366";"0.849523549246641";"279"
"81";"medidas_provisorias";"0.752323663163524";"-0.537700953459527";"0.84865323789582";"281"
"82";"medicar";"-2.60557295209758";"-0.288224822448853";"0.84778252464643";"284"
"83";"transporte";"-1.64407343671499";"-0.257435331720568";"0.847606894971847";"285"
"84";"liberdade_de_expressao";"-1.85717091911951";"-0.359362272520553";"0.847301452059529";"286"
"85";"graca";"0.400450931641144";"-0.457658024112368";"0.84709688568799";"287"
"86";"instaurar";"0.627300319657591";"-0.509314821127579";"0.847012286039249";"288"
"87";"sexual";"-2.66358706685596";"-0.248903945326092";"0.846712871605464";"289"
