"";"";"";"";"fazer";""
"1";"fazer";"0.218150611615854";"-0.304850333560447";"0.983447337805352";"67"
"2";"diante";"0.350327859266459";"-0.397130484757932";"0.960890037767097";"75"
"3";"qualquer";"-0.156124399042826";"-0.153001017925652";"0.951815859032224";"77"
"4";"segundo";"-0.0333576969574677";"-0.105312947026713";"0.947884869389445";"80"
"5";"excepcionalmente";"0.637041013364643";"-0.189682580108861";"0.937241758224458";"86"
"6";"porque";"0.244654259793831";"-0.285992736239649";"0.933619013584505";"88"
"7";"apenas";"0.021551925754075";"0.0919497507420799";"0.922754243091644";"90"
"8";"anteriormente";"0.587533272067409";"-0.15615629843966";"0.914996166616027";"93"
"9";"indiretamente";"0.50680590118611";"-0.339139378382037";"0.914227285822462";"95"
"10";"sobre";"-0.21188330434299";"-0.0370346395896183";"0.911608935011941";"96"
"11";"qual";"0.149443143746991";"0.136823755395155";"0.909866831231925";"98"
"12";"devidamente";"0.504235882627992";"-0.402284482264456";"0.907740287055127";"99"
"13";"dizer";"-0.0781997873825537";"-0.290411762201291";"0.906438038503863";"100"
"14";"isso";"0.0247456100305003";"-0.126165569886516";"0.905831938779205";"101"
"15";"outro";"-0.213202903344788";"-0.265360466054437";"0.90269061049198";"108"
"16";"primeiro";"0.209793167627564";"-0.392871243020279";"0.898669571747252";"114"
"17";"especificamente";"0.516631632275804";"-0.340747585140642";"0.885376938928762";"123"
"18";"maioria";"0.616599200103013";"-0.382404421128173";"0.880933362090273";"128"
"19";"essa";"0.00532758638509872";"-0.0494092963481934";"0.878069107962891";"131"
"20";"entao";"0.409294730934171";"-0.380550525725841";"0.874394411917967";"136"
"21";"posteriormente";"0.955661591766231";"-0.424950196575683";"0.872503380777036";"140"
"22";"manifestamente";"0.650385976135173";"-0.556524999446747";"0.87205313526729";"141"
"23";"vinte";"0.230129864950465";"-0.320689736613457";"0.871232303068754";"142"
"24";"nenhum";"-0.144120835815497";"-0.435566187045339";"0.871214985933764";"143"
"25";"nossa";"-0.613091275631589";"-0.386741432542607";"0.867211264324026";"148"
"26";"metaforicamente";"0.712451470880442";"-0.355380481073018";"0.865424135993035";"149"
"27";"agora";"0.344997144824066";"-0.524915014326244";"0.860492215947822";"156"
