"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"dar";-0,018083535169858;-0,00345395016734058;0,0376237503087522;-0,431725610049986;-0,082459470953603;0,898227940601393;0,277996291035162;0,00832212261452597;0,713681586351217;1,53395399252445e-05;5,59600119602487e-07;6,64002677998275e-05;0,0469078647045434;0,0170632715194951;1,3657470368961e-05
"por";0,169960068864119;-0,032712277233459;0,104099677685432;0,841497221689597;-0,161963281087532;0,515412768049114;0,798154581758511;0,0242629953283017;0,177582422912775;0,000609125046383765;2,25649417641112e-05;0,000228513272798186;0,0210868962223198;0,0946459119382816;0,000188893224786713
"parar";-0,0117625917997217;-0,0237600711555797;0,00866690061393081;-0,421705359683824;-0,851831766619161;0,31072050301262;0,214121773473872;0,716935190231404;0,0689430362956975;1,92834178150166e-06;7,86816454031929e-06;1,04690094625585e-06;0,0139372778960121;0,0126465212239399;2,22905155866412e-06
"art";0,353512874769396;0,0124459417753215;0,643576775727533;0,481374467496108;0,0169474975939451;0,876351187805518;0,337082683089118;0,000342855519632804;0,662574461391236;0,00111391838754247;1,38069716265487e-06;0,00369184645086304;0,00891338986192082;0,3029252544854;0,000817925720668527
"lei";0,563153868815851;-0,0130715619367889;0,0588957240028525;0,994310846154169;-0,0230792977366107;0,103986957048301;0,993118903778658;0,000439067931825749;0,00644202828952829;0,00232227837755138;1,25116649126143e-06;2,53996460296649e-05;0,00732251271520065;0,281141472369073;0,000578775267531303
"ministro";1,01171067391859;-0,81820554756704;-0,75170668511047;0,673265719182947;-0,544493362206561;-0,500240192193774;0,536445346635281;0,287916995670863;0,175637657693883;0,00539814591034647;0,00353066729598723;0,0029800858843108;0,00527390078349767;0,687214094377429;0,00249066932120494
"constitucional";0,292666845905224;-0,174976796260775;0,773791058315469;0,346109412944553;-0,206928516434511;0,915089538437299;0,183853226771872;0,0539280562672489;0,762218716960861;0,000450131977344832;0,000160899143793922;0,00314659048925369;0,00525524311563152;0,33957551356164;0,000605990121088269
"sua";-0,177597419686205;-0,0683518809104465;0,225832022082818;-0,601376183626937;-0,231451523103633;0,764707053857429;0,480648553794076;0,0584231434848477;0,460928302721085;0,000160144638074934;2,37213848282699e-05;0,000258946559678161;0,00507737334864091;0,127444559025408;8,24672850008367e-05
"direito";-1,0141012293979;-0,292628448454202;-0,0704696554896289;-0,958664225728245;-0,276631579600753;-0,0666173511666205;0,933539400212505;0,0637870866434909;0,00267351314401434;0,00432871578143916;0,000360437146086444;2,09026211720927e-05;0,00420916987060285;0,522171843813063;0,00114768671319099
"relator";1,31480815225675;1,25207405371953;-1,4374714528618;0,567765836382328;0,540675741249787;-0,62073480477662;0,407655414507586;0,303359859468209;0,288984726024207;0,00703779934301268;0,00638222536723925;0,00841221882448635;0,00407110312839336;1,02450539079264;0,00427307582977847
