"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"9795";"38097";"25.71";"****";""
" 100";"1694";" 5.90";"-364.15";"emenda";"3.506426e-81"
" 410";"3044";"13.47";"-259.56";"constituicao";"2.135933e-58"
"  63";"1059";" 5.95";"-222.71";"orcamentar";"2.314655e-50"
"  39";" 901";" 4.33";"-220.89";"orcamento";"5.774748e-50"
"  68";"1065";" 6.38";"-214.24";"liberdade";"1.635146e-48"
"  17";" 720";" 2.36";"-209.48";"despesa";"1.786180e-47"
" 128";"1379";" 9.28";"-202.18";"pessoa";"6.986213e-46"
" 496";"3217";"15.42";"-194.88";"dever";"2.731725e-44"
"  55";" 914";" 6.02";"-190.14";"funcao";"2.956265e-43"
"  44";" 829";" 5.31";"-184.70";"crime";"4.569232e-42"
"  10";" 592";" 1.69";"-181.67";"rp";"2.093057e-41"
" 114";"1227";" 9.29";"-178.96";"saude";"8.177960e-41"
"  48";" 826";" 5.81";"-175.04";"vida";"5.857199e-40"
" 145";"1383";"10.48";"-174.19";"politica";"8.991627e-40"
" 551";"3384";"16.28";"-172.84";"direito";"1.773670e-39"
"  68";" 928";" 7.33";"-168.29";"parlamentar";"1.749480e-38"
" 108";"1154";" 9.36";"-166.60";"atividade";"4.100510e-38"
"  67";" 908";" 7.38";"-163.66";"ambiental";"1.797860e-37"
"  72";" 925";" 7.78";"-159.51";"cargo";"1.448027e-36"
"  10";" 498";" 2.01";"-148.42";"mulher";"3.836397e-34"
" 182";"1468";"12.40";"-141.68";"exercicio";"1.145059e-32"
"  80";" 916";" 8.73";"-141.63";"execucao";"1.172584e-32"
"  30";" 594";" 5.05";"-134.85";"pai";"3.567205e-31"
" 178";"1412";"12.61";"-131.84";"legislativo";"1.624857e-30"
" 206";"1536";"13.41";"-126.76";"estabelecer";"2.097357e-29"
"  43";" 638";" 6.74";"-122.26";"politicar";"2.023260e-28"
" 142";"1187";"11.96";"-121.23";"protecao";"3.397823e-28"
" 173";"1338";"12.93";"-118.60";"cf";"1.284098e-27"
"  85";" 869";" 9.78";"-118.14";"casa";"1.615987e-27"
" 241";"1676";"14.38";"-117.85";"proprio";"1.871121e-27"
" 121";"1061";"11.40";"-116.95";"principio";"2.944142e-27"
"  48";" 652";" 7.36";"-116.93";"uso";"2.977742e-27"
"  31";" 546";" 5.68";"-116.39";"republicano";"3.904705e-27"
" 322";"2051";"15.70";"-113.74";"prever";"1.484989e-26"
"  19";" 448";" 4.24";"-109.40";"proteger";"1.325200e-25"
" 150";"1184";"12.67";"-108.82";"praticar";"1.779993e-25"
"  97";" 897";"10.81";"-106.73";"comissao";"5.099333e-25"
"  33";" 528";" 6.25";"-106.16";"area";"6.792834e-25"
"  98";" 900";"10.89";"-106.02";"membro";"7.300121e-25"
"   9";" 370";" 2.43";"-106.00";"humano";"7.377937e-25"
"  66";" 721";" 9.15";"-105.47";"penal";"9.618561e-25"
" 167";"1258";"13.28";"-105.33";"competencia";"1.032951e-24"
" 136";"1097";"12.40";"-104.81";"caput";"1.340943e-24"
"  32";" 506";" 6.32";"-100.91";"senado";"9.642448e-24"
"  39";" 548";" 7.12";"-100.64";"responsabilidade";"1.102761e-23"
" 125";"1020";"12.25";" -99.35";"meio_ambiente";"2.116837e-23"
"  42";" 557";" 7.54";" -97.71";"sociedade";"4.845659e-23"
"  18";" 403";" 4.47";" -96.24";"religioso";"1.016756e-22"
"  47";" 581";" 8.09";" -95.91";"garantir";"1.200028e-22"
"  31";" 482";" 6.43";" -95.00";"livre";"1.906184e-22"
"   8";" 331";" 2.42";" -94.85";"genero";"2.049216e-22"
" 229";"1518";"15.09";" -93.44";"recurso";"4.178121e-22"
"  96";" 842";"11.40";" -92.30";"democratico";"7.439650e-22"
" 238";"1541";"15.44";" -88.62";"orgao";"4.794236e-21"
"  21";" 397";" 5.29";" -87.59";"mandato";"8.053097e-21"
"  63";" 643";" 9.80";" -86.71";"garantia";"1.257740e-20"
"  54";" 591";" 9.14";" -86.33";"transparencia";"1.521120e-20"
"  57";" 608";" 9.38";" -86.32";"instituicao";"1.528406e-20"
"   5";" 283";" 1.77";" -85.58";"programacao";"2.224674e-20"
"  38";" 493";" 7.71";" -84.75";"desenvolvimento";"3.384839e-20"
"  23";" 401";" 5.74";" -84.66";"internacional";"3.544775e-20"
"  18";" 368";" 4.89";" -84.33";"natural";"4.196667e-20"
" 144";"1060";"13.58";" -83.93";"unico";"5.114565e-20"
"   7";" 288";" 2.43";" -82.34";"vacina";"1.144916e-19"
"  58";" 597";" 9.72";" -81.24";"destinar";"1.995933e-19"
"  99";" 816";"12.13";" -80.49";"limite";"2.920606e-19"
" 114";" 892";"12.78";" -79.95";"camara_dos_deputados";"3.832583e-19"
"  38";" 478";" 7.95";" -79.95";"cidadao";"3.846265e-19"
"  25";" 398";" 6.28";" -79.49";"estudo";"4.844534e-19"
"  97";" 797";"12.17";" -78.13";"assegurar";"9.627818e-19"
"   5";" 260";" 1.92";" -77.55";"constituinte";"1.290870e-18"
"  22";" 372";" 5.91";" -77.08";"ideia";"1.640434e-18"
"  14";" 320";" 4.38";" -76.91";"acusacao";"1.788697e-18"
"  18";" 343";" 5.25";" -75.88";"reeleicao";"3.017636e-18"
"  17";" 336";" 5.06";" -75.69";"denunciar";"3.319708e-18"
"   3";" 240";" 1.25";" -75.66";"violencia";"3.373596e-18"
"   8";" 273";" 2.93";" -74.71";"homem";"5.458843e-18"
"  85";" 719";"11.82";" -74.01";"regime";"7.774196e-18"
"  46";" 503";" 9.15";" -73.23";"governo";"1.151595e-17"
"  35";" 439";" 7.97";" -73.16";"preservacao";"1.196088e-17"
"  48";" 514";" 9.34";" -73.12";"camar";"1.220180e-17"
"  31";" 415";" 7.47";" -73.09";"atribuicao";"1.239231e-17"
"  71";" 640";"11.09";" -72.81";"autoridade";"1.425166e-17"
"  11";" 282";" 3.90";" -70.75";"anual";"4.048245e-17"
"  24";" 364";" 6.59";" -70.32";"orcamentario";"5.040682e-17"
" 231";"1426";"16.20";" -70.17";"sistema";"5.442281e-17"
"  39";" 452";" 8.63";" -69.88";"vacinacao";"6.289525e-17"
" 118";" 874";"13.50";" -69.82";"procedimento";"6.513136e-17"
"  73";" 640";"11.41";" -69.73";"exercer";"6.789574e-17"
"  84";" 697";"12.05";" -69.35";"defesa";"8.241542e-17"
" 173";"1142";"15.15";" -68.76";"social";"1.113336e-16"
" 115";" 853";"13.48";" -68.31";"brasil";"1.393664e-16"
"  63";" 580";"10.86";" -67.99";"restricao";"1.646190e-16"
"   6";" 239";" 2.51";" -67.78";"residuo";"1.831730e-16"
"  22";" 342";" 6.43";" -67.15";"escolha";"2.520595e-16"
"  51";" 511";" 9.98";" -67.10";"democracia";"2.581880e-16"
"  13";" 284";" 4.58";" -66.91";"agrotoxico";"2.848938e-16"
"  91";" 722";"12.60";" -66.19";"covid";"4.092239e-16"
"  19";" 320";" 5.94";" -66.06";"permanente";"4.378080e-16"
"  50";" 499";"10.02";" -65.17";"diretor";"6.860048e-16"
"   6";" 231";" 2.60";" -65.00";"culto";"7.476596e-16"
"  14";" 281";" 4.98";" -63.68";"secreto";"1.462178e-15"
"  30";" 379";" 7.92";" -63.47";"igualdade";"1.631350e-15"
"  30";" 379";" 7.92";" -63.47";"expressao";"1.631350e-15"
"  65";" 575";"11.30";" -63.44";"definir";"1.656129e-15"
" 131";" 910";"14.40";" -62.49";"inciso";"2.676863e-15"
" 258";"1516";"17.02";" -62.45";"geral";"2.728373e-15"
"   8";" 237";" 3.38";" -62.29";"discriminacao";"2.968965e-15"
"  35";" 404";" 8.66";" -62.13";"privado";"3.219301e-15"
" 218";"1325";"16.45";" -61.60";"iii";"4.211372e-15"
"  60";" 538";"11.15";" -60.55";"financeiro";"7.160930e-15"
"  46";" 461";" 9.98";" -60.47";"investigacao";"7.472428e-15"
"  21";" 314";" 6.69";" -59.98";"organizacao";"9.565258e-15"
"  47";" 464";"10.13";" -59.71";"mesa";"1.101901e-14"
"  49";" 474";"10.34";" -59.39";"populacao";"1.294402e-14"
"   2";" 186";" 1.08";" -59.39";"indicador";"1.292798e-14"
"  84";" 658";"12.77";" -58.74";"risco";"1.798918e-14"
"  23";" 322";" 7.14";" -58.62";"senador";"1.915434e-14"
"  53";" 493";"10.75";" -58.52";"executivo";"2.007820e-14"
"   4";" 198";" 2.02";" -58.48";"planejamento";"2.049650e-14"
"   9";" 231";" 3.90";" -57.90";"acusar";"2.752541e-14"
"  22";" 313";" 7.03";" -57.67";"candidato";"3.103972e-14"
"  24";" 325";" 7.38";" -57.64";"legitima_defesa_da_honra";"3.152080e-14"
"  94";" 705";"13.33";" -57.61";"criterio";"3.191909e-14"
"   6";" 209";" 2.87";" -57.40";"licenciamento";"3.563050e-14"
"  71";" 582";"12.20";" -56.49";"institucional";"5.649909e-14"
"  50";" 469";"10.66";" -56.31";"economico";"6.196954e-14"
"  70";" 576";"12.15";" -56.28";"servico";"6.272681e-14"
"  60";" 520";"11.54";" -55.44";"paragrafar";"9.645066e-14"
"   7";" 210";" 3.33";" -55.36";"geracao";"1.003504e-13"
"  14";" 255";" 5.49";" -54.95";"direitos_humanos";"1.233769e-13"
"   0";" 158";" 0.00";" -54.91";"dotacao";"1.261948e-13"
" 184";"1133";"16.24";" -54.84";"brasileiro";"1.310833e-13"
"  46";" 442";"10.41";" -54.83";"previsao";"1.313298e-13"
"  27";" 334";" 8.08";" -54.81";"agente";"1.325886e-13"
"  51";" 469";"10.87";" -54.72";"direitos_fundamentais";"1.387313e-13"
"   1";" 163";" 0.61";" -53.98";"religiao";"2.021950e-13"
"  13";" 245";" 5.31";" -53.75";"historico";"2.276345e-13"
"  61";" 517";"11.80";" -53.11";"impeachment";"3.158193e-13"
" 152";" 972";"15.64";" -52.99";"administrativo";"3.360995e-13"
"  10";" 223";" 4.48";" -52.91";"soberania";"3.485683e-13"
"  11";" 229";" 4.80";" -52.72";"criminal";"3.839436e-13"
"   5";" 187";" 2.67";" -52.21";"americano";"4.977221e-13"
"  13";" 240";" 5.42";" -52.08";"infracao";"5.334685e-13"
"  35";" 369";" 9.49";" -51.36";"legislador";"7.693852e-13"
"  54";" 471";"11.46";" -50.67";"essencial";"1.092682e-12"
"  67";" 539";"12.43";" -50.48";"poder_judiciario";"1.201658e-12"
"  17";" 260";" 6.54";" -50.38";"policial";"1.267217e-12"
"  40";" 393";"10.18";" -50.16";"vedacao";"1.418328e-12"
"  17";" 259";" 6.56";" -50.05";"papel";"1.497123e-12"
"  29";" 329";" 8.81";" -49.60";"titular";"1.883629e-12"
"  11";" 219";" 5.02";" -49.36";"receita";"2.134953e-12"
"   9";" 204";" 4.41";" -48.71";"integridade";"2.964268e-12"
"  62";" 506";"12.25";" -48.63";"tecnica";"3.098783e-12"
" 180";"1084";"16.61";" -48.43";"necessario";"3.418872e-12"
"   3";" 161";" 1.86";" -48.14";"ilicito";"3.968789e-12"
"   9";" 202";" 4.46";" -48.03";"bancada";"4.188090e-12"
"   8";" 195";" 4.10";" -47.91";"estado_democratico_de_direito";"4.454592e-12"
" 109";" 740";"14.73";" -47.64";"texto";"5.115823e-12"
"  51";" 444";"11.49";" -47.59";"poder_legislativo";"5.261187e-12"
"  44";" 406";"10.84";" -47.53";"distribuicao";"5.422023e-12"
"   6";" 180";" 3.33";" -47.41";"obra";"5.747039e-12"
"  44";" 404";"10.89";" -46.95";"funcionamento";"7.278643e-12"
"  11";" 211";" 5.21";" -46.67";"cientificar";"8.393669e-12"
"  26";" 302";" 8.61";" -46.61";"representante";"8.657766e-12"
"  22";" 278";" 7.91";" -46.44";"obrigacao";"9.453050e-12"
"  42";" 391";"10.74";" -46.34";"atribuir";"9.916222e-12"
"   9";" 197";" 4.57";" -46.34";"revista";"9.930331e-12"
"  25";" 295";" 8.47";" -46.24";"competir";"1.045130e-11"
"   6";" 176";" 3.41";" -46.04";"of";"1.157365e-11"
" 153";" 945";"16.19";" -45.98";"permitir";"1.193087e-11"
"  22";" 276";" 7.97";" -45.81";"processo_penal";"1.305939e-11"
"  63";" 500";"12.60";" -45.60";"referir";"1.454031e-11"
" 115";" 760";"15.13";" -45.44";"individual";"1.575163e-11"
"   7";" 179";" 3.91";" -44.75";"moralidade";"2.240889e-11"
"  16";" 236";" 6.78";" -44.56";"familiar";"2.470198e-11"
"  93";" 648";"14.35";" -44.53";"atuacao";"2.504846e-11"
"  30";" 318";" 9.43";" -44.48";"absoluto";"2.570143e-11"
"  28";" 306";" 9.15";" -44.29";"decorrer";"2.828991e-11"
"   2";" 142";" 1.41";" -44.07";"sexo";"3.165197e-11"
"  25";" 288";" 8.68";" -44.06";"prerrogativa";"3.178112e-11"
"   5";" 163";" 3.07";" -43.94";"morte";"3.381548e-11"
"   1";" 134";" 0.75";" -43.88";"identificador";"3.496563e-11"
"  23";" 275";" 8.36";" -43.64";"unidade";"3.945780e-11"
" 172";"1023";"16.81";" -43.57";"realizar";"4.091710e-11"
"   2";" 140";" 1.43";" -43.38";"vitimar";"4.514541e-11"
