"";"classe 1";"classe 2";"classe 3";"classe 4"
"dar";-1,983;2,304;19,297;-8,697
"por";62,173;77,608;0,533;-288,912
"parar";2,554;-1,011;-0,255;-0,027
"art";-18,771;638,612;0,304;-496,44
"lei";204,953;47,35;22,045;-554,791
"ministro";2187,922;-64,658;-182,531;-764,438
"constitucional";-16,949;482,72;-39,857;-220,114
"sua";-32,111;12,836;-14,08;15,969
"direito";-172,84;-83,165;-178,988;907,627
"relator";983,008;-682,222;2242,792;-1029,147
"dever";-194,884;64,252;0,682;19,79
"constituicao";-259,564;1076,195;-78,256;-170,978
"voto";1029,351;-7,306;-81,279;-484,801
"caso";7,095;31,648;-73,841;-9,014
"publicar";-16,6;-58,716;292,169;1,386
"ato";120,989;144,707;-28,493;-380,636
"processo";30,745;219,542;-59,918;-247,437
"acao";1078,801;-230,327;-15,187;-170,366
"presidente";114,05;303,61;-96,767;-483,223
"decisao";442,088;-0,287;-2,833;-335,523
"senhor";645,821;-2,754;-88,37;-273,52
"norma";33,021;65,6;-66,312;-76,549
"forma";-31,964;28,96;9,232;-4,293
"prever";-113,741;177,308;164,294;-133,509
"julgamento";886,035;-0,621;-47,353;-534,436
"emenda";-364,155;-393,587;10948,087;-688,191
"mau";-6,272;9,59;-53,086;13,609
"principiar";-27,298;129,526;-67,536;-2,874
"plenario";943,072;-18,684;-13,925;-498,084
"arguicao_de_descumprimento_de_preceito_fundamental";1812,973;-242,508;-52,453;-391,719
"adpf";2507,922;-418,571;-82,039;-429,969
"min";1850,697;-251,405;-79,043;-357,119
"julgar";1380,943;-71,164;-94,494;-419,52
"municipio";12,018;19,116;66,84;-165,065
"ii";-32,85;58,311;16,259;-24,373
"decreto";153,541;-20,635;-26,234;-15,081
"atar";101,943;4,488;-0,818;-125,108
"juridico";-0,829;34,978;-27,299;-3,997
"informacao";14,571;-165,493;10,469;58,371
"nacional";-2,782;-120,546;-1,223;184,376
"geral";-62,453;-128,978;2430,532;-128,161
"sentido";115,258;0,038;-58,252;-31,865
"proprio";-117,849;136,738;-0,076;-2,559
"medida";-39,342;-81,21;-1,112;252,147
"orgao";-88,616;34,412;123,306;-16,018
"recurso";-93,444;-192,27;3265,042;-141,995
"pedido";2056,921;-273,486;-59,524;-446,576
"cf";-118,596;305,045;-0,225;-54,647
"novo";79,724;-4,718;-0,024;-37,461
"eleicao";-26,729;795,327;-74,183;-354,824
"presente";1034,369;-181,722;-94,392;-111,354
"exercicio";-141,676;49,349;188,955;-20,016
"adv";36,565;-7,469;-4,395;-2,6
"estabelecer";-126,759;139,944;7,187;-10,164
"sistema";-70,169;1,293;32,424;10,479
"legislativo";-131,836;708,757;-12,679;-206,169
"pessoa";-202,179;-251,038;-77,302;1241,431
"termo";106,751;-0,112;0,406;-96,693
"questao";244,807;-3,563;-36,102;-83,784
"federal";-16,362;13,267;117,625;-44,017
"politica";-174,191;5,549;-43,67;200,512
"supremo_tribunal_federal";249,064;37,945;-97,873;-230,163
"artigo";-25,902;166,4;-2,953;-54,916
"dia";82,671;-4,924;-0,237;-36,267
"tribunal";25,212;174,506;-102,149;-146,749
"brasileiro";-54,835;-36,813;-5,647;217,141
"adir";1040,44;-81,682;-76,052;-250,764
"resolucao";16,985;-66,623;23,328;2,31
"saude";-178,959;-515,68;-21,775;1517,726
"tratar";7,755;7,583;0,01;-30,641
"considerar";1,207;-0,132;-7,871;1,144
"iii";-61,599;38,077;2,243;0,021
"competencia";-105,332;608,298;-43,507;-134,93
"uniao";-0,361;-1,432;466,749;-133,796
"efeito";157,568;-17,178;-24,309;-20,839
"relacao";-4,083;-1,317;0,731;6,592
"modo";-15,678;93,699;-7,546;-20,483
"interpretacao";-11,088;489,709;-83,945;-195,496
"controlo";-0,265;0,281;28,011;-11,114
"normativo";99,013;-0,258;0;-79,058
"caput";-104,815;140,14;18,159;-26,433
"liberdade";-214,237;-157,705;-96,809;1081,825
"praticar";-108,817;37,539;-0,534;16,136
"protecao";-121,233;-190,048;-111,661;971,737
"social";-68,758;-189,293;-1,96;524,288
"atividade";-166,595;-41,05;-57,405;552,917
"medida_cautelar";1424,26;-284,728;-13,247;-259,123
"corte";231,307;0,668;-14,873;-165,333
"ordem";-13,88;35,245;-0,119;-5,648
"meio_ambiente";-99,349;-284,194;-49,612;971,602
"rel";1395,745;-224,594;-40,581;-255,777
"presidente_da_republica";-14,244;518,679;-20,263;-292,762
"constituicao_federal";-12,367;250,98;-2,819;-142,963
"orcamentar";-222,714;-315,579;7191,967;-401,608
"materia";26,042;38,851;-41,947;-52,534
"transporte";-32,929;-48,858;-19,836;236,961
"necessario";-48,432;2,272;25,594;3,634
"eleitoral";-7,215;157,464;-5,003;-81,068
"vez";-0,267;20,834;-15,6;-3,132
"regra";-36,063;238,653;9,526;-147,456
"objeto";581,683;-86,54;-3,508;-146,261
"municipal";27,281;38,085;-25,704;-66,726
"possibilidade";-9,524;163,128;-12,869;-64,317
"realizar";-43,569;-2,698;87,631;4,625
"unico";-83,934;332,903;-0,011;-101,241
"congresso_nacional";0,218;35,581;381,494;-348,808
"apresentar";78,039;-50,839;44,956;-26,698
"principio";-116,95;105,943;0,421;-0,589
"ambiental";-163,657;-250,032;-70,41;1129,124
"objectivo";32,221;-36,247;18,217;-3,284
"merito";1303,86;-177,893;-18,672;-315,983
"inciso";-62,491;241,808;12,82;-115,661
"administrativo";-52,985;157,993;-19,768;-10,948
"seguinte";5,878;3,653;1,807;-25,984
"parecer";10,522;18,496;49,747;-140,859
"analisar";64,909;-8,918;-12,66;-5,523
"situacao";15,723;-4,739;-21,964;1,928
"possivel";-6,06;15,761;-9,063;0,011
"comissao";-106,731;421,315;69,852;-273,613
"cargo";-159,51;1172,428;-82,37;-313,634
"auto";440,752;-16,568;-9,382;-190,194
"distrito_federal";191,929;-9,191;1,877;-117,57
