dar;9684;13051;3403;11574
por;4693;6267;1539;4454
parar;2943;3831;991;3440
art;1698;3394;654;1420
lei;1955;2266;622;1044
ministro;2345;1231;143;521
constitucional;976;2101;268;880
sua;900;1514;301;1367
direito;551;929;91;1813
relator;1591;452;1033;197
dever;496;1319;301;1101
constituicao;410;1878;139;617
voto;1217;713;82;221
caso;737;1046;115;744
publicar;498;612;427;719
ato;870;1134;149;330
processo;711;1133;105;376
acao;1272;469;157;436
presidente;718;1053;57;174
decisao;975;740;173;286
senhor;769;456;27;151
norma;658;906;86;472
forma;428;837;226;601
prever;322;988;345;396
julgamento;1077;672;93;149
emenda;100;206;1354;34
mau;486;784;94;715
principiar;368;846;64;521
plenario;901;445;95;73
arguicao_de_descumprimento_de_preceito_fundamental;1078;230;54;109
adpf;1259;168;41;114
min;950;158;21;72
julgar;1096;429;41;144
municipio;399;538;204;199
ii;319;705;191;410
decreto;551;397;70;358
atar;594;604;136;298
juridico;417;695;91;481
informacao;467;304;176;618
nacional;325;283;111;648
geral;258;318;673;267
sentido;624;589;64;416
proprio;241;802;147;486
medida;300;380;130;772
orgao;238;640;260;403
recurso;229;273;759;257
pedido;1148;225;52;95
cf;173;761;115;289
novo;528;473;131;349
eleicao;200;797;16;47
presente;949;294;33;294
exercicio;182;633;279;374
adv;38;12;1;14
estabelecer;206;747;167;416
sistema;231;513;188;494
legislativo;178;955;89;190
pessoa;128;202;32;1017
termo;522;474;131;261
questao;609;449;62;274
federal;273;513;227;293
politica;145;519;55;664
supremo_tribunal_federal;628;608;24;183
artigo;247;651;96;269
dia;362;293;80;205
tribunal;422;687;16;210
brasileiro;184;296;79;574
adir;776;260;21;114
resolucao;353;265;148;374
saude;114;52;64;997
tratar;376;494;117;308
considerar;361;456;91;429
iii;218;563;134;410
competencia;167;844;47;200
uniao;294;388;314;182
efeito;526;377;66;323
relacao;300;426;124;438
modo;268;604;87;320
interpretacao;262;780;19;152
controlo;310;436;163;327
normativo;459;409;108;231
caput;136;563;138;260
liberdade;68;176;5;816
