"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"5";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"7";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"9";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"10";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"14";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"16";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"19";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"21";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"22";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"23";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"24";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"25";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"26";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"27";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"28";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"29";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"30";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"31";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"32";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"33";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"34";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"35";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"36";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"37";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"38";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"39";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"40";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"41";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"42";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"43";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"44";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"45";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"46";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"47";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"48";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"49";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"50";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"51";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"52";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"53";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"54";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"55";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"56";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"57";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"58";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"59";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"60";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"61";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"62";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"63";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"64";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"65";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"66";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"67";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"68";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"69";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"70";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"71";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
