"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"9795";"38097";"25.71";"****";""
"1259";" 1582";" 79.58";"2507.92";"adpf";" 0.000000e+00"
"2345";" 4240";" 55.31";"2187.92";"ministro";" 0.000000e+00"
"1148";" 1520";" 75.53";"2056.92";"pedido";" 0.000000e+00"
" 950";" 1201";" 79.10";"1850.70";"min";" 0.000000e+00"
"1078";" 1471";" 73.28";"1812.97";"arguicao_de_descumprimento_de_preceito_fundamental";" 0.000000e+00"
" 710";"  855";" 83.04";"1505.05";"arguicao";" 0.000000e+00"
" 798";" 1052";" 75.86";"1424.26";"medida_cautelar";"1.124021e-311"
" 718";"  905";" 79.34";"1395.74";"rel";"1.766539e-305"
"1096";" 1710";" 64.09";"1380.94";"julgar";"2.907779e-302"
" 756";" 1013";" 74.63";"1303.86";"merito";"1.638127e-285"
" 554";"  629";" 88.08";"1302.36";"tribunal_pleno";"3.468067e-285"
"1272";" 2334";" 54.50";"1078.80";"acao";"1.337530e-236"
" 776";" 1171";" 66.27";"1040.44";"adir";"2.912762e-228"
" 949";" 1570";" 60.45";"1034.37";"presente";"6.079578e-227"
"1217";" 2233";" 54.50";"1029.35";"voto";"7.488881e-226"
" 563";"  733";" 76.81";"1021.62";"dje";"3.579951e-224"
"1591";" 3273";" 48.61";" 983.01";"relator";"8.867649e-216"
" 901";" 1514";" 59.51";" 943.07";"plenario";"4.254129e-207"
" 414";"  479";" 86.43";" 936.37";"subsidiariedade";"1.220874e-205"
"1077";" 1991";" 54.09";" 886.04";"julgamento";"1.065524e-194"
" 626";"  953";" 65.69";" 817.84";"inconstitucionalidade";"7.143228e-180"
" 543";"  789";" 68.82";" 783.96";"pedir";"1.657382e-172"
" 331";"  389";" 85.09";" 725.50";"liminar";"8.529201e-160"
" 372";"  467";" 79.66";" 720.38";"acao_direta_de_inconstitucionalidade";"1.105250e-158"
" 274";"  294";" 93.20";" 706.49";"amicus_curiae";"1.159125e-155"
" 477";"  687";" 69.43";" 700.18";"conhecimento";"2.726442e-154"
" 328";"  395";" 83.04";" 686.76";"conhecer";"2.261651e-151"
" 287";"  327";" 87.77";" 665.02";"dj";"1.212348e-146"
" 379";"  502";" 75.50";" 660.18";"procedente";"1.365625e-145"
" 432";"  613";" 70.47";" 653.57";"acompanhar";"3.738949e-144"
" 395";"  537";" 73.56";" 652.82";"controversia";"5.445594e-144"
" 392";"  532";" 73.68";" 650.10";"df";"2.121686e-143"
" 769";" 1403";" 54.81";" 645.82";"senhor";"1.811029e-142"
" 368";"  491";" 74.95";" 631.37";"veto";"2.518700e-139"
" 393";"  551";" 71.32";" 609.03";"acordao";"1.818925e-134"
" 622";" 1087";" 57.22";" 581.68";"objeto";"1.614424e-128"
" 557";"  942";" 59.13";" 564.76";"impugnar";"7.733236e-125"
" 210";"  223";" 94.17";" 550.41";"agr";"1.026252e-121"
" 436";"  673";" 64.78";" 547.63";"eminente";"4.123595e-121"
" 247";"  291";" 84.88";" 537.49";"mc";"6.622622e-119"
" 403";"  607";" 66.39";" 534.46";"gilmar_mendes";"3.023185e-118"
" 192";"  208";" 92.31";" 485.64";"sanar";"1.269109e-107"
" 321";"  455";" 70.55";" 484.73";"preceito_fundamental";"2.001157e-107"
" 279";"  379";" 73.61";" 459.92";"celso_de_mello";"4.992638e-102"
" 344";"  517";" 66.54";" 457.38";"deferir";"1.783897e-101"
" 300";"  424";" 70.75";" 455.47";"carmen_lucia";"4.649945e-101"
" 158";"  161";" 98.14";" 444.03";"fiar";" 1.435752e-98"
" 975";" 2174";" 44.85";" 442.09";"decisao";" 3.801471e-98"
" 505";"  904";" 55.86";" 440.75";"auto";" 7.425904e-98"
" 234";"  299";" 78.26";" 435.71";"relatoria";" 9.273297e-97"
" 172";"  187";" 91.98";" 432.06";"agravo_regimental";" 5.784421e-96"
" 407";"  676";" 60.21";" 428.78";"requisito";" 3.001887e-95"
" 224";"  283";" 79.15";" 426.32";"cabimento";" 1.026537e-94"
" 267";"  371";" 71.97";" 419.70";"edson_fachin";" 2.837224e-93"
" 199";"  239";" 83.26";" 417.09";"improcedente";" 1.051279e-92"
" 283";"  412";" 68.69";" 402.80";"ricardo_lewandowski";" 1.356371e-89"
" 185";"  218";" 84.86";" 401.65";"embargos_de_declaracao";" 2.413631e-89"
" 325";"  508";" 63.98";" 394.71";"requerer";" 7.826441e-88"
" 248";"  343";" 72.30";" 393.38";"rosa_weber";" 1.519319e-87"
" 166";"  187";" 88.77";" 391.24";"aditamento";" 4.456517e-87"
" 293";"  442";" 66.29";" 385.52";"descumprimento";" 7.805295e-86"
" 191";"  236";" 80.93";" 379.13";"procuradoria_geral_da_republica";" 1.925414e-84"
" 180";"  218";" 82.57";" 371.10";"advocacia_geral_da_uniao";" 1.076880e-82"
" 195";"  247";" 78.95";" 368.90";"procurador_geral_da_republica";" 3.255339e-82"
" 350";"  581";" 60.24";" 368.31";"expor";" 4.372338e-82"
" 130";"  133";" 97.74";" 362.58";"enem";" 7.730582e-81"
" 271";"  406";" 66.75";" 361.84";"dias_toffoli";" 1.120812e-80"
" 339";"  560";" 60.54";" 360.88";"cautelar";" 1.811672e-80"
" 198";"  259";" 76.45";" 351.46";"roberto_barroso";" 2.038599e-78"
" 402";"  719";" 55.91";" 349.93";"processual";" 4.380353e-78"
" 230";"  326";" 70.55";" 346.15";"abstrato";" 2.915184e-77"
" 142";"  157";" 90.45";" 345.89";"estudante";" 3.333547e-77"
" 352";"  608";" 57.89";" 335.07";"requerente";" 7.571318e-75"
" 426";"  791";" 53.86";" 335.01";"precedente";" 7.793876e-75"
" 185";"  240";" 77.08";" 333.72";"impugnacao";" 1.489371e-74"
" 204";"  278";" 73.38";" 333.19";"referendo";" 1.944699e-74"
" 295";"  477";" 61.84";" 330.21";"constitucionalidade";" 8.662247e-74"
" 271";"  429";" 63.17";" 318.76";"alexandre_de_moraes";" 2.702616e-71"
" 320";"  543";" 58.93";" 318.29";"formular";" 3.413209e-71"
" 193";"  263";" 73.38";" 315.12";"ingresso";" 1.674829e-70"
" 393";"  725";" 54.21";" 314.21";"jurisprudencia";" 2.646373e-70"
" 145";"  171";" 84.80";" 313.95";"ajuizamento";" 3.013015e-70"
" 117";"  124";" 94.35";" 306.91";"lesividade";" 1.031231e-68"
" 149";"  181";" 82.32";" 305.13";"advogado_geral_da_uniao";" 2.508774e-68"
" 164";"  211";" 77.73";" 300.54";"peticao";" 2.512677e-67"
" 346";"  619";" 55.90";" 300.17";"declarar";" 3.018144e-67"
" 127";"  144";" 88.19";" 295.46";"ajuizado";" 3.209979e-66"
" 180";"  246";" 73.17";" 291.99";"virtual";" 1.834090e-65"
" 167";"  220";" 75.91";" 291.93";"peticao_inicial";" 1.888776e-65"
" 254";"  407";" 62.41";" 290.06";"doc";" 4.830505e-65"
" 137";"  166";" 82.53";" 281.81";"conversao";" 3.026151e-63"
" 137";"  168";" 81.55";" 275.44";"superveniente";" 7.390435e-62"
" 203";"  302";" 67.22";" 274.59";"luiz_fux";" 1.134148e-61"
" 304";"  539";" 56.40";" 269.61";"eficacia";" 1.381622e-60"
" 238";"  383";" 62.14";" 268.83";"marco_aurelio";" 2.044568e-60"
" 131";"  162";" 80.86";" 259.10";"unanimidade";" 2.692125e-58"
" 158";"  217";" 72.81";" 253.48";"improcedencia";" 4.519428e-57"
" 386";"  763";" 50.59";" 252.31";"vista";" 8.131503e-57"
" 156";"  214";" 72.90";" 250.87";"provimento";" 1.674443e-56"
" 117";"  139";" 84.17";" 249.64";"monocratico";" 3.115611e-56"
" 628";" 1443";" 43.52";" 249.06";"supremo_tribunal_federal";" 4.153362e-56"
" 114";"  134";" 85.07";" 248.11";"indeferir";" 6.713571e-56"
" 102";"  113";" 90.27";" 247.28";"controle_abstrato_de_constitucionalidade";" 1.018257e-55"
" 278";"  493";" 56.39";" 246.12";"exame";" 1.825007e-55"
" 609";" 1394";" 43.69";" 244.81";"questao";" 3.519923e-55"
"  95";"  102";" 93.14";" 243.44";"amici_curiae";" 7.003333e-55"
" 182";"  273";" 66.67";" 241.48";"venia";" 1.870983e-54"
" 167";"  241";" 69.29";" 241.20";"eficaz";" 2.148040e-54"
"  97";"  106";" 91.51";" 240.94";"controle_concentrado";" 2.451724e-54"
" 112";"  133";" 84.21";" 239.13";"controle_concentrado_de_constitucionalidade";" 6.077379e-54"
" 232";"  388";" 59.79";" 238.41";"proferido";" 8.757276e-54"
" 118";"  145";" 81.38";" 236.16";"indeferimento";" 2.705040e-53"
" 261";"  460";" 56.74";" 234.70";"inicial";" 5.627735e-53"
" 152";"  213";" 71.36";" 233.71";"suscitar";" 9.267114e-53"
" 242";"  415";" 58.31";" 233.49";"data";" 1.033307e-52"
" 540";" 1214";" 44.48";" 231.31";"corte";" 3.092480e-52"
" 274";"  496";" 55.24";" 229.45";"manifestar";" 7.839604e-52"
" 306";"  577";" 53.03";" 228.98";"sessao";" 9.952132e-52"
" 184";"  284";" 64.79";" 228.77";"ato_normativo";" 1.107158e-51"
" 224";"  377";" 59.42";" 226.48";"lesao";" 3.492654e-51"
" 368";"  744";" 49.46";" 224.12";"portaria";" 1.140353e-50"
" 143";"  201";" 71.14";" 218.38";"cabivel";" 2.043282e-49"
" 132";"  182";" 72.53";" 209.85";"referendar";" 1.479212e-47"
" 176";"  277";" 63.54";" 209.03";"brasilia";" 2.231123e-47"
" 179";"  284";" 63.03";" 208.62";"conhecido";" 2.749735e-47"
" 120";"  159";" 75.47";" 206.99";"adpfs";" 6.227646e-47"
" 106";"  132";" 80.30";" 206.68";"deferimento";" 7.270516e-47"
" 148";"  217";" 68.20";" 206.31";"nunes_marques";" 8.776977e-47"
"1955";" 5887";" 33.21";" 204.95";"lei";" 1.734030e-46"
" 185";"  300";" 61.67";" 204.67";"parcial";" 1.997582e-46"
" 185";"  303";" 61.06";" 199.77";"procedencia";" 2.340806e-45"
" 208";"  358";" 58.10";" 198.50";"edoc";" 4.436434e-45"
" 270";"  517";" 52.22";" 192.90";"relatorio";" 7.414376e-44"
" 335";"  690";" 48.55";" 191.93";"distrito_federal";" 1.205808e-43"
" 172";"  278";" 61.87";" 191.71";"discutir";" 1.348146e-43"
"  74";"   79";" 93.67";" 191.42";"oral";" 1.553688e-43"
"  67";"   68";" 98.53";" 189.12";"divulg";" 4.954951e-43"
" 236";"  434";" 54.38";" 188.88";"publicacao";" 5.570035e-43"
"  64";"   64";"100.00";" 185.23";"republicacao";" 3.487496e-42"
" 154";"  241";" 63.90";" 185.19";"definitivo";" 3.560481e-42"
" 121";"  170";" 71.18";" 184.81";"apto";" 4.322459e-42"
" 109";"  147";" 74.15";" 181.28";"medida_liminar";" 2.548514e-41"
" 172";"  287";" 59.93";" 177.29";"advogado";" 1.895978e-40"
" 212";"  384";" 55.21";" 176.71";"perda";" 2.531587e-40"
" 133";"  200";" 66.50";" 175.13";"julho";" 5.598827e-40"
"  94";"  120";" 78.33";" 174.52";"sustentacao";" 7.603513e-40"
" 104";"  140";" 74.29";" 173.59";"deduzir";" 1.219379e-39"
"  72";"   80";" 90.00";" 173.48";"sepulveda";" 1.288017e-39"
" 159";"  260";" 61.15";" 172.18";"diario";" 2.477143e-39"
"  95";"  123";" 77.24";" 171.52";"embargo";" 3.450345e-39"
" 219";"  407";" 53.81";" 170.04";"via";" 7.239420e-39"
" 217";"  403";" 53.85";" 168.81";"luis_roberto_barroso";" 1.347765e-38"
"  87";"  109";" 79.82";" 167.54";"rede_sustentabilidade";" 2.549425e-38"
" 326";"  694";" 46.97";" 167.33";"tender";" 2.836687e-38"
" 127";"  191";" 66.49";" 167.15";"ad";" 3.104960e-38"
" 212";"  392";" 54.08";" 166.91";"imediato";" 3.498010e-38"
" 126";"  189";" 66.67";" 166.81";"vencer";" 3.684786e-38"
" 101";"  138";" 73.19";" 163.45";"referendum";" 1.991139e-37"
"  89";"  116";" 76.72";" 158.53";"agravo";" 2.370328e-36"
"  96";"  130";" 73.85";" 158.24";"juntar";" 2.741852e-36"
" 159";"  269";" 59.11";" 158.20";"vigencia";" 2.797959e-36"
" 526";" 1292";" 40.71";" 157.57";"efeito";" 3.845288e-36"
" 147";"  242";" 60.74";" 156.49";"suspender";" 6.599402e-36"
" 107";"  154";" 69.48";" 155.09";"pleitear";" 1.336817e-35"
"  79";"   98";" 80.61";" 155.05";"arguicoes_de_descumprimento_de_preceito_fundamental";" 1.364869e-35"
" 140";"  227";" 61.67";" 154.63";"inexistencia";" 1.684579e-35"
"  68";"   78";" 87.18";" 154.62";"public";" 1.698756e-35"
" 103";"  146";" 70.55";" 154.26";"representatividade";" 2.030047e-35"
" 244";"  487";" 50.10";" 153.66";"trazer";" 2.743310e-35"
" 551";" 1376";" 40.04";" 153.54";"decreto";" 2.917892e-35"
" 182";"  331";" 54.98";" 149.81";"relevancia";" 1.905197e-34"
" 140";"  231";" 60.61";" 148.17";"passo";" 4.363226e-34"
"  63";"   71";" 88.73";" 147.91";"acordar";" 4.954102e-34"
" 160";"  282";" 56.74";" 143.19";"ementa";" 5.341872e-33"
