"";"classe 1";"classe 2";"classe 3";"classe 4"
"dar";0,159;0,129;0;0,003
"por";0;0;0,465;0
"parar";0,11;0,315;0,614;0,869
"art";0;0;0,581;0
"lei";0;0;0;0
"ministro";0;0;0;0
"constitucional";0;0;0;0
"sua";0;0;0;0
"direito";0;0;0;0
"relator";0;0;0;0
"dever";0;0;0,409;0
"constituicao";0;0;0;0
"voto";0;0,007;0;0
"caso";0,008;0;0;0,003
"publicar";0;0;0;0,239
"ato";0;0;0;0
"processo";0;0;0;0
"acao";0;0;0;0
"presidente";0;0;0;0
"decisao";0;0,592;0,092;0
"senhor";0;0,097;0;0
"norma";0;0;0;0
"forma";0;0;0,002;0,038
"prever";0;0;0;0
"julgamento";0;0,431;0;0
"emenda";0;0;0;0
"mau";0,012;0,002;0;0
"principiar";0;0;0;0,09
"plenario";0;0;0;0
"arguicao_de_descumprimento_de_preceito_fundamental";0;0;0;0
"adpf";0;0;0;0
"min";0;0;0;0
"julgar";0;0;0;0
"municipio";0,001;0;0;0
"ii";0;0;0;0
"decreto";0;0;0;0
"atar";0;0,034;0,366;0
"juridico";0,362;0;0;0,046
"informacao";0;0;0,001;0
"nacional";0,095;0;0,269;0
"geral";0;0;0;0
"sentido";0;0,845;0;0
"proprio";0;0;0,783;0,11
"medida";0;0;0,292;0
"orgao";0;0;0;0
"recurso";0;0;0;0
"pedido";0;0;0;0
"cf";0;0;0,635;0
"novo";0;0,03;0,876;0
"eleicao";0;0;0;0
"presente";0;0;0;0
"exercicio";0;0;0;0
"adv";0;0,006;0,036;0,107
"estabelecer";0;0;0,007;0,001
"sistema";0;0,255;0;0,001
"legislativo";0;0;0;0
"pessoa";0;0;0;0
"termo";0;0,738;0,524;0
"questao";0;0,059;0;0
"federal";0;0;0;0
"politica";0;0,018;0;0
"supremo_tribunal_federal";0;0;0;0
"artigo";0;0;0,086;0
"dia";0;0,026;0,626;0
"tribunal";0;0;0;0
"brasileiro";0;0;0,017;0
"adir";0;0;0;0
"resolucao";0;0;0;0,129
"saude";0;0;0;0
"tratar";0,005;0,006;0,922;0
"considerar";0,272;0,717;0,005;0,285
"iii";0;0;0,134;0,884
"competencia";0;0;0;0
"uniao";0,548;0,231;0;0
"efeito";0;0;0;0
"relacao";0,043;0,251;0,393;0,01
