a;8745;12062;3163;10624
ser;8353;11923;3060;10724
em;7854;10217;2542;8663
o;7333;9913;2386;8280
que;5727;8628;1836;7030
nao;2973;4482;730;3007
ao;2387;3620;958;2636
com;1868;2741;900;2619
como;1594;2359;513;2369
n;2057;1355;507;1224
poder;919;2497;385;1614
ter;1194;1646;314;1645
um;701;1604;296;1927
uma;856;1836;240;1745
ir;1251;1451;322;1067
estado;460;1181;236;1158
s;207;71;38;87
estar;1061;1333;162;1094
haver;950;1347;219;797
todo;606;928;260;1192
sobre;714;933;240;1035
seu;555;1090;212;1053
outro;685;892;139;943
mais;429;803;141;1003
mesmo;483;1071;138;753
fazer;701;767;132;567
qual;541;916;246;587
tambem;550;747;149;710
i;473;785;210;481
essa;475;799;162;589
sem;436;637;145;514
ja;630;625;145;482
ainda;462;624;150;612
ver;490;684;105;556
bem;399;536;120;770
tal;456;582;207;522
esse;400;667;133;552
quanto;564;574;229;347
qualquer;333;699;97;530
entre;242;518;189;657
assim;438;633;172;452
ele;239;594;63;444
isso;338;598;100;410
p;306;323;51;647
meio;434;365;205;404
quando;400;526;63;412
apenas;284;580;131;384
parte;526;394;67;315
contra;220;364;25;604
dizer;288;525;56;384
eu;432;406;11;187
segundo;251;522;81;349
porque;324;504;65;277
fim;297;424;112;277
sob;229;433;124;253
aqui;271;389;19;233
primeiro;260;393;38;226
este;354;314;38;253
valor;62;193;216;321
excelencia;416;225;27;93
m;310;284;33;159
v;242;214;28;301
ela;129;279;76;311
cada;85;313;85;278
inclusive;169;282;64;268
c;179;232;98;148
desde;160;278;61;252
demais;172;259;78;246
entao;227;306;36;147
muito;160;206;36;281
b;172;216;109;173
tanto;119;234;57;218
somente;150;272;73;149
diante;227;192;35;147
maioria;166;220;27;77
menos;120;192;42;196
vossa;238;145;16;67
antes;174;220;31;92
trabalho;82;91;15;275
lhe;93;277;27;118
tempo;79;192;35;192
mediante;91;190;53;157
in;88;79;18;231
meu;205;188;21;77
embora;140;198;37;108
sempre;100;182;25;164
quem;62;189;35;146
saber;104;146;44;152
j;205;51;13;91
nosso;113;171;14;133
