"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;0;0;0
"2";2;0;0;0;0;0;0;0;0;0
"3";3;0;0;0;0;0;0;0;0;1
"4";4;0;0;0;0;0;0;0;0;1
"5";5;0;0;0;0;0;0;3;3;3
"6";6;0;0;0;0;0;0;2;2;2
"7";7;0;0;0;0;0;0;0;0;1
"8";8;0;0;0;0;0;0;2;2;2
"9";9;0;0;0;0;0;0;0;0;1
"10";10;0;0;0;0;0;0;3;3;3
"11";11;0;0;0;0;0;0;2;2;2
"12";12;0;0;0;0;0;0;2;2;2
"13";13;0;0;0;0;0;0;3;3;3
"14";14;0;0;0;0;0;0;3;3;3
"15";15;0;0;0;0;0;0;3;3;3
"16";16;0;0;0;0;0;0;3;3;3
"17";17;0;0;0;0;0;0;3;3;3
"18";18;0;0;0;0;0;0;3;3;3
"19";19;0;0;0;0;0;0;0;0;0
"20";20;0;0;0;0;0;0;3;3;3
"21";21;0;0;0;0;0;0;3;3;3
"22";22;0;0;0;0;0;0;0;0;1
"23";23;0;0;0;0;0;0;3;3;3
"24";24;0;0;0;0;0;0;3;3;3
"25";25;0;0;0;0;0;0;0;0;1
"26";26;0;0;0;0;0;0;3;3;3
"27";27;0;0;0;0;0;0;0;0;1
"28";28;0;0;0;0;0;0;3;3;3
"29";29;0;0;0;0;0;0;3;3;3
"30";30;0;0;0;0;0;0;3;3;3
"31";31;0;0;0;0;0;0;3;3;3
"32";32;0;0;0;0;0;0;0;0;1
"33";33;0;0;0;0;0;0;0;0;1
"34";34;0;0;0;0;0;0;2;2;2
"35";35;0;0;0;0;0;0;3;3;3
"36";36;0;0;0;0;0;0;3;3;3
"37";37;0;0;0;0;0;0;0;0;1
"38";38;0;0;0;0;0;0;0;0;1
"39";39;0;0;0;0;0;0;0;0;1
"40";40;0;0;0;0;0;0;0;0;1
"41";41;0;0;0;0;0;0;0;0;1
"42";42;0;0;0;0;0;0;0;0;1
"43";43;0;0;0;0;0;0;0;0;1
"44";44;0;0;0;0;0;0;0;0;1
"45";45;0;0;0;0;0;0;3;3;3
"46";46;0;0;0;0;0;0;3;3;3
"47";47;0;0;0;0;0;0;2;2;2
"48";48;0;0;0;0;0;0;2;2;2
"49";49;0;0;0;0;0;0;2;2;2
"50";50;0;0;0;0;0;0;0;0;1
"51";51;0;0;0;0;0;0;0;0;1
"52";52;0;0;0;0;0;0;0;0;1
"53";53;0;0;0;0;0;0;0;0;1
"54";54;0;0;0;0;0;0;0;0;1
"55";55;0;0;0;0;0;0;0;0;1
"56";56;0;0;0;0;0;0;0;0;1
"57";57;0;0;0;0;0;0;0;0;1
"58";58;0;0;0;0;0;0;0;0;1
"59";59;0;0;0;0;0;0;0;0;1
"60";60;0;0;0;0;0;0;0;0;1
"61";61;0;0;0;0;0;0;0;0;1
"62";62;0;0;0;0;0;0;0;0;1
"63";63;0;0;0;0;0;0;0;0;1
"64";64;0;0;0;0;0;0;0;0;1
"65";65;0;0;0;0;0;0;0;0;1
"66";66;0;0;0;0;0;0;0;0;1
"67";67;0;0;0;0;0;0;0;0;1
"68";68;0;0;0;0;0;0;0;0;1
"69";69;0;0;0;0;0;0;3;3;3
"70";70;0;0;0;0;0;0;0;0;1
"71";71;0;0;0;0;0;0;2;2;2
"72";72;0;0;0;0;0;0;0;0;1
"73";73;0;0;0;0;0;0;3;3;3
"74";74;0;0;0;0;0;0;2;2;2
"75";75;0;0;0;0;0;0;3;3;3
"76";76;0;0;0;0;0;0;2;2;2
"77";77;0;0;0;0;0;0;2;2;2
"78";78;0;0;0;0;0;0;0;0;1
"79";79;0;0;0;0;0;0;0;0;1
"80";80;0;0;0;0;0;0;0;0;1
"81";81;0;0;0;0;0;0;0;0;1
"82";82;0;0;0;0;0;0;0;0;1
"83";83;0;0;0;0;0;0;0;0;1
"84";84;0;0;0;0;0;0;0;0;1
"85";85;0;0;0;0;0;0;0;0;1
"86";86;0;0;0;0;0;0;0;0;1
"87";87;0;0;0;0;0;0;0;0;1
"88";88;0;0;0;0;0;0;0;0;1
"89";89;0;0;0;0;0;0;0;0;1
"90";90;0;0;0;0;0;0;0;0;1
"91";91;0;0;0;0;0;0;0;0;1
"92";92;0;0;0;0;0;0;0;0;1
"93";93;0;0;0;0;0;0;0;0;1
"94";94;0;0;0;0;0;0;2;2;2
"95";95;0;0;0;0;0;0;0;0;1
"96";96;0;0;0;0;0;0;3;3;3
"97";97;0;0;0;0;0;0;3;3;3
"98";98;0;0;0;0;0;0;0;0;0
"99";99;0;0;0;0;0;0;0;0;0
"100";100;0;0;0;0;0;0;0;0;0
"101";101;0;0;0;0;0;0;0;0;0
"102";102;0;0;0;0;0;0;2;2;2
"103";103;0;0;0;0;0;0;2;2;2
"104";104;0;0;0;0;0;0;3;3;3
"105";105;0;0;0;0;0;0;3;3;3
"106";106;0;0;0;0;0;0;0;0;0
"107";107;0;0;0;0;0;0;3;3;3
"108";108;0;0;0;0;0;0;3;3;3
"109";109;0;0;0;0;0;0;2;2;2
"110";110;0;0;0;0;0;0;3;3;3
"111";111;0;0;0;0;0;0;3;3;3
"112";112;0;0;0;0;0;0;3;3;3
"113";113;0;0;0;0;0;0;2;2;2
"114";114;0;0;0;0;0;0;0;0;1
"115";115;0;0;0;0;0;0;3;3;3
"116";116;0;0;0;0;0;0;3;3;3
"117";117;0;0;0;0;0;0;2;2;2
"118";118;0;0;0;0;0;0;2;2;2
"119";119;0;0;0;0;0;0;2;2;2
"120";120;0;0;0;0;0;0;3;3;3
"121";121;0;0;0;0;0;0;3;3;3
"122";122;0;0;0;0;0;0;3;3;3
"123";123;0;0;0;0;0;0;3;3;3
"124";124;0;0;0;0;0;0;2;2;2
"125";125;0;0;0;0;0;0;2;2;2
"126";126;0;0;0;0;0;0;2;2;2
"127";127;0;0;0;0;0;0;2;2;2
"128";128;0;0;0;0;0;0;2;2;2
"129";129;0;0;0;0;0;0;2;2;2
"130";130;0;0;0;0;0;0;2;2;2
"131";131;0;0;0;0;0;0;3;3;3
"132";132;0;0;0;0;0;0;2;2;2
"133";133;0;0;0;0;0;0;2;2;2
"134";134;0;0;0;0;0;0;2;2;2
"135";135;0;0;0;0;0;0;2;2;2
"136";136;0;0;0;0;0;0;2;2;2
"137";137;0;0;0;0;0;0;2;2;2
"138";138;0;0;0;0;0;0;2;2;2
"139";139;0;0;0;0;0;0;2;2;2
"140";140;0;0;0;0;0;0;2;2;2
"141";141;0;0;0;0;0;0;2;2;2
"142";142;0;0;0;0;0;0;2;2;2
"143";143;0;0;0;0;0;0;2;2;2
"144";144;0;0;0;0;0;0;2;2;2
"145";145;0;0;0;0;0;0;2;2;2
"146";146;0;0;0;0;0;0;3;3;3
"147";147;0;0;0;0;0;0;3;3;3
"148";148;0;0;0;0;0;0;3;3;3
"149";149;0;0;0;0;0;0;3;3;3
"150";150;0;0;0;0;0;0;2;2;2
"151";151;0;0;0;0;0;0;2;2;2
"152";152;0;0;0;0;0;0;2;2;2
"153";153;0;0;0;0;0;0;3;3;3
"154";154;0;0;0;0;0;0;0;0;0
"155";155;0;0;0;0;0;0;0;0;0
"156";156;0;0;0;0;0;0;3;3;3
"157";157;0;0;0;0;0;0;3;3;3
"158";158;0;0;0;0;0;0;2;2;2
"159";159;0;0;0;0;0;0;2;2;2
"160";160;0;0;0;0;0;0;3;3;3
"161";161;0;0;0;0;0;0;3;3;3
"162";162;0;0;0;0;0;0;3;3;3
"163";163;0;0;0;0;0;0;2;2;2
"164";164;0;0;0;0;0;0;3;3;3
"165";165;0;0;0;0;0;0;2;2;2
"166";166;0;0;0;0;0;0;3;3;3
"167";167;0;0;0;0;0;0;3;3;3
"168";168;0;0;0;0;0;0;3;3;3
"169";169;0;0;0;0;0;0;2;2;2
"170";170;0;0;0;0;0;0;2;2;2
"171";171;0;0;0;0;0;0;3;3;3
"172";172;0;0;0;0;0;0;3;3;3
"173";173;0;0;0;0;0;0;3;3;3
"174";174;0;0;0;0;0;0;3;3;3
"175";175;0;0;0;0;0;0;2;2;2
"176";176;0;0;0;0;0;0;2;2;2
"177";177;0;0;0;0;0;0;3;3;3
"178";178;0;0;0;0;0;0;3;3;3
"179";179;0;0;0;0;0;0;3;3;3
"180";180;0;0;0;0;0;0;3;3;3
"181";181;0;0;0;0;0;0;3;3;3
"182";182;0;0;0;0;0;0;3;3;3
"183";183;0;0;0;0;0;0;3;3;3
"184";184;0;0;0;0;0;0;3;3;3
"185";185;0;0;0;0;0;0;3;3;3
"186";186;0;0;0;0;0;0;3;3;3
"187";187;0;0;0;0;0;0;3;3;3
"188";188;0;0;0;0;0;0;3;3;3
"189";189;0;0;0;0;0;0;3;3;3
"190";190;0;0;0;0;0;0;3;3;3
"191";191;0;0;0;0;0;0;3;3;3
"192";192;0;0;0;0;0;0;3;3;3
"193";193;0;0;0;0;0;0;3;3;3
"194";194;0;0;0;0;0;0;3;3;3
"195";195;0;0;0;0;0;0;3;3;3
"196";196;0;0;0;0;0;0;0;0;0
"197";197;0;0;0;0;0;0;0;0;0
"198";198;0;0;0;0;0;0;3;3;3
"199";199;0;0;0;0;0;0;0;0;1
"200";200;0;0;0;0;0;0;3;3;3
"201";201;0;0;0;0;0;0;3;3;3
"202";202;0;0;0;0;0;0;3;3;3
"203";203;0;0;0;0;0;0;3;3;3
"204";204;0;0;0;0;0;0;3;3;3
"205";205;0;0;0;0;0;0;3;3;3
"206";206;0;0;0;0;0;0;3;3;3
"207";207;0;0;0;0;0;0;3;3;3
"208";208;0;0;0;0;0;0;3;3;3
"209";209;0;0;0;0;0;0;3;3;3
"210";210;0;0;0;0;0;0;0;0;1
"211";211;0;0;0;0;0;0;3;3;3
"212";212;0;0;0;0;0;0;3;3;3
"213";213;0;0;0;0;0;0;3;3;3
"214";214;0;0;0;0;0;0;3;3;3
"215";215;0;0;0;0;0;0;3;3;3
"216";216;0;0;0;0;0;0;0;0;0
"217";217;0;0;0;0;0;0;0;0;0
"218";218;0;0;0;0;0;0;3;3;3
"219";219;0;0;0;0;0;0;3;3;3
"220";220;0;0;0;0;0;0;3;3;3
"221";221;0;0;0;0;0;0;3;3;3
"222";222;0;0;0;0;0;0;3;3;3
"223";223;0;0;0;0;0;0;3;3;3
"224";224;0;0;0;0;0;0;3;3;3
"225";225;0;0;0;0;0;0;3;3;3
"226";226;0;0;0;0;0;0;3;3;3
"227";227;0;0;0;0;0;0;3;3;3
"228";228;0;0;0;0;0;0;3;3;3
"229";229;0;0;0;0;0;0;3;3;3
"230";230;0;0;0;0;0;0;3;3;3
"231";231;0;0;0;0;0;0;2;2;2
"232";232;0;0;0;0;0;0;2;2;2
"233";233;0;0;0;0;0;0;2;2;2
"234";234;0;0;0;0;0;0;2;2;2
"235";235;0;0;0;0;0;0;2;2;2
"236";236;0;0;0;0;0;0;2;2;2
"237";237;0;0;0;0;0;0;2;2;2
"238";238;0;0;0;0;0;0;2;2;2
"239";239;0;0;0;0;0;0;2;2;2
"240";240;0;0;0;0;0;0;2;2;2
"241";241;0;0;0;0;0;0;2;2;2
"242";242;0;0;0;0;0;0;2;2;2
"243";243;0;0;0;0;0;0;2;2;2
"244";244;0;0;0;0;0;0;2;2;2
"245";245;0;0;0;0;0;0;2;2;2
"246";246;0;0;0;0;0;0;2;2;2
"247";247;0;0;0;0;0;0;2;2;2
"248";248;0;0;0;0;0;0;3;3;3
"249";249;0;0;0;0;0;0;3;3;3
"250";250;0;0;0;0;0;0;2;2;2
"251";251;0;0;0;0;0;0;2;2;2
"252";252;0;0;0;0;0;0;2;2;2
"253";253;0;0;0;0;0;0;2;2;2
"254";254;0;0;0;0;0;0;2;2;2
"255";255;0;0;0;0;0;0;2;2;2
"256";256;0;0;0;0;0;0;2;2;2
"257";257;0;0;0;0;0;0;2;2;2
"258";258;0;0;0;0;0;0;2;2;2
"259";259;0;0;0;0;0;0;2;2;2
"260";260;0;0;0;0;0;0;2;2;2
"261";261;0;0;0;0;0;0;2;2;2
"262";262;0;0;0;0;0;0;0;0;0
"263";263;0;0;0;0;0;0;2;2;2
"264";264;0;0;0;0;0;0;2;2;2
"265";265;0;0;0;0;0;0;2;2;2
"266";266;0;0;0;0;0;0;2;2;2
"267";267;0;0;0;0;0;0;2;2;2
"268";268;0;0;0;0;0;0;3;3;3
"269";269;0;0;0;0;0;0;0;0;0
"270";270;0;0;0;0;0;0;0;0;0
"271";271;0;0;0;0;0;0;0;0;0
"272";272;0;0;0;0;0;0;2;2;2
