"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"dar";-0,0459906055929123;-0,00196824499908949;-0,9990854783621;-0,042757536481585;0,999057344626813;0,000942655373348076;9,6313185896287e-05;1,76402934584991e-07;0,0455352255721169;0,0264196559543425;3,17835064305975e-05
"por";-0,0788024139257633;0,306893085610599;-0,248706652382642;0,968578856397671;0,113464149909488;0,88653585008873;0,000128670910752013;0,00195153138426563;0,0207205525480679;0,134327034598853;0,000373876516124227
"parar";-0,217147894781207;-0,175811279262068;-0,777201305863425;-0,62925204025429;0,747554533957343;0,25244546604262;0,00066225116902299;0,000434115162673518;0,014044668309799;0,144207358341148;0,000292069582344695
"art";0,175976290980216;0,331325533516085;0,46907124163585;0,883160331010288;0,353834302495833;0,646165697504087;0,000271696805002094;0,000963132467893737;0,00877356729512787;0,169866379803965;0,00025315766070975
"lei";0,466221895395819;-0,0464016044589577;0,99508369559476;-0,0990375623764838;0,994922936666391;0,00507706333361711;0,00183346159917513;1,81615320923696e-05;0,00843502719394551;0,268380638658425;0,000607559549118602
"adpf";1,63177813856523;-1,12592599099581;0,823080333571719;-0,567924963782601;0,803040333325294;0,196959666674707;0,0165711604664682;0,0078895165402853;0,00622344279463272;1,04555207700445;0,00680333787772563
"arguicao_de_descumprimento_de_preceito_fundamental";1,32545902390814;0,0919327678697804;0,997603295101798;0,0691929591940954;0,997527845773928;0,00247215422607671;0,0107112626582761;5,15286457079738e-05;0,00609688574746174;0,762003612555551;0,00354015369464454
"acao";0,939162191554396;-0,02176826746354;0,999731489306336;-0,0231721662633424;0,999723312956887;0,000276687043119491;0,0050734270726984;2,72563658981324e-06;0,00575201779392083;0,539329193125184;0,00167312380448435
"decisao";0,728564685911463;0,787544429435985;0,679085223060734;0,734059438887992;0,624241396292985;0,375758603706963;0,00262999143031194;0,00307304010141532;0,00495470839674369;0,529474528279316;0,00138901918404648
"constitucional";1,07333018649041;-0,953893446215146;0,747470809382433;-0,664294655345932;0,710788333840352;0,289211666159641;0,00593764343108239;0,00468972261627197;0,00515403574603797;0,730998416309989;0,00275410376188014
