"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"6784";"14491";"46.82";"****";""
" 149";"1967";" 7.57";"-1407.50";"adpf";"4.920720e-308"
" 169";"1927";" 8.77";"-1292.04";"arguicao_de_descumprimento_de_preceito_fundamental";"6.064116e-283"
"  33";"1149";" 2.87";" -967.85";"subsidiariedade";"1.751666e-212"
"  33";" 870";" 3.79";" -688.05";"min";"1.188042e-151"
"  40";" 838";" 4.77";" -631.40";"processual";"2.475989e-139"
"  23";" 753";" 3.05";" -610.89";"rel";"7.148459e-135"
" 364";"1818";"20.02";" -599.36";"acao";"2.303972e-132"
" 100";"1012";" 9.88";" -596.07";"relator";"1.199730e-131"
" 207";"1318";"15.71";" -563.57";"ministro";"1.408906e-124"
"   9";" 637";" 1.41";" -551.63";"agravo_regimental";"5.572284e-122"
"   5";" 578";" 0.87";" -510.51";"sanar";"4.906960e-113"
"  96";" 904";"10.62";" -507.32";"arguicao";"2.424081e-112"
"   7";" 578";" 1.21";" -502.85";"agr";"2.277023e-111"
"  38";" 680";" 5.59";" -487.05";"precedente";"6.253781e-108"
"   2";" 535";" 0.37";" -481.20";"lesividade";"1.169698e-106"
"  22";" 607";" 3.62";" -474.66";"dje";"3.103513e-105"
" 329";"1566";"21.01";" -469.61";"decisao";"3.896035e-104"
" 356";"1629";"21.85";" -459.28";"constitucional";"6.911642e-102"
"  31";" 600";" 5.17";" -436.06";"controversia";" 7.812606e-97"
"  77";" 727";"10.59";" -403.37";"requisito";" 1.018045e-89"
" 216";"1145";"18.86";" -390.09";"presente";" 7.923357e-87"
"  62";" 637";" 9.73";" -367.97";"julgar";" 5.166702e-82"
" 138";" 877";"15.74";" -362.15";"supremo_tribunal_federal";" 9.558492e-81"
"  28";" 490";" 5.71";" -344.08";"eficaz";" 8.228756e-77"
"  11";" 421";" 2.61";" -340.25";"tribunal_pleno";" 5.615262e-76"
" 123";" 799";"15.39";" -335.31";"objeto";" 6.708864e-75"
"  27";" 476";" 5.67";" -334.60";"preceito_fundamental";" 9.556892e-75"
"  41";" 521";" 7.87";" -329.22";"jurisprudencia";" 1.421337e-73"
"  14";" 398";" 3.52";" -308.13";"cabimento";" 5.582097e-69"
"   5";" 336";" 1.49";" -283.84";"recursal";" 1.094608e-63"
"   3";" 325";" 0.92";" -281.21";"dj";" 4.082862e-63"
"  16";" 374";" 4.28";" -278.99";"acao_direta_de_inconstitucionalidade";" 1.245697e-62"
"  18";" 380";" 4.74";" -277.50";"ajuizamento";" 2.627966e-62"
"  24";" 396";" 6.06";" -271.59";"provimento";" 5.117984e-61"
"  83";" 593";"14.00";" -267.47";"julgamento";" 4.049104e-60"
" 441";"1587";"27.79";" -259.13";"ato";" 2.656601e-58"
"  23";" 378";" 6.08";" -258.61";"lesao";" 3.454927e-58"
"  21";" 367";" 5.72";" -255.37";"negar";" 1.751884e-57"
"  75";" 550";"13.64";" -252.76";"adir";" 6.481823e-57"
" 125";" 705";"17.73";" -251.77";"judicial";" 1.067389e-56"
"  11";" 323";" 3.41";" -250.03";"abstrato";" 2.558636e-56"
"  10";" 316";" 3.16";" -247.21";"apto";" 1.052322e-55"
" 883";"2666";"33.12";" -246.08";"lei";" 1.859166e-55"
"   9";" 306";" 2.94";" -241.68";"celso_de_mello";" 1.696027e-54"
"  90";" 569";"15.82";" -228.56";"plenario";" 1.227627e-51"
" 171";" 796";"21.48";" -217.09";"impugnar";" 3.897539e-49"
"  81";" 523";"15.49";" -213.87";"tribunal";" 1.966803e-48"
"  57";" 432";"13.19";" -202.15";"instrumento";" 7.096876e-46"
"  80";" 504";"15.87";" -200.79";"corte";" 1.407004e-45"
"  62";" 445";"13.93";" -199.37";"concreto";" 2.862390e-45"
"  85";" 510";"16.67";" -192.97";"conhecimento";" 7.145705e-44"
"  12";" 256";" 4.69";" -185.76";"seguimento";" 2.683652e-42"
"  63";" 431";"14.62";" -184.96";"via";" 4.005735e-42"
"  50";" 388";"12.89";" -184.32";"eleitoral";" 5.517801e-42"
" 241";" 939";"25.67";" -180.38";"processo";" 3.999772e-41"
"  20";" 275";" 7.27";" -176.04";"perda";" 3.551234e-40"
"  21";" 277";" 7.58";" -174.59";"constitucionalidade";" 7.366661e-40"
"  40";" 340";"11.76";" -171.79";"descumprimento";" 3.003045e-39"
" 212";" 840";"25.24";" -166.74";"pedido";" 3.821577e-38"
" 105";" 537";"19.55";" -166.46";"recurso";" 4.379814e-38"
"  39";" 330";"11.82";" -166.11";"acordao";" 5.222179e-38"
"  84";" 469";"17.91";" -162.64";"df";" 2.998352e-37"
" 238";" 904";"26.33";" -162.54";"principiar";" 3.152678e-37"
"  33";" 299";"11.04";" -156.96";"agravo";" 5.216829e-36"
"  21";" 256";" 8.20";" -156.05";"impugnacao";" 8.269911e-36"
"  10";" 215";" 4.65";" -155.83";"subjetivo";" 9.237763e-36"
"  34";" 301";"11.30";" -155.76";"proferido";" 9.573527e-36"
"   8";" 206";" 3.88";" -154.69";"conhecer";" 1.634772e-35"
"  24";" 265";" 9.06";" -154.57";"eleicao";" 1.740041e-35"
"  34";" 297";"11.45";" -152.33";"admitir";" 5.368864e-35"
"  99";" 500";"19.80";" -151.80";"merito";" 7.017204e-35"
" 126";" 577";"21.84";" -150.58";"objectivo";" 1.294337e-34"
"   2";" 171";" 1.17";" -144.80";"carmen_lucia";" 2.372075e-33"
"  17";" 228";" 7.46";" -144.12";"alexandre_de_moraes";" 3.336624e-33"
"  20";" 237";" 8.44";" -142.52";"capaz";" 7.498249e-33"
"   9";" 196";" 4.59";" -142.27";"pressuposto";" 8.503582e-33"
"  10";" 198";" 5.05";" -140.63";"cabivel";" 1.936007e-32"
"   6";" 182";" 3.30";" -140.20";"superveniente";" 2.412097e-32"
"   4";" 171";" 2.34";" -137.48";"sucedaneo";" 9.483553e-32"
"   8";" 185";" 4.32";" -135.88";"gilmar_mendes";" 2.114764e-31"
"   6";" 175";" 3.43";" -133.92";"inelegibilidade";" 5.681225e-31"
"  54";" 340";"15.88";" -133.80";"relevante";" 6.041524e-31"
"   5";" 169";" 2.96";" -132.09";"controle_concentrado";" 1.428000e-30"
" 179";" 697";"25.68";" -131.35";"sentido";" 2.078854e-30"
"  28";" 252";"11.11";" -131.31";"conhecido";" 2.123043e-30"
"  12";" 195";" 6.15";" -131.25";"monocratico";" 2.179851e-30"
"  17";" 213";" 7.98";" -130.94";"ordinario";" 2.556314e-30"
"  10";" 186";" 5.38";" -129.95";"tribunal_de_justica";" 4.208941e-30"
"  44";" 303";"14.52";" -129.62";"ato_normativo";" 4.953482e-30"
"  44";" 299";"14.72";" -126.34";"sede";" 2.587518e-29"
"   8";" 174";" 4.60";" -126.07";"edson_fachin";" 2.970143e-29"
" 205";" 758";"27.04";" -125.56";"norma";" 3.833784e-29"
"  10";" 179";" 5.59";" -123.73";"dias_toffoli";" 9.651976e-29"
" 166";" 648";"25.62";" -122.42";"efeito";" 1.866576e-28"
"   5";" 156";" 3.21";" -120.46";"admissibilidade";" 5.028897e-28"
"  27";" 235";"11.49";" -119.72";"relatoria";" 7.271039e-28"
" 129";" 541";"23.84";" -119.09";"auto";" 9.989363e-28"
"   5";" 154";" 3.25";" -118.67";"controle_concentrado_de_constitucionalidade";" 1.238428e-27"
"  34";" 255";"13.33";" -116.87";"brasilia";" 3.067627e-27"
"  26";" 226";"11.50";" -114.97";"legitimidade";" 7.998140e-27"
"  54";" 309";"17.48";" -109.16";"voto";" 1.499318e-25"
"  27";" 220";"12.27";" -107.05";"peticao_inicial";" 4.333262e-25"
"  69";" 351";"19.66";" -106.55";"existencia";" 5.589034e-25"
"   1";" 124";" 0.81";" -106.33";"luiz_fux";" 6.238026e-25"
"  61";" 324";"18.83";" -104.26";"direto";" 1.770008e-24"
"   1";" 120";" 0.83";" -102.75";"embargos_de_declaracao";" 3.797397e-24"
"   6";" 140";" 4.29";" -102.70";"controle_abstrato_de_constitucionalidade";" 3.908354e-24"
"  35";" 241";"14.52";" -102.64";"ricardo_lewandowski";" 4.013980e-24"
" 220";" 759";"28.99";" -102.26";"constituicao";" 4.859465e-24"
"   8";" 147";" 5.44";" -102.10";"tribunal_superior_eleitoral";" 5.290736e-24"
"   4";" 129";" 3.10";"  -99.90";"interpor";" 1.605875e-23"
"  78";" 368";"21.20";"  -99.54";"interpretacao";" 1.924146e-23"
"  39";" 248";"15.73";"  -97.95";"ementa";" 4.292796e-23"
"  25";" 202";"12.38";"  -97.58";"ajuizado";" 5.163966e-23"
" 144";" 548";"26.28";"  -96.49";"municipal";" 8.992103e-23"
"   9";" 144";" 6.25";"  -96.12";"agravante";" 1.078839e-22"
"  12";" 155";" 7.74";"  -96.07";"regimento_interno";" 1.108848e-22"
"   5";" 128";" 3.91";"  -95.50";"tse";" 1.481808e-22"
"   5";" 126";" 3.97";"  -93.72";"concentrado";" 3.635663e-22"
"  17";" 170";"10.00";"  -93.64";"controle_de_constitucionalidade";" 3.787131e-22"
"  89";" 391";"22.76";"  -93.37";"hipotese";" 4.329824e-22"
"   5";" 125";" 4.00";"  -92.83";"idoneo";" 5.694210e-22"
"  29";" 208";"13.94";"  -91.59";"inobservancia";" 1.066617e-21"
"   2";" 111";" 1.80";"  -91.03";"marco_aurelio";" 1.416862e-21"
"   5";" 122";" 4.10";"  -90.17";"rosa_weber";" 2.186743e-21"
"   2";" 109";" 1.83";"  -89.24";"exaurimento";" 3.490459e-21"
"  22";" 181";"12.15";"  -88.44";"inexistencia";" 5.247901e-21"
"1077";"2773";"38.84";"  -87.63";"art";" 7.901498e-21"
"   4";" 115";" 3.48";"  -87.44";"ristf";" 8.695295e-21"
"  84";" 368";"22.83";"  -87.27";"poder_publico";" 9.457235e-21"
"  61";" 301";"20.27";"  -87.02";"entendimento";" 1.074178e-20"
"   0";"  98";" 0.00";"  -86.85";"improvido";" 1.170275e-20"
"  86";" 373";"23.06";"  -86.80";"autor";" 1.201325e-20"
" 157";" 564";"27.84";"  -84.89";"estadual";" 3.152044e-20"
"  92";" 387";"23.77";"  -84.79";"questionar";" 3.313749e-20"
" 135";" 504";"26.79";"  -84.13";"ausencia";" 4.623191e-20"
" 140";" 516";"27.13";"  -83.26";"normativo";" 7.201613e-20"
"  94";" 390";"24.10";"  -83.04";"inconstitucionalidade";" 8.049704e-20"
"   3";" 106";" 2.83";"  -82.97";"incabivel";" 8.323194e-20"
"   1";"  95";" 1.05";"  -80.43";"potencialidade";" 3.009174e-19"
"   5";" 111";" 4.50";"  -80.42";"cessar";" 3.019918e-19"
"  93";" 383";"24.28";"  -80.22";"fundamento";" 3.342285e-19"
"   7";" 118";" 5.93";"  -79.86";"mandato";" 4.013044e-19"
"   6";" 114";" 5.26";"  -79.68";"propositura";" 4.403481e-19"
"  18";" 157";"11.46";"  -79.66";"postulado";" 4.446332e-19"
"  28";" 189";"14.81";"  -78.76";"supremo";" 7.016270e-19"
"  80";" 344";"23.26";"  -78.55";"imediato";" 7.798390e-19"
"  25";" 179";"13.97";"  -78.54";"prejudicar";" 7.822063e-19"
"  13";" 136";" 9.56";"  -76.54";"revogacao";" 2.163015e-18"
"  18";" 152";"11.84";"  -75.46";"mandar";" 3.728348e-18"
"   0";"  85";" 0.00";"  -75.26";"solver";" 4.122681e-18"
"  58";" 274";"21.17";"  -73.78";"utilizacao";" 8.722267e-18"
