"";"classe 1";"classe 2";"classe 3"
"dar";4,373;-28,271;9,39
"por";-3,501;-113,958;171,638
"parar";86,063;-8,88;-57,177
"art";-87,628;0,519;99,547
"lei";-246,079;190,282;14,424
"adpf";-1407,503;2505,297;-71,125
"arguicao_de_descumprimento_de_preceito_fundamental";-1292,041;794,404;149,243
"acao";-599,362;422,359;48,024
"decisao";-469,61;38,258;340,753
"constitucional";-459,275;1033,588;-71,738
"ato";-259,129;332,289;-0,081
"ministro";-563,566;28,097;472,472
"min";-688,048;1215,654;-33,22
"relator";-596,068;83,994;343,813
"saude";1159,896;-402,207;-338,622
"sua";43,472;-43,534;-0,6
"subsidiariedade";-967,846;1939,256;-92,007
"presente";-390,087;33,416;278,123
"rel";-610,894;1321,058;-81,304
"caso";-27,2;108,555;-22,329
"direito";108,169;-12,844;-67,694
"dever";21,999;-1,816;-15,889
"processo";-180,382;31,169;93,017
"principiar";-162,54;409,826;-38,278
"arguicao";-507,324;159,882;163,981
"supremo_tribunal_federal";-362,155;126,042;105,295
"pedido";-166,735;-112,602;659,29
"nacional";282,052;-124,016;-60,754
"processual";-631,403;1073,781;-23,745
"objeto";-335,308;14,483;290,936
"publicar";47,242;-184,123;36,739
"artigo";-4,012;-76,841;127,512
"impugnar";-217,092;109,836;37,322
"norma";-125,562;66,967;19,603
"constituicao";-102,264;118,923;0,146
"dje";-474,659;762,401;-11,585
"plenario";-228,561;14,962;177,88
"prever";7,303;-0,82;-4,683
"juridico";-71,264;105,97;-0,816
"requisito";-403,368;632,56;-7,99
"judicial";-251,771;276,859;1,175
"precedente";-487,048;720,391;-5,236
"julgar";-367,974;57,375;201,217
"adir";-252,765;346,993;-0,85
"forma";-0,815;47,429;-36,439
"medida";165,498;-25,39;-91,299
"df";-162,64;254,792;-3,192
"agravo_regimental";-551,627;591,887;3,659
"sentido";-131,347;131,226;1,851
"termo";-33,958;-21,217;129,963
"agr";-502,852;1102,395;-70,781
"ii";67,065;-45,205;-6,117
"efeito";-122,421;-0,001;161,405
"federal";12,101;-2,42;-5,691
"situacao";-26,266;241,7;-101,866
"sanar";-510,512;1279,053;-117,679
"julgamento";-267,465;1,678;302,535
"objectivo";-150,581;379,802;-35,502
"controversia";-436,056;979,729;-67,677
"brasileiro";76,013;-19,146;-30,133
"estadual";-84,891;157,771;-5,506
"covid";545,832;-190,939;-157,79
"decreto";30,091;-13,481;-6,304
"ministerio";473,333;-165,489;-136,915
"auto";-119,094;-15,178;272,027
"municipal";-96,485;91,497;2,032
"atar";37,056;-79,76;4,837
"municipio";14,565;-57,403;11,62
"recurso";-166,464;5,716;151,698
"vacinacao";485,868;-161,951;-148,125
"tratar";-8,862;-22,269;68,107
"proprio";-15,704;21,098;-0,032
"tribunal";-213,869;9,037;186,496
"administrativo";63,681;-19,165;-21,545
"normativo";-83,258;40,014;15,621
"inciso";-0,5;-74,488;93,504
"conhecimento";-192,97;3,588;194,851
"sistema";17,472;14,989;-76,737
"ausencia";-84,134;118,568;-0,459
"prazo";104,758;-128,792;-0,005
"lesividade";-481,203;1319,069;-148,143
"controlo";-33,18;148,13;-34,811
"competencia";38,384;-24,268;-4,143
"uniao";255,579;-121,415;-48,867
"corte";-200,786;82,174;47,834
"iii";101,859;-48,974;-19,097
"tribunal_pleno";-340,255;671,593;-30,104
"jurisprudencia";-329,22;202,658;37,922
"merito";-151,797;-48,45;451,604
"constituicao_federal";-35,263;0,529;36,623
"considerar";7,456;-1,614;-3,319
"preceito_fundamental";-334,603;600,261;-17,726
"estabelecer";90,33;-21,419;-37,573
"dj";-281,214;693,434;-61,39
"analisar";-0,002;2,876;-2,842
"cf";29,42;-15,772;-4,548
"ordem";-39,222;31,472;1,99
"eficaz";-344,085;1062,436;-149,469
"lesao";-258,606;523,057;-25,688
"informacao";111,573;-121,734;-0,587
"adv";-10,146;-5,371;36,31
"seguinte";0,484;-18,781;13,338
"novo";47,593;-67,106;0,262
"via";-184,959;296,937;-4,496
"eleitoral";-184,322;-65,598;569,192
"necessario";1,944;10,794;-24,691
"geral";-10,442;93,639;-38,872
"documento";1,142;-67,299;51,819
"social";221,197;-108,466;-40,135
"preceitos_fundamentais";-45,627;29,469;4,666
"dia";127,098;-140,084;-0,572
"questao";-67,031;26,518;16,7
"concreto";-199,373;310,679;-3,724
"caput";3,175;-18,687;5,75
"portaria";136,034;-99,209;-9,781
"doc";-2,296;-95,481;138,44
"unico";-1,951;12,86;-4,336
"instrumento";-202,148;573,631;-69,063
"relacao";21,261;-16,176;-1,322
"especial";0,212;-3,958;2,297
"plano";209,103;-47,679;-89,609
"eletronico";32,225;-24,812;-1,919
"provimento";-271,587;135,875;47,614
"requerente";-12,507;-15,551;65,562
"modo";-16,849;27,883;-0,521
"pessoa";278,459;-94,532;-83,224
"orgao";7,939;-4,766;-0,969
"ambito";0,009;0,004;-0,031
"autoridade";121,201;-65,846;-18,261
"ano";223,62;-122,585;-33,104
"medida_cautelar";-9,456;-101,134;191,669
"inconstitucionalidade";-83,038;0,649;92,259
"determinar";45,992;-103,426;7,163
"cabimento";-308,129;403,401;-0,273
"c";-20,918;-0,573;36,156
"referido";0,476;-1,776;0,334
"acao_direta_de_inconstitucionalidade";-278,991;189,119;25,045
"protecao";117,725;-8,812;-87,877
"parecer";-1,123;-7,418;16,076
"poder_publico";-87,272;171,943;-7,653
"hipotese";-93,374;43,78;18,233
"fundamento";-80,224;7,691;54,865
"negar";-255,371;152,168;31,711
"ajuizamento";-277,504;455,962;-8,122
"violacao";-3,696;-1,926;13,146
"questionar";-84,793;50,735;10,431
"voto";-109,157;-28,514;304,261
"apresentar";9,531;-33,942;5,985
"autor";-86,799;3,401;76,962
"interpretacao";-99,538;-3,514;178,128
"possibilidade";-48,147;127,538;-13,321
"exercicio";18,733;-4,959;-7,123
"distrito_federal";17,655;-52,098;6,757
"requerer";6,3;-103,73;57,491
"existencia";-106,549;230,87;-14,298
"razao";-11,796;3,475;4,074
"brasil";207,675;-104,865;-35,826
"tender";-11,27;3,522;3,674
"recursal";-283,838;549,232;-22,766
"seguranca";14,613;1,722;-32,758
"resolucao";-6,155;-8,019;33,032
"exame";-31,389;28,459;0,879
"reconhecer";-9,027;-9,657;43,955
"possivel";-8,079;49,794;-15,92
"servico";243,445;-76,47;-78,949
"inicial";-10,089;-3,016;29,368
"materia";-40,511;-2,92;81,739
"descumprimento";-171,793;219,768;-0,046
"acordao";-166,115;0,903;189,884
"presidente_da_republica";25,987;-51,93;2,439
"pedir";-6,816;-55,873;113,692
"imediato";-78,55;231,494;-29,954
"relevante";-133,8;423,916;-62,319
"observar";9,678;-9,657;-0,138
"direto";-104,265;69,307;9,882
"carater";-39,226;108,867;-12,541
"registro";11,123;-68,35;21,8
"celso_de_mello";-241,675;622,93;-61,228
"ricardo_lewandowski";-102,643;101,147;1,623
"legal";-2,152;0,871;0,52
"dispositivo";-10,322;-0,614;20,091
"presidente";-10,512;-51,636;122,964
"atividade";215,314;-74,35;-63,155
"iv";13,671;-2,851;-6,248
"vista";-18,571;16,782;0,53
"vacina";336,184;-113,297;-101,281
"eleicao";-154,568;-92,386;580,849
"abstrato";-250,029;418,027;-8,334
"vez";2,225;-2,329;-0,02
"partido";-37,359;-40,528;183,142
"agravo";-156,962;126,794;7,747
"natureza";-60,149;87,636;-0,535
"apto";-247,213;598,851;-50,723
"pandemia";209,764;-61,842;-72,384
"afirmar";3,783;-1,455;-0,977
"expor";-46,089;-3,256;92,636
"ato_normativo";-129,624;272,03;-15,192
"ponto";9,926;-9,447;-0,204
"alegado";-56,164;105,632;-3,886
"alar";49,476;-15,736;-15,844
"acesso";70,536;-3,224;-60,401
"entendimento";-87,02;12,969;48,756
"dispor";5,228;-0,123;-5,094
"aplicacao";-21,499;14,268;2,046
"alexandre_de_moraes";-144,125;48,906;43,096
"risco";205,62;-76,494;-55,32
"stf";-37,868;38,346;0,473
"decorrente";2,711;2,079;-11,323
"sede";-126,342;104,356;5,67
"proferido";-155,756;3,644;151,983
"mau";14,101;-7,737;-2,084
"eficacia";-2,593;-0,003;3,6
"encontrar";-0,005;4,036;-3,915
"exigir";8,067;6,325;-34,028
"fato";-1,181;-3,088;9,293
"apontar";-20,796;21,586;0,204
"admitir";-152,329;289,145;-11,067
"ofensa";-61,836;76,027;0,003
"perda";-176,039;-60,442;536,896
"constitucionalidade";-174,588;184,97;1,357
"ocorrer";0,06;-19,098;17,684
"utilizar";-8,588;111,541;-56,058
"interesse";-51,689;43,881;2,046
"condicao";9,031;-13,164;0,081
"caber";-15;59,864;-12,314
"adequado";-16,455;25,48;-0,289
"fl";3,458;-72,267;43,538
"adotar";34,185;-36,737;-0,222
"utilizacao";-73,782;254,956;-43,011
"monocratico";-131,253;67,563;21,881
"apo";1,363;-78,379;60,095
"face";-64,343;0,014;82,132
"ementa";-97,949;58,296;12,195
"principio";23,034;-26,339;-0,051
"formular";-37,761;-25,245;148,673
"realizar";62,3;-52,291;-2,601
"procedimento";65,729;-53,451;-3,155
"populacao";282,446;-98,169;-82,244
"paragrafar";-0,656;17,625;-11,444
"entender";-26,527;7,925;9,038
"realizacao";90,746;-44,823;-16,263
"evidenciar";9,671;4,011;-31,543
"sanitario";249,497;-87,253;-72,148
"local";18,052;0,927;-34,256
"economico";135,258;-53,325;-33,848
"defesa";91,113;-13,596;-51,015
"brasilia";-116,868;-88,436;485,349
"seguimento";-185,756;2,458;195,833
"individual";-11,518;148,476;-74,37
"liminar";-34,849;-67,7;231,199
"sustentar";5,842;-33,498;10,079
"manifestacao";-0,151;-45,321;54,109
"impugnacao";-156,047;112,09;11,781
"base";8,171;-25,036;3,475
"legislativo";-0,769;-4,106;9,511
"arts";0;-12,926;13,664
"relatoria";-119,724;155,865;-0,084
"atuacao";73,304;-28,131;-18,983
"conhecido";-131,305;32,648;52,603
"conferir";-19,615;0,143;21,917
"representacao";-67,048;-8,255;151,878
"eventual";-15,154;18,847;0
"texto";-20,302;101,378;-26,813
"dias_toffoli";-123,73;69,064;17,666
"regra";-9,157;38,81;-8,591
"ente";122,135;-44,77;-33,445
"cargo";-32,898;-72,703;234,698
"edoc";-12,879;-60,583;146,386
"relatorio";-32,912;-53,484;198,125
"necessidade";19,621;-7,354;-5,231
"mc";-52,62;180,532;-30,128
"diverso";3,651;-1,029;-1,314
"acordo";22,252;-0,1;-25,757
"preceito";-33,444;50,804;-0,485
"legitimidade";-114,968;7,625;89,124
"contexto";2,512;12,421;-29,513
"uso";35,84;0,152;-52,627
"criterio";27,491;-3,147;-17,484
"tecnica";147,953;-60,132;-35,577
"politica";82,137;-21,416;-31,638
"respectivo";32,584;-20,363;-3,619
"pleno";-50,857;135,58;-14,359
"permitir";10,398;-2,3;-4,557
"edson_fachin";-126,069;66,457;20,119
"praticar";-0,15;-23,216;29,045
"pai";181,464;-75,841;-42,013
"gilmar_mendes";-135,885;107,789;7,22
"capaz";-142,516;410,298;-50,801
"veicular";12,084;-11,862;-0,197
"revelar";-51,684;105,584;-5,375
"observancia";-20,44;80;-16,05
"especificar";-4,934;12,002;-1,027
"demonstrar";-11,915;32,279;-3,537
"decidir";-55,784;-17,977;166,499
"respeito";6,981;-0,256;-6,276
"suprema_corte";-30,259;29,685;0,496
"amplo";-44,574;172,679;-34,186
"regulamentar";10,645;1,298;-24,057
"dezembro";2,24;-18,704;7,434
"carmen_lucia";-144,803;78,873;21,707
"advogado_geral_da_uniao";-23,267;-27,629;119,211
"omissao";-3,63;-0,352;7,787
"peticao_inicial";-107,053;33,448;34,905
"data";1,457;-5,919;1,245
"verificar";-25,899;29,437;0,066
"suspensao";-0,141;-57,076;67,012
"ordinario";-130,937;72,068;19,229
"codigo";-15,774;-46,286;132,97
"conhecer";-154,692;10,812;118,013
"alegar";3,901;-23,172;7,185
"maior";70,453;-23,132;-21,826
"autorizar";8,228;-0,79;-5,624
"educacao";135,95;-56,061;-32,059
"tese";-72,892;9,547;43,591
"subjetivo";-155,827;353,722;-25,167
"pretensao";-58,729;26,424;12,224
"ms";60,212;-20,825;-17,629
"mecanismo";-67,823;292,827;-66,244
"b";18,537;-27,592;0,215
"ativo";-52,683;3,001;42,656
"prestar";1,139;-1,797;0,024
"pressuposto";-142,267;251,836;-6,95
"internacional";117,52;-38,745;-36,249
"contar";84,687;-40,333;-16,126
"assentar";-40,483;41,535;0,446
"manifestar";-24,516;-30,855;129,3
"atender";-4,296;51,613;-25,024
"liberdade";69,348;-51,848;-4,587
"justica";0,003;-2,224;2,163
"determinado";60,178;-31,598;-9,674
"impedir";-7,037;11,516;-0,2
"inobservancia";-91,589;146,001;-2,097
"inelegibilidade";-133,922;-65,049;463,479
"funcao";0,142;0,992;-2,115
"ajuizado";-97,583;4,286;84,344
"tribunal_de_justica";-129,947;53,877;30,417
"destacar";0,019;7,041;-8,297
"prefeito";-49,706;-0,276;74,155
"arguente";-57,162;5,236;39,774
"justificar";-17,207;34,572;-1,657
"exigencia";37,294;-4,695;-22,725
"cabivel";-140,632;217,326;-2,426
"diretor";85,728;-37,825;-18,372
"programa";160,752;-55,918;-46,766
"limite";40,613;-15,761;-10,37
"grifar";0,016;16,195;-18,303
"existir";-15,548;84,391;-24,173
"constituir";-0,453;1,319;-0,167
"afastar";-61,52;24,867;14,902
"regional";-42,892;-33,387;180,356
"mencionar";7,333;-4,055;-1,067
"instituicao";131,586;-36,045;-48,57
"empresa";104,605;-29,605;-37,494
"lei_complementar";-1,082;-37,033;55,327
"proposta";-23,795;-5,868;65,148
"alteracao";0,212;-59,403;54,542
"transitar";-14,425;0,001;18,66
"roberto_barroso";-45,263;69,57;-0,741
"declarar";-6,464;-40,06;88,518
"senhor";-55,232;-21,219;175,226
"militar";67,5;-42,977;-7,16
"legislacao";0,923;6,886;-14,394
"disponivel";28,917;1,413;-54,417
"governo_federal";138,369;-46,48;-41,833
"declaracao";-16,26;-33,417;111,323
"tutela";-12,033;21,189;-0,569
"supremo";-78,759;38,003;14,68
"contrariar";1,065;-0,346;-0,334
"civil";8,304;-16,818;0,83
"vida";167,656;-63,51;-44,121
"mandar";-75,46;123,234;-2,106
"inexistencia";-88,437;152,561;-3,663
"financeiro";134,44;-47,272;-38,637
"entidade";27,943;-10,207;-7,684
"tema";-5,166;3,129;0,618
"material";0,45;9,907;-15,992
"legitimar";-68,892;78,632;0,159
"evento";142,436;-53,587;-37,801
"incluir";12,655;3,129;-34,677
"constituicao_da_republica";-43,759;18,177;10,217
"superveniente";-140,196;-30,984;371,327
"pagamento";81,916;-17,739;-36,457
"possuir";-4,42;6,234;-0,024
"imunizacao";190,359;-67,035;-54,615
"sessao";-48,316;-37,848;203,733
"previsao";1,729;3,129;-11,032
"sp";-19,453;15,431;1,034
"prejudicar";-78,544;-15,68;201,963
"promover";87,894;-37,76;-19,579
"partir";21,638;-16,174;-1,432
"membro";-17,615;-19,904;88,079
"anterior";-26,925;49,445;-1,634
