dar;6748;3961;3683
por;3010;1527;2012
parar;2335;1155;949
art;1077;783;913
lei;883;1026;757
adpf;149;1468;350
arguicao_de_descumprimento_de_preceito_fundamental;169;1049;709
acao;364;870;584
decisao;329;537;700
constitucional;356;998;275
ato;441;746;400
ministro;207;447;664
min;33;687;150
relator;100;406;506
saude;1081;24;30
sua;649;224;284
subsidiariedade;33;959;157
presente;216;401;528
rel;23;643;87
caso;419;443;208
direito;601;216;136
dever;520;248;193
processo;241;334;364
principiar;238;514;152
arguicao;96;415;393
supremo_tribunal_federal;138;387;352
pedido;212;99;529
nacional;591;80;106
processual;40;644;154
objeto;123;268;408
publicar;473;56;279
artigo;292;88;298
impugnar;171;349;276
norma;205;308;245
constituicao;220;341;198
dje;22;466;119
plenario;90;198;281
prever;391;199;168
juridico;236;328;179
requisito;77;497;153
judicial;125;388;192
precedente;38;494;148
julgar;62;260;315
adir;75;344;131
forma;317;274;111
medida;487;133;69
df;84;282;103
agravo_regimental;9;445;183
sentido;179;325;193
termo;236;131;293
agr;7;510;61
ii;411;107;141
efeito;166;179;303
federal;316;146;125
situacao;233;346;53
sanar;5;537;36
julgamento;83;178;332
objectivo;126;365;86
controversia;31;502;67
brasileiro;357;107;85
estadual;157;287;120
covid;548;15;19
decreto;300;105;106
ministerio;512;21;24
auto;129;110;302
municipal;144;250;154
atar;321;58;159
municipio;281;66;163
recurso;105;173;259
vacinacao;456;9;7
tratar;222;103;222
proprio;218;204;142
tribunal;81;175;267
administrativo;337;102;89
normativo;140;206;170
inciso;201;43;201
conhecimento;85;160;265
sistema;284;179;45
ausencia;135;247;122
prazo;333;23;121
lesividade;2;517;16
controlo;175;262;73
competencia;302;90;108
uniao;394;26;56
corte;80;229;195
iii;343;69;85
tribunal_pleno;11;351;59
jurisprudencia;41;287;193
merito;99;70;331
constituicao_federal;171;147;187
considerar;266;127;111
preceito_fundamental;27;367;82
estabelecer;336;92;68
dj;3;300;22
analisar;227;151;108
cf;223;68;76
ordem;149;180;130
eficaz;28;453;9
lesao;23;301;54
informacao;326;23;110
adv;6;3;23
seguinte;236;93;159
novo;288;50;122
via;63;277;91
eleitoral;50;37;301
necessario;231;159;72
geral;177;215;58
documento;217;46;177
social;342;21;50
preceitos_fundamentais;127;164;125
dia;297;6;95
questao;128;175;154
concreto;62;287;96
caput;195;68;117
portaria;299;22;74
doc;171;24;202
unico;183;149;89
instrumento;57;339;36
relacao;241;79;96
especial;197;96;118
plano;327;49;20
eletronico;234;63;86
provimento;24;212;160
requerente;158;79;176
modo;154;163;100
pessoa;332;20;19
orgao;218;93;95
ambito;191;113;102
autoridade;292;38;64
ano;309;7;45
medida_cautelar;157;22;221
inconstitucionalidade;94;115;181
determinar;254;21;125
cabimento;14;287;97
c;107;81;126
referido;185;94;102
acao_direta_de_inconstitucionalidade;16;221;137
protecao;273;76;16
parecer;170;83;132
poder_publico;84;213;71
hipotese;89;166;136
fundamento;93;130;160
negar;21;206;140
ajuizamento;18;289;73
violacao;159;93;127
questionar;92;169;126
voto;54;44;211
apresentar;205;54;116
autor;86;119;168
interpretacao;78;86;204
possibilidade;109;200;65
exercicio;209;81;70
distrito_federal;160;22;87
requerer;188;13;151
existencia;69;223;59
razao;136;115;108
brasil;279;8;36
tender;138;116;108
recursal;5;283;48
seguranca;196;106;42
resolucao;124;64;123
exame;111;140;96
reconhecer;134;70;141
possivel;123;143;50
servico;278;17;11
inicial;132;81;131
materia;104;82;161
descumprimento;40;215;85
acordao;39;99;192
presidente_da_republica;164;21;78
pedir;135;33;171
imediato;80;220;44
relevante;54;262;24
observar;190;70;85
direto;61;156;107
carater;103;180;59
registro;170;20;112
celso_de_mello;9;278;19
ricardo_lewandowski;35;136;70
legal;140;98;89
dispositivo;124;84;118
presidente;85;16;133
atividade;278;20;20
iv;184;76;63
vista;113;122;88
vacina;290;0;0
eleicao;24;4;237
abstrato;11;252;60
vez;162;76;80
partido;76;28;164
agravo;33;169;97
natureza;77;158;73
apto;10;280;26
pandemia;269;24;14
afirmar;165;78;73
expor;85;71;151
ato_normativo;44;211;48
ponto;111;34;46
alegado;72;157;59
alar;204;54;48
acesso;207;67;17
entendimento;61;111;129
dispor;163;82;61
aplicacao;102;113;88
alexandre_de_moraes;17;110;101
risco;251;13;18
stf;84;127;79
decorrente;156;95;52
sede;44;161;94
proferido;34;98;169
mau;171;61;65
eficacia;124;81;89
encontrar;116;83;50
exigir;151;94;28
fato;123;65;94
apontar;97;115;77
admitir;34;212;51
ofensa;65;141;71
perda;20;19;236
constitucionalidade;21;177;79
ocorrer;135;46;103
utilizar;106;155;17
interesse;72;127;82
condicao;159;52;75
caber;97;133;45
adequado;100;117;69
fl;142;13;116
adotar;175;31;66
utilizacao;58;193;23
monocratico;12;105;78
apo;132;9;121
face;63;77;135
ementa;39;122;87
principio;167;38;68
formular;78;39;157
realizar;187;21;56
procedimento;184;19;53
populacao;255;1;3
paragrafar;118;104;44
entender;83;94;89
realizacao;194;23;37
evidenciar;146;86;27
sanitario;242;4;6
local;154;78;25
economico;208;18;24
defesa;188;42;14
brasilia;34;4;217
seguimento;12;82;162
individual;88;152;4
liminar;72;12;169
sustentar;142;31;89
manifestacao;114;22;114
impugnacao;21;146;89
base;144;36;79
legislativo;112;56;86
arts;117;44;89
relatoria;27;150;58
atuacao;181;31;33
conhecido;28;110;114
conferir;84;73;97
representacao;33;35;122
eventual;87;100;64
texto;81;139;28
dias_toffoli;10;99;70
regra;90;110;42
ente;199;21;23
cargo;59;4;152
edoc;75;9;132
relatorio;68;16;155
necessidade;149;49;47
mc;34;127;13
diverso;128;60;54
acordo;142;61;25
preceito;52;99;46
legitimidade;26;81;119
contexto;125;91;25
uso;156;68;12
criterio;152;54;33
tecnica;193;10;18
politica;180;34;23
respectivo;155;35;48
pleno;44;129;28
permitir;135;55;46
edson_fachin;8;96;70
praticar;102;30;92
pai;204;4;15
gilmar_mendes;8;114;63
capaz;20;204;13
veicular;128;38;53
revelar;53;132;43
observancia;69;119;30
especificar;91;87;52
demonstrar;83;103;47
decidir;53;36;145
respeito;127;60;42
suprema_corte;66;100;63
amplo;59;154;21
regulamentar;128;69;25
dezembro;113;32;73
carmen_lucia;2;99;70
advogado_geral_da_uniao;35;10;89
omissao;89;57;74
peticao_inicial;27;99;94
data;106;42;60
verificar;66;97;58
suspensao;97;10;106
ordinario;17;114;82
codigo;69;14;125
conhecer;8;78;120
alegar;117;29;73
maior;161;28;25
autorizar;122;54;40
educacao;174;8;16
tese;38;79;96
subjetivo;10;182;23
pretensao;45;93;77
ms;131;21;20
mecanismo;33;158;0
b;120;21;52
ativo;38;62;86
prestar;105;49;54
pressuposto;9;153;34
internacional;165;15;13
contar;160;16;27
assentar;53;100;58
manifestar;62;22;124
atender;83;104;22
liberdade;144;8;35
justica;94;46;60
determinado;151;21;33
impedir;78;79;50
inobservancia;29;135;44
inelegibilidade;6;1;168
funcao;92;59;40
ajuizado;25;69;108
tribunal_de_justica;10;96;80
destacar;96;73;34
prefeito;29;40;86
arguente;42;71;91
justificar;61;89;41
exigencia;137;42;22
cabivel;10;147;41
diretor;156;16;24
programa;163;4;5
limite;129;27;28
grifar;95;81;25
existir;64;111;20
constituir;88;62;48
afastar;38;86;74
regional;40;15;123
mencionar;109;41;43
instituicao;168;16;7
empresa;151;17;10
lei_complementar;76;13;88
proposta;56;38;97
alteracao;94;6;94
transitar;59;50;71
roberto_barroso;27;84;32
declarar;72;14;105
senhor;26;17;110
militar;117;5;23
legislacao;96;69;26
disponivel;124;59;4
governo_federal;170;11;10
declaracao;61;17;111
tutela;62;78;42
supremo;28;90;71
contrariar;96;49;45
civil;105;26;52
vida;169;2;7
mandar;18;103;31
inexistencia;22;124;35
financeiro;158;8;9
entidade;120;31;30
tema;70;61;51
material;82;64;20
legitimar;30;104;49
evento;154;4;8
incluir;109;61;12
constituicao_da_republica;42;77;66
superveniente;6;17;159
pagamento;133;21;8
possuir;72;66;46
imunizacao;171;0;2
sessao;26;7;111
previsao;94;61;27
sp;37;57;39
prejudicar;25;26;128
promover;146;13;20
partir;113;25;38
membro;54;22;98
anterior;49;91;38
acercar;99;43;36
sao_paulo;58;61;37
mostrar;40;111;20
momento;99;38;41
indicar;85;30;51
ensino;146;16;4
pena;89;53;31
luiz_fux;1;58;65
causar;62;74;37
rosa_weber;5;53;64
fundamental;86;53;36
especie;33;88;55
disposto;98;45;34
atendimento;96;58;18
politicar;91;21;54
juizo;73;54;42
concessao;79;29;65
instituto;78;45;36
firmar;58;71;46
execucao;105;21;41
sucedaneo;4;151;16
ficar;109;15;45
evitar;71;79;24
cumprimento;110;18;43
aplicar;82;27;65
ressaltar;93;36;36
jurisdicional;26;101;45
submeter;66;66;35
governo;143;6;10
violar;63;71;38
exercer;88;44;34
controle_de_constitucionalidade;17;128;25
revogar;46;47;63
prova;93;40;17
impossibilidade;25;81;61
estatal;62;69;28
enem;118;1;2
nota;128;9;19
maneira;55;81;24
destinar;90;58;18
controle_concentrado;5;146;18
coletivo;72;85;3
razoar;52;45;68
mero;38;90;37
contrato;131;13;7
area;142;15;1
editar;86;39;37
demanda;78;27;56
pleito;32;19;112
diploma;40;37;79
deferir;78;7;80
cientificar;143;11;2
crianca;142;2;0
solucao;59;93;9
proc;1;1;5
organizacao;139;9;9
secretaria;128;3;13
regimento_interno;12;8;135
quadro;95;17;47
prejuizo;95;20;46
postulado;18;120;19
peticao;58;6;81
manter;95;10;53
so;62;75;21
pretender;52;64;42
configurar;57;64;38
levar;116;19;22
busca;61;45;43
admissibilidade;5;140;11
tribunal_superior_eleitoral;8;9;130
territorio;131;11;8
assegurar;133;12;9
grave;123;14;17
cumprir;75;51;22
controle_concentrado_de_constitucionalidade;5;113;36
essencial;68;69;16
definir;105;31;18
congresso_nacional;42;13;74
causa;24;29;99
preliminar;45;31;75
poder_judiciario;80;19;50
representar;100;24;25
publico;126;17;8
fixar;70;15;66
final;74;8;64
exemplo;69;65;15
taxa;130;1;5
improcedencia;28;9;107
garantia;109;16;20
envolver;66;48;34
alegacao;50;45;55
redacao;72;4;58
doer;81;23;33
superior;95;18;27
relacionar;119;13;15
privado;123;7;7
pag;107;12;29
tratamento;131;4;4
tecnico;134;4;8
negativo;23;92;31
executivo;94;29;23
embargos_de_declaracao;1;26;93
atribuicao;94;20;31
trazer;69;13;59
passar;88;25;27
carta;53;54;38
agravante;9;70;65
adolescente;138;0;0
