"";"classe 1";"classe 2";"classe 3"
"dar";0,037;0;0,002
"por";0,061;0;0
"parar";0;0,003;0
"art";0;0,471;0
"lei";0;0;0
"adpf";0;0;0
"arguicao_de_descumprimento_de_preceito_fundamental";0;0;0
"acao";0;0;0
"decisao";0;0;0
"constitucional";0;0;0
"ato";0;0;0,776
"ministro";0;0;0
"min";0;0;0
"relator";0;0;0
"saude";0;0;0
"sua";0;0;0,438
"subsidiariedade";0;0;0
"presente";0;0;0
"rel";0;0;0
"caso";0;0;0
"direito";0;0;0
"dever";0;0,178;0
"processo";0;0;0
"principiar";0;0;0
"arguicao";0;0;0
"supremo_tribunal_federal";0;0;0
"pedido";0;0;0
"nacional";0;0;0
"processual";0;0;0
"objeto";0;0;0
"publicar";0;0;0
"artigo";0,045;0;0
"impugnar";0;0;0
"norma";0;0;0
"constituicao";0;0;0,702
"dje";0;0;0,001
"plenario";0;0;0
"prever";0,007;0,365;0,03
"juridico";0;0;0,366
"requisito";0;0;0,005
"judicial";0;0;0,278
"precedente";0;0;0,022
"julgar";0;0;0
"adir";0;0;0,357
"forma";0,367;0;0
"medida";0;0;0
"df";0;0;0,074
"agravo_regimental";0;0;0,056
"sentido";0;0;0,174
"termo";0;0;0
"agr";0;0;0
"ii";0;0;0,013
"efeito";0;0,971;0
"federal";0,001;0,12;0,017
"situacao";0;0;0
"sanar";0;0;0
"julgamento";0;0,195;0
"objectivo";0;0;0
"controversia";0;0;0
"brasileiro";0;0;0
"estadual";0;0;0,019
"covid";0;0;0
"decreto";0;0;0,012
"ministerio";0;0;0
"auto";0;0;0
"municipal";0;0;0,154
"atar";0;0;0,028
"municipio";0;0;0,001
"recurso";0;0,017;0
"vacinacao";0;0;0
"tratar";0,003;0;0
"proprio";0;0;0,858
"tribunal";0;0,003;0
"administrativo";0;0;0
"normativo";0;0;0
"inciso";0,479;0;0
"conhecimento";0;0,058;0
"sistema";0;0;0
"ausencia";0;0;0,498
"prazo";0;0;0,946
"lesividade";0;0;0
"controlo";0;0;0
"competencia";0;0;0,042
"uniao";0;0;0
"corte";0;0;0
"iii";0;0;0
"tribunal_pleno";0;0;0
"jurisprudencia";0;0;0
"merito";0;0;0
"constituicao_federal";0;0,467;0
"considerar";0,006;0,204;0,068
"preceito_fundamental";0;0;0
"estabelecer";0;0;0
"dj";0;0;0
"analisar";0,961;0,09;0,092
"cf";0;0;0,033
"ordem";0;0;0,158
"eficaz";0;0;0
"lesao";0;0;0
"informacao";0;0;0,444
"adv";0,001;0,02;0
"seguinte";0,486;0;0
"novo";0;0;0,609
"via";0;0;0,034
"eleitoral";0;0;0
"necessario";0,163;0,001;0
"geral";0,001;0;0
"documento";0,285;0;0
"social";0;0;0
"preceitos_fundamentais";0;0;0,031
"dia";0;0;0,45
"questao";0;0;0
"concreto";0;0;0,054
"caput";0,075;0;0,016
"portaria";0;0;0,002
"doc";0,13;0;0
"unico";0,162;0;0,037
"instrumento";0;0;0
"relacao";0;0;0,25
"especial";0,645;0,047;0,13
"plano";0;0;0
"eletronico";0;0;0,166
"provimento";0;0;0
"requerente";0;0;0
"modo";0;0;0,471
"pessoa";0;0;0
"orgao";0,005;0,029;0,325
"ambito";0,925;0,947;0,86
"autoridade";0;0;0
"ano";0;0;0
"medida_cautelar";0,002;0;0
"inconstitucionalidade";0;0,42;0
"determinar";0;0;0,007
"cabimento";0;0;0,601
"c";0;0,449;0
"referido";0,49;0,183;0,563
"acao_direta_de_inconstitucionalidade";0;0;0
"protecao";0;0,003;0
"parecer";0,289;0,006;0
"poder_publico";0;0;0,006
"hipotese";0;0;0
"fundamento";0;0,006;0
"negar";0;0;0
"ajuizamento";0;0;0,004
"violacao";0,055;0,165;0
"questionar";0;0;0,001
"voto";0;0;0
"apresentar";0,002;0;0,014
"autor";0;0,065;0
"interpretacao";0;0,061;0
"possibilidade";0;0;0
"exercicio";0;0,026;0,008
"distrito_federal";0;0;0,009
"requerer";0,012;0;0
"existencia";0;0;0
"razao";0,001;0,062;0,044
"brasil";0;0;0
"tender";0,001;0,061;0,055
"recursal";0;0;0
"seguranca";0;0,189;0
"resolucao";0,013;0,005;0
"exame";0;0;0,349
"reconhecer";0,003;0,002;0
"possivel";0,004;0;0
"servico";0;0;0
"inicial";0,001;0,082;0
"materia";0;0,087;0
"descumprimento";0;0;0,831
"acordao";0;0,342;0
"presidente_da_republica";0;0;0,118
"pedir";0,009;0;0
"imediato";0;0;0
"relevante";0;0;0
"observar";0,002;0,002;0,71
"direto";0;0;0,002
"carater";0;0;0
"registro";0,001;0;0
"celso_de_mello";0;0;0
"ricardo_lewandowski";0;0;0,203
"legal";0,142;0,351;0,471
"dispositivo";0,001;0,433;0
"presidente";0,001;0;0
"atividade";0;0;0
"iv";0;0,091;0,012
"vista";0;0;0,467
"vacina";0;0;0
"eleicao";0;0;0
"abstrato";0;0;0,004
"vez";0,136;0,127;0,888
"partido";0;0;0
"agravo";0;0;0,005
"natureza";0;0;0,464
"apto";0;0;0
"pandemia";0;0;0
"afirmar";0,052;0,228;0,323
"expor";0;0,071;0
"ato_normativo";0;0;0
"ponto";0,002;0,002;0,652
"alegado";0;0;0,049
"alar";0;0;0
"acesso";0;0,073;0
"entendimento";0;0;0
"dispor";0,022;0,725;0,024
"aplicacao";0;0;0,153
"alexandre_de_moraes";0;0;0
"risco";0;0;0
"stf";0;0;0,492
"decorrente";0,1;0,149;0,001
"sede";0;0;0,017
"proferido";0;0,056;0
"mau";0;0,005;0,149
"eficacia";0,107;0,958;0,058
"encontrar";0,942;0,045;0,048
"exigir";0,005;0,012;0
"fato";0,277;0,079;0,002
"apontar";0;0;0,652
"admitir";0;0;0,001
"ofensa";0;0;0,959
"perda";0;0;0
"constitucionalidade";0;0;0,244
"ocorrer";0,806;0;0
"utilizar";0,003;0;0
"interesse";0;0;0,153
"condicao";0,003;0;0,776
"caber";0;0;0
"adequado";0;0;0,591
"fl";0,063;0;0
"adotar";0;0;0,637
"utilizacao";0;0;0
"monocratico";0;0;0
"apo";0,243;0;0
"face";0;0,907;0
"ementa";0;0;0
"principio";0;0;0,821
"formular";0;0;0
"realizar";0;0;0,107
"procedimento";0;0;0,076
"populacao";0;0;0
"paragrafar";0,418;0;0,001
"entender";0;0,005;0,003
"realizacao";0;0;0
"evidenciar";0,002;0,045;0
"sanitario";0;0;0
"local";0;0,336;0
"economico";0;0;0
"defesa";0;0;0
"brasilia";0;0;0
"seguimento";0;0,117;0
"individual";0,001;0;0
"liminar";0;0;0
"sustentar";0,016;0;0,001
"manifestacao";0,698;0;0
"impugnacao";0;0;0,001
"base";0,004;0;0,062
"legislativo";0,381;0,043;0,002
"arts";0,996;0;0
"relatoria";0;0;0,772
"atuacao";0;0;0
"conhecido";0;0;0
"conferir";0;0,705;0
"representacao";0;0,004;0
"eventual";0;0;1
"texto";0;0;0
"dias_toffoli";0;0;0
"regra";0,002;0;0,003
"ente";0;0;0
"cargo";0;0;0
"edoc";0;0;0
"relatorio";0;0;0
"necessidade";0;0,007;0,022
"mc";0;0;0
"diverso";0,056;0,31;0,252
"acordo";0;0,751;0
"preceito";0;0;0,486
"legitimidade";0;0,006;0
"contexto";0,113;0;0
"uso";0;0,696;0
"criterio";0;0,076;0
"tecnica";0;0;0
"politica";0;0;0
"respectivo";0;0;0,057
"pleno";0;0;0
"permitir";0,001;0,129;0,033
"edson_fachin";0;0;0
"praticar";0,699;0;0
"pai";0;0;0
"gilmar_mendes";0;0;0,007
"capaz";0;0;0
"veicular";0,001;0,001;0,657
"revelar";0;0;0,02
"observancia";0;0;0
"especificar";0,026;0,001;0,311
"demonstrar";0,001;0;0,06
"decidir";0;0;0
"respeito";0,008;0,613;0,012
"suprema_corte";0;0;0,481
"amplo";0;0;0
"regulamentar";0,001;0,255;0
"dezembro";0,135;0;0,006
"carmen_lucia";0;0;0
"advogado_geral_da_uniao";0;0;0
"omissao";0,057;0,553;0,005
"peticao_inicial";0;0;0
"data";0,227;0,015;0,265
"verificar";0;0;0,798
"suspensao";0,707;0;0
"ordinario";0;0;0
"codigo";0;0;0
"conhecer";0;0,001;0
"alegar";0,048;0;0,007
"maior";0;0;0
"autorizar";0,004;0,374;0,018
"educacao";0;0;0
"tese";0;0,002;0
"subjetivo";0;0;0
"pretensao";0;0;0
"ms";0;0;0
"mecanismo";0;0;0
"b";0;0;0,643
"ativo";0;0,083;0
"prestar";0,286;0,18;0,877
"pressuposto";0;0;0,008
"internacional";0;0;0
"contar";0;0;0
"assentar";0;0;0,504
"manifestar";0;0;0
"atender";0,038;0;0
"liberdade";0;0;0,032
"justica";0,958;0,136;0,141
"determinado";0;0;0,002
"impedir";0,008;0,001;0,655
"inobservancia";0;0;0,148
"inelegibilidade";0;0;0
"funcao";0,706;0,319;0,146
"ajuizado";0;0,038;0
"tribunal_de_justica";0;0;0
"destacar";0,891;0,008;0,004
"prefeito";0;0,599;0
"arguente";0;0,022;0
"justificar";0;0;0,198
"exigencia";0;0,03;0
"cabivel";0;0;0,119
"diretor";0;0;0
"programa";0;0;0
"limite";0;0;0,001
"grifar";0,898;0;0
"existir";0;0;0
"constituir";0,501;0,251;0,683
"afastar";0;0;0
"regional";0;0;0
"mencionar";0,007;0,044;0,302
"instituicao";0;0;0
"empresa";0;0;0
"lei_complementar";0,298;0;0
"proposta";0;0,015;0
"alteracao";0,645;0;0
"transitar";0;0,978;0
"roberto_barroso";0;0;0,389
"declarar";0,011;0;0
"senhor";0;0;0
"militar";0;0;0,007
"legislacao";0,337;0,009;0
"disponivel";0;0,235;0
"governo_federal";0;0;0
"declaracao";0;0;0
"tutela";0,001;0;0,451
"supremo";0;0;0
"contrariar";0,302;0,556;0,564
"civil";0,004;0;0,362
"vida";0;0;0
"mandar";0;0;0,147
"inexistencia";0;0;0,056
"financeiro";0;0;0
"entidade";0;0,001;0,006
"tema";0,023;0,077;0,432
"material";0,502;0,002;0
"legitimar";0;0;0,69
"evento";0;0;0
"incluir";0;0,077;0
"constituicao_da_republica";0;0;0,001
"superveniente";0;0;0
"pagamento";0;0;0
"possuir";0,036;0,013;0,876
"imunizacao";0;0;0
"sessao";0;0;0
"previsao";0,189;0,077;0,001
"sp";0;0;0,309
"prejudicar";0;0;0
"promover";0;0;0
"partir";0;0;0,231
"membro";0;0;0
"anterior";0;0;0,201
"acercar";0,018;0,29;0,104
"sao_paulo";0,015;0,001;0,608
"mostrar";0;0;0
"momento";0,018;0,057;0,448
"indicar";0,254;0,005;0,12
"ensino";0;0;0
"pena";0,22;0,383;0,021
"luiz_fux";0;0;0
"causar";0,004;0;0,212
"rosa_weber";0;0;0
"fundamental";0,535;0,439;0,132
"especie";0;0;0,078
"disposto";0,022;0,499;0,053
"atendimento";0,017;0,075;0
"politicar";0,038;0;0,037
"juizo";0,343;0,212;0,846
"concessao";0,76;0,001;0
"instituto";0,569;0,861;0,406
"firmar";0;0;0,81
"execucao";0;0;0,777
"sucedaneo";0;0;0
"ficar";0;0;0,735
"evitar";0,11;0;0
"cumprimento";0;0;0,915
"aplicar";0,934;0;0
"ressaltar";0,013;0,09;0,275
"jurisdicional";0;0;0,841
"submeter";0,057;0,001;0,176
"governo";0;0;0
"violar";0,007;0;0,303
"exercer";0,108;0,733;0,136
"controle_de_constitucionalidade";0;0;0,001
"revogar";0;0,493;0
"prova";0;0,779;0
"impossibilidade";0;0;0,001
"estatal";0,047;0;0,022
"enem";0;0;0
"nota";0;0;0
"maneira";0,002;0;0,002
"destinar";0,055;0,036;0
"controle_concentrado";0;0;0
"coletivo";0,644;0;0
"razoar";0;0,905;0
"mero";0;0;0,362
"contrato";0;0;0
"area";0;0;0
"editar";0,108;0,301;0,435
"demanda";0,676;0,002;0,007
"pleito";0;0;0
"diploma";0;0,265;0
"deferir";0,906;0;0
"cientificar";0;0;0
"crianca";0;0;0
"solucao";0,009;0;0
"proc";0,084;0,428;0,005
"organizacao";0;0;0
"secretaria";0;0;0
"regimento_interno";0;0;0
"quadro";0,001;0;0,237
"prejuizo";0,002;0;0,368
"postulado";0;0;0
"peticao";0,098;0;0
"manter";0,001;0;0,02
"so";0,055;0;0
"pretender";0;0;0,753
"configurar";0,005;0;0,642
"levar";0;0;0,001
"busca";0,149;0,49;0,344
"admissibilidade";0;0;0
"tribunal_superior_eleitoral";0;0;0
"territorio";0;0;0
"assegurar";0;0;0
"grave";0;0;0
"cumprir";0,344;0,064;0,003
"controle_concentrado_de_constitucionalidade";0;0;0,544
"essencial";0,555;0;0
"definir";0;0,035;0
"congresso_nacional";0,001;0;0
"causa";0;0,017;0
"preliminar";0;0,048;0
"poder_judiciario";0,091;0;0,023
"representar";0;0,001;0,014
"publico";0;0;0
"fixar";0,91;0;0
"final";0,346;0;0
"exemplo";0,901;0;0
"taxa";0;0;0
"improcedencia";0;0;0
"garantia";0;0;0,001
"envolver";0,586;0,195;0,479
"alegacao";0,001;0,524;0,002
"redacao";0,107;0;0
"doer";0,004;0,004;0,703
"superior";0;0;0,09
"relacionar";0;0;0
"privado";0;0;0
"pag";0;0;0,098
"tratamento";0;0;0
"tecnico";0;0;0
"negativo";0;0;0,235
"executivo";0;0,034;0,007
"embargos_de_declaracao";0;0,139;0
"atribuicao";0;0;0,253
"trazer";0,612;0;0
"passar";0;0,009;0,09
"carta";0,013;0,01;0,844
"agravante";0;0;0
"adolescente";0;0;0
"penal";0,004;0;0,546
"item";0;0;0
"deixar";0;0;0,253
"conteudo";0;0,005;0,162
"ambiental";0;0;0
"providenciar";0;0,016;0,005
"efetivo";0,018;0,791;0,003
"defender";0,181;0,765;0,066
"ultimar";0,936;0,613;0,669
"teor";0,93;0,02;0,023
"revogacao";0;0;0
"marco";0,457;0;0
"tornar";0,449;0,002;0,018
"legalidade";0,042;0,994;0,02
"impor";0,035;0,897;0,023
"candidato";0,034;0;0
"relativo";0;0,002;0,006
"oxigenio";0;0;0
"marco_aurelio";0;0;0,879
"intervencao";0,001;0,942;0
"controle_abstrato_de_constitucionalidade";0;0;0,023
"conselho";0;0;0,091
"visar";0,022;0,064;0,471
"intdo";0,016;0,142;0
"incidental";0,001;0,001;0,668
"garantir";0;0;0
"diretorio";0;0,725;0
"cautelar";0,36;0;0
"caracterizar";0;0;0,953
"autonomia";0;0,002;0
"disposicao";0,917;0,468;0,532
"regime";0;0;0,058
"parametro";0,047;0;0,158
"indicacao";0;0,026;0,002
"tse";0;0;0
"ordenamento";0;0;0,834
"discutir";0;0,277;0
"tomar";0;0,004;0
"previo";0,197;0;0,001
"grupo";0;0;0
"chefe";0,488;0,001;0,006
"atual";0;0,004;0,005
"argumento";0;0,837;0
"virtual";0;0;0
"validade";0,043;0,516;0,1
"linha";0,24;0,819;0,114
"finalidade";0,241;0,129;0,004
"agravar";0;0,803;0
"procurador_geral_da_republica";0;0;0
"detran";0;0;0,116
"conjunto";0,957;0,102;0,106
"organico";0;0,285;0
"efetividade";0;0;0
"assinar";0;0;0
"administracao_publica";0;0;0,019
"requerimento";0,039;0;0,003
"interpor";0;0;0
"autorizacao";0;0;0
"periodo";0;0;0,007
"investigacao";0,604;0;0
"incidencia";0;0,021;0
"idoneo";0;0;0
"apreciacao";0;0,115;0,001
"agdo";0,104;0,284;0,003
"significar";0,082;0;0
"responsavel";0;0;0
"referir";0,226;0,324;0,708
"orientacao";0,28;0,14;0,781
"informar";0;0;0,459
"elemento";0;0,001;0,355
"concluir";0,371;0,007;0,083
"produto";0;0;0
"preservacao";0,072;0,217;0,001
"instauracao";0;0;0,46
"sumular";0;0,111;0
"relevancia";0;0;0,345
"partido_politico";0;0,263;0
"indole";0;0;0
"enfrentamento";0;0,067;0
"edital";0;0;0,001
"ed";0;0;0
"doenca";0;0;0
"campo";0,009;0;0,182
