a;6139;3545;3254
ser;6082;3342;3143
em;5223;2873;3023
o;4759;2939;2772
que;4045;2323;1940
nao;1509;1671;1155
ao;1664;859;968
n;1009;880;947
com;1623;717;798
como;1086;845;477
outro;492;883;180
poder;828;525;292
ter;681;451;342
s;57;19;86
estado;745;228;257
ir;622;326;298
meio;318;835;110
estar;592;369;268
haver;479;475;268
qual;501;287;331
uma;571;232;189
um;588;243;110
sobre;555;259;181
todo;582;179;218
seu;414;192;329
i;390;180;299
contra;387;130;244
qualquer;329;344;92
mesmo;275;270;208
sem;373;116;198
ainda;366;198;157
bem;417;97;142
mais;450;83;104
ver;302;152;193
ja;280;199;154
assim;254;195;182
quando;159;350;96
fazer;293;157;167
tambem;299;159;113
tal;288;178;87
entre;298;137;76
parte;218;139;156
quanto;222;128;130
fim;221;102;129
sob;189;134;100
esse;154;168;67
apenas;175;96;114
essa;144;128;98
segundo;177;72;94
isso;162;100;74
p;110;88;56
este;117;108;105
v;138;101;79
desde;131;144;35
demais;110;143;54
primeiro;134;65;90
inclusive;151;79;52
somente;86;120;67
ele;153;67;43
valor;186;32;14
r;84;25;68
d;108;15;117
ante;43;71;121
porque;102;69;58
dizer;154;41;30
mediante;117;56;43
diante;89;55;57
cada;134;31;23
perante;20;108;58
ela;85;53;46
trabalho;97;31;19
in;42;88;45
cuja;67;65;53
ademais;77;72;34
sempre;78;88;7
iniciar;99;9;33
j;21;80;26
embora;63;37;52
tanto;96;31;25
minha;20;82;35
nosso;42;87;14
especialmente;72;45;20
entao;66;15;38
menos;84;23;28
lhe;53;47;31
antes;61;23;44
cujo;55;35;44
acima;71;35;21
tempo;94;9;17
expressamente;49;21;45
diretamente;30;63;24
sobretudo;97;6;7
muito;73;20;19
m;58;28;21
algum;58;35;17
aqui;58;32;15
dentro;96;5;6
eis;37;31;38
terceiro;46;22;34
t;4;24;52
g;22;59;19
tres;50;24;24
mil;53;2;6
durante;69;5;21
verdadeiro;35;48;13
digitalmente;2;1;94
si;24;51;16
saber;58;21;13
maioria;35;4;43
tampouco;18;51;15
entanto;34;28;22
notadamente;50;20;11
especificamente;48;19;13
tao;28;29;21
ambos;30;18;29
juridicamente;7;64;4
igualmente;22;28;24
nenhum;35;16;22
nada;36;11;22
exclusivamente;31;26;15
parcialmente;30;5;36
lhes;45;19;4
eventualmente;14;48;9
meramente;14;35;19
cinco;43;4;18
excelencia;16;13;36
povo;53;6;2
legitimamente;8;55;2
independentemente;29;7;28
alegadamente;9;51;2
consoante;24;17;20
l;6;1;28
liminarmente;14;26;18
cento;43;0;5
efetivamente;24;17;9
vinte;42;1;5
preliminarmente;6;12;34
