"";"x"
"1";0
"2";0
"3";1
"4";1
"5";3
"6";2
"7";1
"8";2
"9";1
"10";3
"11";2
"12";2
"13";3
"14";3
"15";3
"16";3
"17";3
"18";3
"19";0
"20";3
"21";3
"22";1
"23";3
"24";3
"25";1
"26";3
"27";1
"28";3
"29";3
"30";3
"31";3
"32";1
"33";1
"34";2
"35";3
"36";3
"37";1
"38";1
"39";1
"40";1
"41";1
"42";1
"43";1
"44";1
"45";3
"46";3
"47";2
"48";2
"49";2
"50";1
"51";1
"52";1
"53";1
"54";1
"55";1
"56";1
"57";1
"58";1
"59";1
"60";1
"61";1
"62";1
"63";1
"64";1
"65";1
"66";1
"67";1
"68";1
"69";3
"70";1
"71";2
"72";1
"73";3
"74";2
"75";3
"76";2
"77";2
"78";1
"79";1
"80";1
"81";1
"82";1
"83";1
"84";1
"85";1
"86";1
"87";1
"88";1
"89";1
"90";1
"91";1
"92";1
"93";1
"94";2
"95";1
"96";3
"97";3
"98";0
"99";0
"100";0
"101";0
"102";2
"103";2
"104";3
"105";3
"106";0
"107";3
"108";3
"109";2
"110";3
"111";3
"112";3
"113";2
"114";1
"115";3
"116";3
"117";2
"118";2
"119";2
"120";3
"121";3
"122";3
"123";3
"124";2
"125";2
"126";2
"127";2
"128";2
"129";2
"130";2
"131";3
"132";2
"133";2
"134";2
"135";2
"136";2
"137";2
"138";2
"139";2
"140";2
"141";2
"142";2
"143";2
"144";2
"145";2
"146";3
"147";3
"148";3
"149";3
"150";2
"151";2
"152";2
"153";3
"154";0
"155";0
"156";3
"157";3
"158";2
"159";2
"160";3
"161";3
"162";3
"163";2
"164";3
"165";2
"166";3
"167";3
"168";3
"169";2
"170";2
"171";3
"172";3
"173";3
"174";3
"175";2
"176";2
"177";3
"178";3
"179";3
"180";3
"181";3
"182";3
"183";3
"184";3
"185";3
"186";3
"187";3
"188";3
"189";3
"190";3
"191";3
"192";3
"193";3
"194";3
"195";3
"196";0
"197";0
"198";3
"199";1
"200";3
"201";3
"202";3
"203";3
"204";3
"205";3
"206";3
"207";3
"208";3
"209";3
"210";1
"211";3
"212";3
"213";3
"214";3
"215";3
"216";0
"217";0
"218";3
"219";3
"220";3
"221";3
"222";3
"223";3
"224";3
