"";"";"";"";"preceito_fundamental";""
"1";"preceito_fundamental";"1.61599408924525";"-1.46568817347847";"1.4933038324846";"16"
"2";"instrumento";"1.43131469025927";"-1.62929126543327";"1.45147780717566";"21"
"3";"lesao";"1.57284703678586";"-1.64517203101201";"1.38998345790105";"28"
"4";"cabimento";"1.57525054171755";"-1.17866846993136";"1.23660131688082";"53"
"5";"coronavirus";"-2.50314179962795";"-2.09488558293932";"1.18374639155195";"63"
"6";"sucedaneo";"1.83898605537903";"-1.9716916353794";"1.18093590284181";"64"
"7";"celso_de_mello";"1.69462948244007";"-1.79115349763895";"1.14841497036786";"73"
"8";"tribunal_pleno";"1.56669652743749";"-1.350466609564";"1.12729501929912";"78"
"9";"controle_concentrado";"1.71344818337572";"-1.86074805876755";"1.11336082627089";"83"
"10";"descumprimento";"1.43080687805594";"-0.929493201748444";"1.08418556806124";"98"
"11";"existencia";"1.13319433632643";"-1.07636410116767";"1.08131289588672";"101"
"12";"pressuposto";"1.63032454994217";"-1.41593769334827";"1.06923910978486";"105"
"13";"mecanismo";"1.2442595600906";"-1.84053906468708";"1.06821665052615";"106"
"14";"cessar";"1.78164299479935";"-2.06720549932698";"1.0664795911275";"111"
"15";"cabivel";"1.52964550285994";"-1.34417419385628";"1.02349858442263";"138"
"16";"postulado";"1.42074013930457";"-1.57405969015933";"1.01460736841618";"143"
"17";"controle_abstrato_de_constitucionalidade";"1.65209259262865";"-1.4791395088328";"1.00705156779249";"151"
"18";"aquisicao";"-2.47653279853814";"-1.96390950830703";"0.995073605389851";"163"
"19";"resultante";"1.58346185596369";"-2.11847313011723";"0.992805438041267";"167"
"20";"pais";"-2.51165124780599";"-2.09572515329863";"0.992271271888162";"169"
"21";"epidemiologico";"-2.54118831305723";"-2.09946468327357";"0.988058087325601";"173"
"22";"neutralizar";"1.93416728396917";"-2.35158772156134";"0.987740034196272";"175"
"23";"incabivel";"1.7280121048895";"-1.82622064791956";"0.987558580808385";"176"
"24";"inexistencia";"1.36221691017978";"-1.30460772676598";"0.985280219449245";"177"
"25";"retorno";"-2.34466022588176";"-1.87646362223319";"0.977932376640888";"191"
"26";"aptidao";"1.73134112990081";"-2.07919674095583";"0.977883445390222";"192"
"27";"manaus";"-2.37587132397979";"-2.24851274583277";"0.976260558909797";"195"
"28";"interpretacao";"0.708041703022542";"0.769671643407215";"0.968896405684551";"210"
"29";"medicamento";"-2.47953668887613";"-2.27104740230746";"0.96877305815683";"211"
"30";"prioritario";"-2.45698521558438";"-2.32671813752614";"0.964540504974214";"225"
"31";"saude_publica";"-1.95373797885009";"-1.05441196422883";"0.964288712913495";"226"
"32";"justificativo";"-2.33516707221076";"-1.71441807432044";"0.960928767034423";"238"
"33";"reparar";"1.56172536656978";"-1.66823553452693";"0.958677929503783";"242"
"34";"liberdade_de_expressao";"-0.314446414185788";"1.03512542632434";"0.957449551231853";"244"
"35";"recomendar";"-2.24147643354169";"-1.83746038791446";"0.956919462682971";"245"
"36";"secovid";"-2.6281794721094";"-2.40610237295845";"0.955763461885985";"248"
"37";"imunizantes";"-2.5006495473343";"-2.26311288910744";"0.951859155843253";"254"
"38";"omissivo";"1.49035667978435";"-1.75996803417164";"0.951445279014703";"258"
"39";"acao_direta_de_inconstitucionalidade";"1.39268891192861";"-0.45901708152792";"0.948480860745182";"264"
"40";"representacao";"0.830567100292988";"1.07915180324595";"0.945638770602327";"270"
"41";"gab";"-2.44548481846453";"-2.00214464593249";"0.942596877852585";"277"
"42";"hospital";"-2.62946889957345";"-2.31915236685599";"0.941445974060877";"280"
"43";"independencia";"-0.609309288111676";"1.30665682456686";"0.938505002015634";"285"
"44";"regulamentar";"-0.0663594141128706";"1.06204809724986";"0.937732296015532";"286"
"45";"administracao_publica";"-0.555183282182645";"0.992821212173386";"0.934296914458351";"295"
"46";"administrador";"-0.880709238875633";"1.44170836412486";"0.933108292827587";"297"
"47";"limite";"-0.478969219919686";"1.21171212766824";"0.925991854058838";"308"
"48";"politicar";"-0.056358156674571";"0.794428419303477";"0.925518851969066";"310"
"49";"presidente";"0.217058032845273";"1.3750570050339";"0.923159957926538";"314"
"50";"supremo_tribunal_federal";"0.950437844843156";"-0.232000729048057";"0.921477946184892";"317"
"51";"privativo";"-0.183727324015025";"0.71293541412474";"0.91991826256991";"322"
"52";"termo";"0.28259143851621";"0.659980594395946";"0.918414646012984";"323"
"53";"entrar";"-0.924018551092183";"1.85351490063517";"0.916521618252839";"329"
"54";"advogado_geral_da_uniao";"0.456830396736842";"1.48039872654484";"0.916179099498177";"330"
"55";"manifestar";"0.334141339874582";"1.10415588543291";"0.916142401060177";"331"
"56";"penitenciario";"-0.846274750776467";"1.34266531134435";"0.915187222271133";"332"
"57";"pensamento";"-0.609216294831812";"1.24120162988287";"0.91402816327098";"334"
"58";"republica_federativa_do_brasil";"-0.787453723732892";"1.42445710100723";"0.913962921603425";"335"
"59";"veiculo";"-0.853437393422484";"1.88093267360556";"0.912650952444941";"339"
"60";"prejudicialidade";"0.878196961487655";"1.30286926109589";"0.910928164661072";"343"
"61";"declaracao";"0.37874085141601";"1.3421559666519";"0.90590557566041";"349"
"62";"tributar";"-0.381767802363025";"1.72066675725934";"0.90277397561778";"352"
"63";"beneficiar";"-0.956387175437589";"1.27975130542826";"0.901595547997572";"354"
"64";"estipular";"-1.06844875180771";"1.89656989259323";"0.900004262949869";"356"
"65";"seguranca_publica";"-0.370592901573352";"0.922926381254989";"0.899892128833759";"357"
"66";"prestacao";"-0.426369128283406";"1.25771996480922";"0.898990978300658";"359"
"67";"democratico";"0.118291848212659";"1.34399973825224";"0.895400647783034";"366"
"68";"capitular";"-1.02162652989886";"2.0724940742312";"0.894567797120655";"368"
"69";"concorrente";"-0.688139969857353";"0.798534279436904";"0.894543331495322";"370"
"70";"policial";"-0.543087814203849";"1.2539935208465";"0.894217123157549";"371"
"71";"reajuste";"-1.03222179380797";"0.420638243134105";"0.892870494363176";"373"
"72";"retrocesso";"-0.951544192353104";"0.722487827801571";"0.892178321046462";"374"
"73";"solido";"-0.636158224901288";"2.10936248699737";"0.890964214389309";"376"
"74";"receita";"-1.0669076178893";"2.01596683909582";"0.890036559428765";"378"
"75";"democracia";"-0.437618499076218";"1.34148883278632";"0.885873325517925";"381"
"76";"faculdade";"-0.567744857224007";"1.45988933978511";"0.885324887750043";"382"
"77";"proporcionalidade";"-0.364589880197262";"0.745466086175076";"0.884942612354214";"383"
"78";"convencao";"-1.09227135372119";"0.683542346387476";"0.884628636829107";"385"
"79";"moralidade";"-0.238778898347756";"1.0181258722129";"0.88437174776311";"386"
"80";"inviolabilidade";"-0.942509121975675";"1.31056676060731";"0.884297331486055";"387"
"81";"cidadao";"-0.999590577305815";"0.672488207816349";"0.882368624688967";"392"
"82";"policia_federal";"-0.885690062728602";"1.19680876005934";"0.88223304434858";"393"
"83";"tratado";"-0.683515632048341";"0.682666899854061";"0.880570401226988";"395"
