"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"dar";-0,0432929513344382;0,00948536717370648;-0,010747919746918;-0,00786570239675482;-0,935500603620629;0,204965622417778;-0,232247631565596;-0,169966914087722;0,935083465197734;0,0258919803806937;0,0269850778992609;0,0120394765209599;8,56441560707753e-05;4,11122874807896e-06;5,27852007663706e-06;2,82708176274236e-06;0,0456944387914309;0,0261767814358671;3,13109209328424e-05
"por";-0,0250214874722399;0,241990932916841;0,159633339664034;-0,0597796595523853;-0,0842316315923661;0,814631469562255;0,537385184288417;-0,201240564363731;0,0131169652904241;0,70769527086969;0,24998455407834;0,0292032097613644;1,32380592189563e-05;0,00123821556569066;0,000538821939322972;7,55622613120365e-05;0,021144531726973;0,127738167540648;0,000345016158269809
"parar";-0,232836098356122;-0,178128642909346;-0,0804494153230426;-0,148716684803266;-0,687999882809827;-0,526346585911518;-0,237717384482693;-0,439438138840566;0,644069653295014;0,217440637851494;0,0360028474194306;0,102486861434056;0,000776336721077024;0,000454377712697537;9,26819765212583e-05;0,000316715190466056;0,0143202138195829;0,169632138498972;0,000412065046407879
"art";0,378136743448496;0,504363980355054;-0,152219419916414;0,00639742747975199;0,583073746048518;0,777711768276276;-0,234717067118565;0,00986461133523986;0,475695407197924;0,488157886791404;0,0360935981836179;5,31078272276237e-05;0,00127793761252416;0,00227352649690914;0,000207086609793447;3,65782257706654e-07;0,00893741435684535;0,320559493287737;0,000918394298783381
"lei";0,536767663393438;0,0419024717619332;-0,246306045909183;-0,253704494378467;0,833317400838569;0,0650524635493392;-0,382383530129722;-0,393869422945405;0,840871406050211;0,0029558144215087;0,0829021692922704;0,0732706102360136;0,00249490939109842;1,52041229388195e-05;0,000525330036651424;0,000557363352884999;0,00865928609223005;0,342251842507005;0,00101431693870551
"adpf";1,42489253563067;-1,331668622768;-0,399360382207584;-0,269923219924208;0,709261096076816;-0,662857530218931;-0,198787470164434;-0,13435822985436;0,643256130075092;0,32408059607258;0,0236596613704864;0,00900361248183816;0,0114039637696793;0,00996056421829733;0,0008958216717418;0,000409234366978177;0,00561683422198706;1,03875801311052;0,00606066640695923
"arguicao_de_descumprimento_de_preceito_fundamental";1,29567571838682;-0,509383097847608;0,31529983820488;-0,177140682686372;0,900765880003406;-0,354127894719547;0,219199397036751;-0,123149859691016;0,889543955030183;0,0793057757784484;0,0246650002205031;0,00648526897085817;0,0104657274497172;0,00161758027054843;0,000619761046754648;0,000195620069492204;0,00623414329710882;0,80322433190886;0,0040220780377266
"acao";0,868022709173049;-0,424239549557219;0,213747561333051;-0,00209474760089128;0,877222563370447;-0,428735908879908;0,216012993306815;-0,00211694906210294;0,857501139735434;0,118150570146334;0,0243463422816043;1,94783662005903e-06;0,00435474810358163;0,00104021513891525;0,000264060353965052;2,53608769841852e-08;0,00577964101103016;0,548072456124566;0,00173610831686527
"decisao";0,70274705409845;0,190111703702278;0,955585125683939;0,0737132970142199;0,583887154573979;0,157956950624774;0,793961179537933;0,0612457170711523;0,522938716198595;0,0220755443264526;0,452741542390652;0,00224419708430206;0,00236852923999853;0,000173339839760132;0,00437944871740046;2,6059876679227e-05;0,00479601666056141;0,568195615250393;0,00154837602828204
"constitucional";1,0573985514043;-0,936701513694226;-0,731507428116839;0,269589355940493;0,655357121699283;-0,58055120946661;-0,453375505343392;0,167086766021463;0,587511036989562;0,265939002819316;0,131654268265939;0,0148956919251805;0,00582505340687556;0,00457114432402226;0,00278778945117564;0,000378641290531176;0,0052098172493793;0,806593910063413;0,00338947446685569
"ato";0,806296813358378;-0,365194636925491;-0,3146961896144;-0,132046342992102;0,849934319686492;-0,384959298047556;-0,331727829499634;-0,139192809445221;0,833250573953113;0,0985996790419893;0,0594329871298406;0,00871675987505518;0,00326790455765951;0,000670391129904918;0,000497808658557168;8,7646026787908e-05;0,00502665961170581;0,516453678476525;0,00134073277904977
