"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"dar";1,676;0,15;0,795;-14,64;1,45
"por";8,102;-6,918;-74,721;-17,996;143,668
"parar";7,596;-3,973;-0,24;88,356;-72,127
"art";16,798;2,288;7,062;-342,637;88,841
"lei";2,656;-33,283;223,482;-263,721;8,708
"adpf";-248,985;-207,229;2036,812;-269,899;-36,215
"arguicao_de_descumprimento_de_preceito_fundamental";-234,698;-231,5;893,897;-371,932;136,014
"acao";-144,826;-75,071;411,154;-142,039;47,637
"decisao";-126,218;-77,246;19,365;-91,667;391,932
"constitucional";-141,126;-0,865;1114,886;-240,781;-77,192
"ato";-21,452;-27,614;409,44;-176,669;-0,084
"ministro";-125,503;-81,716;1,225;-113,943;583,584
"min";-80,606;-64,11;451,679;-90,75;0,839
"relator";-123,825;-93,53;15,222;-102,794;457,076
"saude";-38,321;82,723;-365,062;1623,271;-367,911
"sua";6,969;51,504;-31,751;-1,616;-0,937
"subsidiariedade";-180,346;-172,581;2158,168;-265,715;-104,937
"presente";-56,274;-75,333;29,017;-123,036;294,331
"rel";-65,714;-50,406;542,142;-77,738;-9,493
"caso";-10,916;-9,63;123,808;-0,954;-25,138
"direito";-3,935;628,667;-19,723;-35,628;-65,505
"dever";-0,786;13,682;-1,624;15,962;-19,755
"processo";-10,85;-26,807;37,553;-92,749;83,346
"principiar";-37,478;2,734;500,523;-164,619;-47,992
"arguicao";-97,574;-84,788;192,107;-144,363;143,416
"supremo_tribunal_federal";-112,685;-45,066;119,204;-74,796;110,798
"pedido";-35,192;-39,039;-105,877;-38,593;626,773
"nacional";19,103;-0,401;-97,352;260,358;-58,119
"processual";-131,245;-97,919;1208,455;-175,425;-31,125
"objeto";-48,37;-55,514;13,511;-106,478;281,1
"publicar";6,387;36,537;-163,347;0,16;30,138
"artigo";59,766;-0,153;-60,332;-116,432;129,223
"impugnar";-7,943;-40,896;124,653;-118,796;34,769
"norma";-2,347;-16,463;77,455;-88,136;16,442
"constituicao";-24,3;5,297;121,577;-99,595;0,036
"dje";-63,38;-67,38;492,885;-91,543;-0,383
"plenario";-53,209;-54,069;0,419;-24,063;228,502
"prever";68,071;0,177;0,171;-26,303;-7,167
"juridico";-1,232;-0,083;137,186;-108,073;-1,272
"requisito";-51,746;-78,987;723,222;-136,462;-11,626
"judicial";-20,339;-35,403;313,663;-117,974;0,211
"precedente";-84,533;-65,763;671,939;-128,896;-3,153
"julgar";-64,403;-42,619;24,363;-110,052;250,294
"adir";-43,5;-7,609;28,841;-11,472;25,731
"forma";-0,285;2,091;62,784;-4,944;-41,725
"medida";-1,01;15,842;-17,833;181,32;-101,696
"df";-40,081;-12,403;29,065;-0,178;7,853
"agravo_regimental";-105,582;-91,79;614,266;-140,678;3,127
"sentido";-18,265;-15,294;92,239;-33,26;4,435
"termo";0,504;-18,989;-11,983;-26,987;116,199
"agr";-71,694;-57,961;763,749;-94,922;-34,011
"ii";85,689;10,479;-29,401;-2,228;-9,982
"efeito";-12,234;-38,683;0,151;-31,438;147,139
"federal";12,588;33,917;-1,57;-14,642;-7,057
"situacao";-30,538;-11,476;283,351;1,525;-111,923
"sanar";-85,845;-89,319;1350,023;-133,66;-122,605
"julgamento";-48,648;-48,746;0,005;-68,802;329,335
"objectivo";-32,867;-5,865;439,773;-73,517;-42,3
"controversia";-74,729;-81,524;1069,213;-113,898;-76,111
"brasileiro";-3,111;9,299;-29,141;86,408;-15,412
"estadual";-6,176;-30,731;127,18;-8,846;-4,654
"covid";-85,001;-62,163;-170,566;1967,548;-175,5
"decreto";352,535;-4,52;-7,626;-85,049;-5,178
"ministerio";8,5;-0,077;-122,694;509,291;-127,074
"auto";-49,996;-33,554;-10,343;-11,622;262,019
"municipal";-0,121;-37,576;103,932;-42,493;0,657
"atar";71,569;-15,868;-63,163;4,437;5,278
"municipio";87,421;-1,261;-55,518;-5,347;8,004
"recurso";-20,892;-40,496;10,644;-52,078;137,02
"vacinacao";-63,176;-4,59;-151,281;1358,219;-162,705
"tratar";-0,718;-0,043;-17,098;-15,093;69,07
"proprio";-2,875;1,513;29,529;-22,401;-0,522
"tribunal";-32,305;-29,575;7,514;-77,734;190,389
"administrativo";2,677;205,362;-14,4;-18,484;-22,967
"normativo";-1,556;-8,346;43,158;-57,062;12,146
"inciso";24,306;9,472;-58,762;-85,525;89,069
"conhecimento";-51,485;-23,236;4,394;-47,577;180,25
"sistema";2,356;6,887;22,714;2,932;-88,372
"ausencia";-35,98;-25,889;151,859;-5,607;-1,691
"prazo";237,223;-27,23;-102,315;3,691;0,004
"lesividade";-86,796;-78,937;1376,517;-121,473;-151,213
"controlo";-5,389;-0,068;177,167;-25,463;-42,236
"competencia";-2,393;166,276;-23,864;-4,052;-4,597
"uniao";134,321;38,064;-106,158;17,514;-56,525
"corte";-54,074;-21,918;72,762;-49,183;52,964
"iii";36,227;78,089;-33,773;-1,229;-23,787
"tribunal_pleno";-40,041;-35,078;321,104;-49,575;-2,964
"jurisprudencia";-64,618;-47,626;164,76;-79,965;49,407
"merito";-23,149;-16,066;-38,904;-76,266;428,771
"constituicao_federal";-6,168;4,174;0,512;-49,175;34,837
"considerar";0,336;-4,311;-0,267;13,944;-2,774
"preceito_fundamental";-71,275;-40,32;680,147;-107,69;-22,471
"estabelecer";83,547;5,35;-11,4;0,095;-35,428
"dj";-17,065;-20,165;204,307;-28,303;-6,439
"analisar";0,007;-0,322;-0,058;3,919;-1,326
"cf";-6,944;291,329;-10,787;-38,84;-5,381
"ordem";-18,897;-0,188;37,123;-13,06;1,019
"eficaz";-79,58;-67,547;1108,376;-58,607;-153,373
"lesao";-54,44;-42,149;578,793;-65,122;-30,694
"informacao";3,233;94,898;-108,067;8,997;-2
"adv";-4,71;-4,413;-4,927;-1,34;42,501
"seguinte";14,471;-17,438;-26,351;1,965;15,899
"novo";17,298;-1,19;-54,673;32,148;-0,058
"via";-21,815;-40,189;331,018;-56,479;-6,521
"eleitoral";-40,803;-13,471;-57,297;-71,254;516,676
"necessario";-0,222;-4,552;6,005;28,245;-25,947
"geral";1,235;-0,064;111,279;-26,463;-41,249
"documento";-19,448;-37,914;-55,894;108,07;39,613
"social";16,112;155,911;-92,455;13,131;-43,374
"preceitos_fundamentais";-10,842;1,713;26,458;-41,963;5,315
"dia";88,023;-18,265;-118,73;75,786;-1,383
"questao";-17,856;-6,557;33,802;-23,169;15,1
"concreto";-40,774;-23,861;278,934;-47,927;-1,931
"caput";0,502;45,549;-10,373;-28,124;4,406
"portaria";272,516;0,321;-73,26;-6,59;-7,833
"doc";0,203;-0,035;-69,041;-24,955;152,126
"unico";22,226;-2,643;13,097;-16,041;-5,98
"instrumento";-42,43;-18,553;639,117;-72,636;-75,589
"relacao";4,497;-0,035;-9,271;4,071;-0,116
"especial";25,021;-1,773;-1,037;-9,679;0,703
"plano";-5,279;-13,704;-45,982;571,638;-98,375
"eletronico";-12,117;-12,891;-29,917;194,065;-2,269
"provimento";-41,764;-40,013;123,778;-80,84;49,831
"requerente";-0,533;-4,828;-12,558;-3,761;55,442
"modo";-10,05;1,188;39,788;-16,503;-0,813
"pessoa";9,4;26,563;-75,172;164,687;-86,266
"orgao";21,883;11,888;-4,018;-11,844;-1,759
"ambito";0,359;15,389;0,256;-15,536;-0,238
"autoridade";-14,443;160,188;-52,227;31,307;-21,573
"ano";15,727;-26,491;-106,245;369,879;-37,796
"medida_cautelar";-2,362;-7,824;-82,857;-3,009;190,178
"inconstitucionalidade";-0,449;-16,602;1,343;-59,538;87,822
"determinar";13,396;1,772;-93,901;13,182;5,476
"cabimento";-47,99;-56,991;428,33;-84,119;-0,675
"c";-1,157;-8,004;-6,996;-1,562;45,085
"referido";6,638;-6,886;-0,429;0,258;0,032
"acao_direta_de_inconstitucionalidade";-45,444;-39,92;145,693;-71,296;34,395
"protecao";-20,375;312,269;-6,11;6,303;-97,007
"parecer";-0,707;-1,39;-4,542;0,012;12,619
"poder_publico";-24,877;-6,856;194,88;-28,177;-8,925
"hipotese";-4,227;-16,085;5,692;-19,232;39,209
"fundamento";-14,836;-9,217;10,337;-31,257;51,622
"negar";-49,357;-45,77;149,006;-62,34;33,794
"ajuizamento";-53,035;-44,941;478,2;-69,762;-9,382
"violacao";-1,392;16,518;-0,084;-36,464;11,835
"questionar";-11,031;-27,382;64,642;-19,15;7,113
