dar;1940;1832;3422;2595;3683
por;954;795;1364;1109;2012
parar;659;537;1060;1017;949
art;445;382;722;173;913
lei;393;257;944;202;757
adpf;27;37;1169;73;350
arguicao_de_descumprimento_de_preceito_fundamental;50;42;985;52;709
acao;82;117;773;148;584
decisao;63;85;427;139;700
constitucional;67;197;926;71;275
ato;154;136;696;96;400
ministro;38;56;308;86;664
min;4;9;337;16;150
relator;13;23;267;53;506
saude;90;250;16;722;30
sua;186;226;199;195;284
subsidiariedade;9;7;926;9;157
presente;70;51;342;68;528
rel;3;8;311;11;87
caso;110;105;405;184;208
direito;106;365;167;102;136
dever;123;162;217;224;193
processo;96;71;306;64;364
principiar;65;136;503;25;152
arguicao;27;29;396;34;393
supremo_tribunal_federal;14;47;338;63;352
pedido;59;51;82;89;529
nacional;142;91;69;303;106
processual;6;17;626;13;154
objeto;44;35;236;38;408
publicar;136;162;47;155;279
artigo;158;83;78;18;298
impugnar;82;44;321;31;276
norma;90;62;284;43;245
constituicao;58;118;307;36;198
dje;7;3;319;9;119
plenario;15;12;131;53;281
prever;181;103;190;88;168
juridico;91;93;310;30;179
requisito;36;17;481;17;153
judicial;58;41;370;23;192
precedente;10;16;428;10;148
julgar;15;24;191;12;315
adir;6;28;126;40;131
forma;92;104;258;108;111
medida;87;125;123;263;69
df;5;20;116;55;103
agravo_regimental;0;3;411;4;183
sentido;53;52;260;65;193
termo;98;50;125;73;293
agr;0;4;346;3;61
ii;173;115;105;110;141
efeito;60;33;163;67;303
federal;109;122;129;73;125
situacao;41;55;332;130;53
sanar;4;0;504;1;36
julgamento;22;19;138;30;332
objectivo;34;57;354;30;86
controversia;12;6;483;13;67
brasileiro;51;82;64;162;85
estadual;55;28;241;74;120
covid;7;15;13;524;19
decreto;207;48;93;13;106
ministerio;92;64;19;287;24
auto;19;26;100;70;302
municipal;74;25;236;45;154
atar;137;38;51;115;159
municipio;143;59;55;76;163
recurso;39;22;164;37;259
vacinacao;8;48;5;400;7
tratar;67;68;90;65;222
proprio;65;84;193;63;142
tribunal;27;26;150;19;267
administrativo;84;175;90;59;89
normativo;62;46;189;31;170
inciso;96;79;40;8;201
conhecimento;16;31;145;36;265
sistema;84;88;173;112;45
ausencia;25;29;242;75;122
prazo;175;23;21;101;121
lesividade;0;1;480;1;16
controlo;54;66;254;53;73
competencia;56;158;74;74;108
uniao;153;108;23;125;56
corte;12;29;196;31;195
iii;115;131;68;84;85
tribunal_pleno;2;3;191;6;59
jurisprudencia;7;13;236;15;193
merito;33;36;64;19;331
constituicao_federal;50;80;128;33;187
considerar;71;48;113;121;111
preceito_fundamental;4;17;358;3;82
estabelecer;132;78;84;90;68
dj;2;0;102;1;22
analisar;63;55;108;100;108
cf;33;155;62;22;76
ordem;32;57;167;56;130
eficaz;0;3;421;25;9
lesao;4;8;292;11;54
informacao;78;131;20;112;110
adv;0;0;2;3;23
seguinte;92;31;67;98;159
novo;96;54;48;135;122
via;27;13;265;21;91
eleitoral;12;28;34;10;301
necessario;59;44;132;127;72
geral;69;56;201;41;58
documento;31;16;44;169;177
social;84;137;18;104;50
preceitos_fundamentais;33;61;141;25;125
dia;119;24;6;141;95
questao;32;41;162;45;154
concreto;13;21;243;23;96
caput;57;93;66;31;117
portaria;159;52;21;50;74
doc;55;48;24;33;202
unico;91;44;134;47;89
instrumento;14;27;327;13;36
relacao;66;48;67;85;96
especial;93;46;94;54;118
plano;40;28;41;258;20
eletronico;29;26;47;173;86
provimento;10;9;185;4;160
requerente;53;40;72;63;176
