"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1945";"13531";"14.37";"****";""
"114";" 162";" 70.37";"417.70";"empresa";"7.721655e-93"
" 82";"  95";" 86.32";"402.30";"vistoria";"1.740624e-89"
" 84";" 105";" 80.00";"370.28";"detran";"1.629516e-82"
" 98";" 138";" 71.01";"363.40";"contrato";"5.118158e-81"
"207";" 467";" 44.33";"352.54";"decreto";"1.188782e-78"
"102";" 174";" 58.62";"280.37";"financeiro";"6.238776e-63"
" 91";" 147";" 61.90";"272.78";"pagamento";"2.814158e-61"
"159";" 356";" 44.66";"272.52";"portaria";"3.210381e-61"
" 56";"  67";" 83.58";"262.03";"dividir";"6.204348e-59"
"175";" 441";" 39.68";"237.22";"prazo";"1.586096e-53"
" 52";"  64";" 81.25";"233.66";"creditar";"9.496718e-53"
" 45";"  51";" 88.24";"226.91";"assentimento";"2.819122e-51"
" 43";"  48";" 89.58";"221.38";"cheque";"4.532037e-50"
"120";" 258";" 46.51";"220.70";"servico";"6.360801e-50"
" 34";"  35";" 97.14";"195.31";"abono";"2.202348e-44"
" 36";"  39";" 92.31";"193.01";"habilitar";"7.017879e-44"
" 34";"  36";" 94.44";"188.02";"jurar";"8.596473e-43"
" 39";"  46";" 84.78";"185.90";"imovel";"2.490740e-42"
" 42";"  55";" 76.36";"172.41";"calcular";"2.198336e-39"
" 65";" 114";" 57.02";"169.86";"ambiental";"7.949062e-39"
" 43";"  58";" 74.14";"169.03";"cobranca";"1.203003e-38"
" 79";" 158";" 50.00";"164.85";"ms";"9.864117e-38"
" 68";" 125";" 54.40";"164.22";"autorizacao";"1.355028e-37"
" 39";"  51";" 76.47";"160.38";"previdencia";"9.352000e-37"
" 28";"  29";" 96.55";"159.46";"residencial";"1.487788e-36"
" 57";"  96";" 59.38";"159.08";"identificacao";"1.800400e-36"
" 37";"  47";" 78.72";"158.67";"banco";"2.207417e-36"
" 36";"  45";" 80.00";"157.98";"habilitacao";"3.120225e-36"
" 28";"  30";" 93.33";"152.30";"exercitar";"5.453550e-35"
" 30";"  34";" 88.24";"151.08";"mineracao";"1.006641e-34"
" 26";"  27";" 96.30";"147.52";"refinanciamento";"6.053751e-34"
" 31";"  37";" 83.78";"145.22";"residuo";"1.920056e-33"
" 50";"  83";" 60.24";"142.74";"economia";"6.695995e-33"
" 54";"  94";" 57.45";"142.68";"vigor";"6.908615e-33"
" 32";"  40";" 80.00";"140.38";"urbano";"2.200693e-32"
" 27";"  30";" 90.00";"139.71";"aditivo";"3.079543e-32"
" 86";" 200";" 43.00";"135.15";"regulamentar";"3.062894e-31"
"153";" 465";" 32.90";"134.32";"uniao";"4.648819e-31"
" 35";"  48";" 72.92";"134.13";"inss";"5.113761e-31"
" 35";"  48";" 72.92";"134.13";"previdenciario";"5.113761e-31"
" 26";"  29";" 89.66";"133.81";"salarial";"5.997317e-31"
" 27";"  31";" 87.10";"133.51";"tarifa";"7.007281e-31"
" 28";"  33";" 84.85";"133.49";"cedula";"7.073356e-31"
" 22";"  22";"100.00";"131.26";"cobrar";"2.168497e-30"
" 26";"  30";" 86.67";"127.67";"tributo";"1.328083e-29"
" 40";"  62";" 64.52";"127.23";"anual";"1.653964e-29"
" 41";"  65";" 63.08";"125.87";"terra";"3.286843e-29"
" 30";"  39";" 76.92";"124.33";"contratual";"7.148917e-29"
" 77";" 177";" 43.50";"123.63";"limite";"1.013876e-28"
" 24";"  27";" 88.89";"122.04";"celebracao";"2.256817e-28"
" 31";"  42";" 73.81";"120.92";"monetario";"3.981749e-28"
" 53";" 101";" 52.48";"120.02";"policiar";"6.264726e-28"
" 86";" 213";" 40.38";"118.87";"veicular";"1.119583e-27"
" 29";"  38";" 76.32";"118.79";"mercado";"1.165274e-27"
" 21";"  22";" 95.45";"117.70";"mineral";"2.020146e-27"
" 24";"  28";" 85.71";"116.02";"anm";"4.707633e-27"
" 65";" 142";" 45.77";"114.96";"area";"8.034210e-27"
" 29";"  39";" 74.36";"114.34";"entrar";"1.096912e-26"
" 61";" 130";" 46.92";"112.98";"redacao";"2.177389e-26"
" 32";"  47";" 68.09";"110.54";"veiculo";"7.445264e-26"
" 28";"  38";" 73.68";"108.91";"patrimonio";"1.698900e-25"
" 19";"  20";" 95.00";"105.79";"cliente";"8.217639e-25"
" 17";"  17";"100.00";"101.39";"conservacao";"7.542235e-24"
" 28";"  40";" 70.00";"100.86";"tributar";"9.891871e-24"
" 30";"  45";" 66.67";"100.31";"despesa";"1.303685e-23"
" 48";"  96";" 50.00";" 99.70";"beneficiar";"1.773347e-23"
" 23";"  29";" 79.31";" 99.57";"igp";"1.898279e-23"
" 26";"  36";" 72.22";" 98.14";"estipular";"3.900849e-23"
" 45";"  88";" 51.14";" 97.26";"julho";"6.089133e-23"
" 42";"  79";" 53.16";" 97.14";"prestacao";"6.443603e-23"
" 25";"  34";" 73.53";" 96.91";"pensao";"7.261083e-23"
" 26";"  37";" 70.27";" 94.18";"orcamento";"2.881495e-22"
" 20";"  24";" 83.33";" 92.89";"cmn";"5.527711e-22"
" 25";"  35";" 71.43";" 92.81";"capitular";"5.769071e-22"
" 19";"  22";" 86.36";" 92.78";"liquidacao";"5.833687e-22"
" 43";"  85";" 50.59";" 91.14";"reajuste";"1.338241e-21"
" 22";"  29";" 75.86";" 89.27";"solido";"3.441934e-21"
" 41";"  80";" 51.25";" 88.91";"pesquisa";"4.132083e-21"
" 21";"  27";" 77.78";" 88.36";"receita";"5.452393e-21"
"119";" 385";" 30.91";" 88.02";"dia";"6.469994e-21"
" 16";"  17";" 94.12";" 87.94";"segurado";"6.745010e-21"
" 16";"  17";" 94.12";" 87.94";"misto";"6.745010e-21"
"102";" 311";" 32.80";" 87.78";"atividade";"7.321519e-21"
" 20";"  25";" 80.00";" 87.64";"conciliacao";"7.856840e-21"
"143";" 496";" 28.83";" 87.42";"municipio";"8.769225e-21"
" 19";"  23";" 82.61";" 87.15";"terreno";"1.004790e-20"
"173";" 644";" 26.86";" 85.69";"ii";"2.106297e-20"
" 50";" 111";" 45.05";" 85.54";"secretaria";"2.274328e-20"
" 27";"  42";" 64.29";" 85.27";"comite";"2.600798e-20"
" 57";" 136";" 41.91";" 84.64";"taxa";"3.578843e-20"
" 59";" 144";" 40.97";" 83.66";"militar";"5.881900e-20"
"132";" 452";" 29.20";" 83.55";"estabelecer";"6.220969e-20"
" 14";"  14";"100.00";" 83.48";"desconto";"6.430697e-20"
" 20";"  26";" 76.92";" 82.80";"preco";"9.060420e-20"
" 27";"  43";" 62.79";" 82.16";"expedir";"1.257426e-19"
" 19";"  24";" 79.17";" 82.00";"afim";"1.358088e-19"
" 17";"  20";" 85.00";" 81.17";"gerador";"2.069593e-19"
" 28";"  46";" 60.87";" 81.07";"custo";"2.178858e-19"
