"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"dar";0,195;0,698;0,373;0;0,229
"por";0,004;0,009;0;0;0
"parar";0,006;0,046;0,624;0;0
"art";0;0,13;0,008;0;0
"lei";0,103;0;0;0;0,003
"adpf";0;0;0;0;0
"arguicao_de_descumprimento_de_preceito_fundamental";0;0;0;0;0
"acao";0;0;0;0;0
"decisao";0;0;0;0;0
"constitucional";0;0,352;0;0;0
"ato";0;0;0;0;0,772
"ministro";0;0;0,268;0;0
"min";0;0;0;0;0,36
"relator";0;0;0;0;0
"saude";0;0;0;0;0
"sua";0,008;0;0;0,204;0,333
"subsidiariedade";0;0;0;0;0
"presente";0;0;0;0;0
"rel";0;0;0;0;0,002
"caso";0,001;0,002;0;0,329;0
"direito";0,047;0;0;0;0
"dever";0,375;0;0,203;0;0
"processo";0,001;0;0;0;0
"principiar";0;0,098;0;0;0
"arguicao";0;0;0;0;0
"supremo_tribunal_federal";0;0;0;0;0
"pedido";0;0;0;0;0
"nacional";0;0,527;0;0;0
"processual";0;0;0;0;0
"objeto";0;0;0;0;0
"publicar";0,011;0;0;0,689;0
"artigo";0;0,695;0;0;0
"impugnar";0,005;0;0;0;0
"norma";0,125;0;0;0;0
"constituicao";0;0,021;0;0;0,849
"dje";0;0;0;0;0,536
"plenario";0;0;0,517;0;0
"prever";0;0,674;0,679;0;0,007
"juridico";0,267;0,774;0;0;0,259
"requisito";0;0;0;0;0,001
"judicial";0;0;0;0;0,646
"precedente";0;0;0;0;0,076
"julgar";0;0;0;0;0
"adir";0;0,006;0;0,001;0
"forma";0,593;0,148;0;0,026;0
"medida";0,315;0;0;0;0
"df";0;0;0;0,673;0,005
"agravo_regimental";0;0;0;0;0,077
"sentido";0;0;0;0;0,035
"termo";0,478;0;0,001;0;0
"agr";0;0;0;0;0
"ii";0;0,001;0;0,136;0,002
"efeito";0;0;0,698;0;0
"federal";0;0;0,21;0;0,008
"situacao";0;0,001;0;0,217;0
"sanar";0;0;0;0;0
"julgamento";0;0;0,944;0;0
"objectivo";0;0,015;0;0;0
"controversia";0;0;0;0;0
"brasileiro";0,078;0,002;0;0;0
"estadual";0,013;0;0;0,003;0,031
"covid";0;0;0;0;0
"decreto";0;0,034;0,006;0;0,023
"ministerio";0,004;0,782;0;0;0
"auto";0;0;0,001;0,001;0
"municipal";0,728;0;0;0;0,418
"atar";0;0;0;0,035;0,022
"municipio";0;0,261;0;0,021;0,005
"recurso";0;0;0,001;0;0
"vacinacao";0;0,032;0;0;0
"tratar";0,397;0,835;0;0;0
"proprio";0,09;0,219;0;0;0,47
"tribunal";0;0;0,006;0;0
"administrativo";0,102;0;0;0;0
"normativo";0,212;0,004;0;0;0
"inciso";0;0,002;0;0;0
"conhecimento";0;0;0,036;0;0
"sistema";0,125;0,009;0;0,087;0
"ausencia";0;0;0;0,018;0,193
"prazo";0;0;0;0,055;0,95
"lesividade";0;0;0;0;0
"controlo";0,02;0,795;0;0;0
"competencia";0,122;0;0;0,044;0,032
"uniao";0;0;0;0;0
