a;1750;1694;3125;2375;3254
ser;1708;1700;2915;2321;3143
em;1502;1319;2494;2100;3023
o;1376;1288;2550;1836;2772
que;1097;1113;2053;1652;1940
nao;419;428;1497;568;1155
ao;508;508;764;542;968
n;534;146;718;247;947
com;431;421;633;703;798
como;226;374;728;438;477
outro;92;136;791;238;180
poder;172;315;484;311;292
ter;177;177;388;308;342
s;26;4;13;17;86
estado;209;214;197;267;257
ir;172;129;285;292;298
meio;83;87;783;136;110
estar;161;122;324;296;268
haver;130;143;449;185;268
qual;157;131;249;188;331
uma;122;162;216;265;189
um;136;182;224;257;110
sobre;171;175;247;164;181
todo;128;171;153;261;218
seu;134;115;174;130;329
i;160;85;168;116;299
contra;25;104;113;240;244
qualquer;74;120;308;102;92
mesmo;60;84;227;120;208
sem;90;104;110;164;198
ainda;78;87;155;190;157
bem;98;148;84;158;142
mais;80;96;79;254;104
ver;78;88;133;125;193
ja;66;71;165;135;154
assim;72;74;170;100;182
quando;40;66;337;47;96
fazer;63;86;149;129;167
tambem;77;90;134;127;113
tal;45;91;130;132;87
entre;76;86;96;124;76
parte;69;65;133;68;156
quanto;53;59;115;102;130
fim;66;79;93;66;129
sob;37;91;122;56;100
esse;40;47;139;67;67
apenas;57;51;91;55;114
essa;28;56;114;58;98
segundo;48;45;53;82;94
isso;24;52;93;84;74
p;25;53;36;31;56
este;29;37;98;48;105
v;43;55;82;38;79
desde;29;37;121;60;35
demais;33;25;112;49;54
primeiro;29;41;47;57;90
inclusive;40;55;63;54;52
somente;30;19;108;34;67
ele;29;69;62;48;43
valor;99;46;30;26;14
r;39;10;25;29;68
d;31;25;15;44;117
ante;9;20;64;14;121
porque;24;38;64;39;58
dizer;32;58;40;62;30
mediante;41;39;51;31;43
diante;20;24;40;38;57
cada;39;30;30;65;23
perante;6;5;103;3;58
ela;20;31;48;33;46
trabalho;43;34;28;20;19
in;17;14;53;9;45
cuja;26;16;48;23;53
ademais;17;17;59;42;34
sempre;10;26;78;41;7
iniciar;18;8;6;57;33
j;7;7;54;6;26
embora;11;19;32;30;52
tanto;18;32;27;44;25
minha;0;2;46;17;35
nosso;9;17;58;16;14
especialmente;14;24;42;28;20
entao;9;20;14;36;38
menos;17;20;22;45;28
lhe;10;23;46;16;31
antes;17;12;19;26;44
cujo;18;17;32;17;44
acima;20;18;34;31;21
tempo;29;28;8;31;17
expressamente;14;16;20;17;45
diretamente;11;12;53;4;24
sobretudo;11;30;6;55;7
muito;11;17;20;43;19
m;29;5;23;19;21
algum;15;14;31;26;17
aqui;9;25;32;22;15
dentro;25;25;5;35;6
eis;17;7;30;11;38
terceiro;23;11;9;11;34
t;0;1;23;2;52
g;5;7;30;10;19
