"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,2385171115012;-1,08766019914358;0,0547574087682997;-0,10549813959206;1,44186067040965;-0,153134426179531;0,130190823951254;-0,593682258745511;0,029888472655534;-0,0575845046603527;0,787017030023842;-0,0835860244748746;0,00170270010605884;0,0239699803048921;5,28013626971685e-05;0,000191337997582615;0,0337291163021625;0,000364468460556834;0,000260512207840595;0,0054172074897508;1,37301339267311e-05;5,09657710822764e-05;0,0095199701897727;0,000107382786148358;0,00457919351415014;2,16064523181484;0,0213774512166433
"classe 2";-0,895822948227775;0,0548830695422072;-0,952894098324535;-1,93908938203811;-0,771029897596269;-0,0597412821842499;-0,363554154250236;0,0222733386876809;-0,386715487353572;-0,786945681283478;-0,312909066324772;-0,0242449597448773;0,0237296758009287;6,02984775616894e-05;0,0157978136314022;0,0638639294041338;0,00952904035090336;5,48039318159961e-05;0,00934016651545053;3,50579920036598e-05;0,0105681635613717;0,0437628813600162;0,00691914909718973;4,15393149850498e-05;0,0116388548421334;2,17374844784319;0,0549957110610893
"classe 3";0,932793371698727;-0,385367290246722;-0,543495481608158;0,336473564740901;0,119603590781796;0,292531462023698;0,754836205756944;-0,311847395166335;-0,439808085724313;0,272281554149557;0,0967857656366324;0,236722671449061;0,0235289758344749;0,00271871662397785;0,00469985295871464;0,00175851696041736;0,000209691027891508;0,00120169010532297;0,00687397294907875;0,00117323933318306;0,00233361276509499;0,000894414465519971;0,000113012206079552;0,000676055078202745;0,00790017871693566;2,2730916327573;0,040819793430878
"classe 4";-0,262285428912779;-0,572922461559899;-0,321003216304666;0,0521176963984474;0,144316551519815;0,290041376620335;-0,336444698053975;-0,734912058923258;-0,411764506444971;0,0668535903833049;0,185120991286259;0,372048435113939;0,000612201289243272;0,00197751475678442;0,000539541621576199;1,3884456249934e-05;0,000100470251078248;0,000388759511386993;3,88622086478917e-05;0,000185426093522969;5,82100427443666e-05;1,53443880776741e-06;1,17655283859475e-05;4,75224766505644e-05;0,000564909854082073;3,96241581350909;0,00886950222218157
"classe 5";-0,252295052204414;0,0183349623427937;0,349220150250681;0,590355931406974;-0,0951152168244737;0,177346068219439;-0,332727759453951;0,0241802242520696;0,460552980067711;0,778563846659363;-0,125438341764794;0,233884729054505;0,00281101558368636;1,0050506624015e-05;0,00316887165431027;0,00884069056494245;0,000216573383486342;0,00072128037549598;0,000189924094669273;1,00305013880799e-06;0,000363882514762211;0,00103989732194677;2,69937115158426e-05;9,38438305889682e-05;0,00298375113837895;1,77873033104771;0,0094402352976164
"classe 6";-0,496735290790715;-0,188936994203783;0,250975354197043;0,149446266479885;0,119321567619097;0,325619085526276;-0,711051641161683;-0,270453825801069;0,359258624868128;0,21392483082258;0,170802836147371;0,466107380428854;0,00909722033392435;0,000890994060801167;0,00136641023846644;0,000472978460546746;0,000284548220248463;0,00202998854580462;0,000930951020353408;0,000134682386905711;0,000237650620416845;8,42649447565553e-05;5,37173650618137e-05;0,000400033632071073;0,00377291308605118;1,94672077152191;0,0142982908293797
"classe 7";-0,878018432855999;-0,118445389731843;-0,238987472274775;-0,307913747724669;0,222711271714896;-0,161499613784896;-0,872558464935021;-0,117708835686821;-0,237501325875899;-0,30599898247363;0,221326339060068;-0,160495326542717;0,0236006082689601;0,000290759809370254;0,00102878938620561;0,00166719588906601;0,000823113294031614;0,000414642779017041;0,00240447823434583;4,37572384730701e-05;0,000178140987273454;0,000295713902501635;0,000154702730431924;8,13498130839387e-05;0,00311898713375011;2,13636295720778;0,0142352028881301
"classe 8";-0,464385673403776;-0,340201462822203;-0,634863643921843;-0,601913424878204;0,0543462614258191;0,360032140830097;-0,41883836109905;-0,306834235620483;-0,57259571810777;-0,542877282478743;0,0490159373363336;0,324719905123227;0,00655901589177151;0,00238306305585176;0,00721277269711215;0,00632938711465937;4,86944758215506e-05;0,00204728735399236;0,000761591458402273;0,000408730260401248;0,00142339473002271;0,00127947704355845;1,04304677764765e-05;0,000457769638037503;0,00353154251203429;2,14334693983715;0,0162236806506437
"classe 9";-1,3312091888271;0,84579873265724;-0,241682570594948;-0,723335892043265;-0,107845257503694;-0,202230149778199;-0,753450038109922;0,478712957138919;-0,136789727379893;-0,40940031063522;-0,0610392521762308;-0,114460082860163;0,0618371421074414;0,0168994659302911;0,00119924449465679;0,0104869541450655;0,000219997725495632;0,000741077801275074;0,0105417480670694;0,00425553414652727;0,000347464694211904;0,00311243327934474;6,91866213802675e-05;0,000243283035826604;0,00594867194828849;2,00103463450699;0,0238193129660942
"classe 10";-0,375615885276103;-0,417680403197137;-0,638572037427727;-0,567352214205456;0,118401165009363;0,371581675454169;-0,343275400366989;-0,381718168089586;-0,583591057790421;-0,518503253229865;0,108206838197566;0,339588535550899;0,00417299278668999;0,00349325311178434;0,00709642799777793;0,00546862045285326;0,000224766185112853;0,00212072087086695;0,000615634497418007;0,000761242882270797;0,00177932319616365;0,00140456083501005;6,11711996063417e-05;0,000602481371615594;0,00436350066077334;2,17346743542569;0,0206130056047442
