"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,139722390576486;3,63503828973333;3,63503828973333
"facteur 2";0,0945906328308838;2,46088383380576;6,09592212353909
"facteur 3";0,0822103091823046;2,13879551055136;8,23471763409046
"facteur 4";0,0802561919961808;2,08795691006022;10,3226745441507
"facteur 5";0,0757399995962786;1,97046298349831;12,293137527649
"facteur 6";0,0725573158885482;1,88766181545376;14,1807993431027
"facteur 7";0,071211375396847;1,85264562940906;16,0334449725118
"facteur 8";0,0703545456479484;1,83035422047898;17,8637991929908
"facteur 9";0,0700184224153726;1,82160958896043;19,6854087819512
"facteur 10";0,0668998924270083;1,74047745352663;21,4258862354778
"facteur 11";0,0658959949822844;1,71435990976374;23,1402461452416
"facteur 12";0,0655381357943122;1,70504979242861;24,8452959376702
"facteur 13";0,0643494924463512;1,67412587204013;26,5194218097103
"facteur 14";0,0583546844901215;1,51816406541356;28,0375858751239
"facteur 15";0,0569594693768803;1,48186594355835;29,5194518186822
"facteur 16";0,056871250329847;1,47957082383898;30,9990226425212
"facteur 17";0,0529809231044229;1,37835949782558;32,3773821403468
"facteur 18";0,0523966138706048;1,3631580227491;33,7405401630959
"facteur 19";0,0510518208599095;1,32817168973924;35,0687118528351
"facteur 20";0,0495148664708973;1,28818605801206;36,3568979108472
"facteur 21";0,0485494477258311;1,26306958176611;37,6199674926133
"facteur 22";0,0479595222998978;1,24772199500848;38,8676894876218
"facteur 23";0,0470647612309297;1,22444375926944;40,0921332468912
"facteur 24";0,0457141980068888;1,18930730753942;41,2814405544307
"facteur 25";0,0446952644377914;1,1627985817505;42,4442391361812
"facteur 26";0,0431642863855692;1,12296843128137;43,5672075674625
"facteur 27";0,0425295033237852;1,1064538216634;44,6736613891259
"facteur 28";0,0406594443957605;1,05780209319397;45,7314634823199
"facteur 29";0,0400441742048235;1,04179513329757;46,7732586156175
"facteur 30";0,0397902582329543;1,03518921797998;47,8084478335974
"facteur 31";0,0390428655107397;1,01574493885257;48,82419277245
"facteur 32";0,0380204399875798;0,989145365872513;49,8133381383225
"facteur 33";0,0368611482204735;0,95898506053407;50,7723231988566
"facteur 34";0,0367752490633648;0,956750295412622;51,7290734942692
"facteur 35";0,0364421922796645;0,948085441079606;52,6771589353488
"facteur 36";0,0356119341734096;0,926485323917669;53,6036442592665
"facteur 37";0,0352535352113866;0,917161163741342;54,5208054230078
"facteur 38";0,0348683309194506;0,907139632154461;55,4279450551623
"facteur 39";0,0336698549231734;0,875959904139364;56,3039049593017
"facteur 40";0,0331677922482121;0,862898167650312;57,166803126952
"facteur 41";0,0327715906292393;0,852590527983699;58,0193936549357
"facteur 42";0,0322558970126045;0,839174166908682;58,8585678218443
"facteur 43";0,0310064596187689;0,806668619669774;59,6652364415141
"facteur 44";0,0307985282747615;0,801259047202655;60,4664954887168
"facteur 45";0,030572227644073;0,795371576668052;61,2618670653848
"facteur 46";0,0301498941097288;0,784384085242765;62,0462511506276
"facteur 47";0,0293393118677442;0,76329585826329;62,8095470088909
"facteur 48";0,0287446315370318;0,747824567202695;63,5573715760936
"facteur 49";0,0285648745381852;0,743147982648431;64,300519558742
"facteur 50";0,0281162704289592;0,731477032078231;65,0319965908202
"facteur 51";0,0278039305984528;0,723351153050432;65,7553477438707
"facteur 52";0,0274085285374156;0,713064314800819;66,4684120586715
"facteur 53";0,0270741118958162;0,704364082204437;67,1727761408759
"facteur 54";0,0261853303367327;0,681241410275137;67,8540175511511
"facteur 55";0,0259906722890737;0,676177157840537;68,5301947089916
"facteur 56";0,0258473784138342;0,672449203279849;69,2026439122715
"facteur 57";0,0255858584352181;0,665645461002914;69,8682893732744
"facteur 58";0,0251607452715419;0,654585654331578;70,5228750276059
"facteur 59";0,024937369178786;0,648774269006517;71,1716492966125
"facteur 60";0,0242002626906175;0,629597598058873;71,8012468946713
"facteur 61";0,0240394921790367;0,625414968753399;72,4266618634247
"facteur 62";0,0232165452692242;0,604005060754806;73,0306669241795
"facteur 63";0,0227590500724849;0,592102798342497;73,622769722522
"facteur 64";0,0221201286076977;0,575480523422555;74,1982502459446
"facteur 65";0,022036288203447;0,573299319118645;74,7715495650632
"facteur 66";0,0212702198187526;0,553369171205852;75,3249187362691
"facteur 67";0,020946723040095;0,544953031371899;75,869871767641
"facteur 68";0,0207681731345847;0,540307850735638;76,4101796183766
"facteur 69";0,020592736203441;0,535743657698934;76,9459232760756
"facteur 70";0,0203411365064822;0,529198002930525;77,4751212790061
"facteur 71";0,0197692095742069;0,514318667634495;77,9894399466406
"facteur 72";0,0194386803200614;0,505719569882598;78,4951595165232
"facteur 73";0,0191190530599698;0,497404100013511;78,9925636165367
"facteur 74";0,0189696481484705;0,493517159833535;79,4860807763702
"facteur 75";0,0184934125589947;0,481127344603951;79,9672081209742
"facteur 76";0,018377600633481;0,478114364494513;80,4453224854687
"facteur 77";0,0177262019027856;0,461167479187213;80,9064899646559
"facteur 78";0,0175967584040022;0,457799858060111;81,364289822716
"facteur 79";0,0173760603284537;0,452058144425101;81,8163479671411
"facteur 80";0,0169701609950112;0,441498207590689;82,2578461747318
"facteur 81";0,0168330154089593;0,437930207826945;82,6957763825587
"facteur 82";0,0164608245858953;0,428247236562691;83,1240236191214
"facteur 83";0,0162618184874027;0,423069864597279;83,5470934837187
"facteur 84";0,0159980650519757;0,416208016379038;83,9633015000978
"facteur 85";0,0156802148712986;0,407938779269702;84,3712402793675
"facteur 86";0,0152407811983158;0,39650640811931;84,7677466874868
"facteur 87";0,0151555266919558;0,394288414326672;85,1620351018134
"facteur 88";0,0150595481102247;0,391791421409881;85,5538265232233
"facteur 89";0,0146670860093024;0,381581069595575;85,9354075928189
"facteur 90";0,0146450076351339;0,381006675361791;86,3164142681807
"facteur 91";0,0143873440945903;0,374303262745675;86,6907175309264
