"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"subscritor";1,23666635157428;0,64364741751683;0,438553247505055;-1,12185170976367;-0,848377283158511;0,88456213903785;0,558857125511753;0,290868224188853;0,198184908138336;-0,506971683163253;-0,383386908855309;0,399739067639319;0,00956939399743933;0,00175492084725403;0,000708083189739483;0,00452337712789991;0,00244127498112074;0,00254244309919841;3,40340514761411e-05;9,21944175777537e-06;4,28009319585594e-06;2,8007830614512e-05;1,60172009735835e-05;1,7412665470056e-05;2,22540245547483e-05;4,72545171665399;0,000496930007743657
"relogio";-0,902263176030282;0,0460040379970719;6,42514200444982;10,4561886905781;-0,611616964490818;-10,4382125200705;-0,0558742892269971;0,0028488837768681;0,397888611902198;0,647518514143379;-0,0378754936231056;-0,646405307069414;0,00347533032432991;6,11650949718426e-06;0,103694413415017;0,268095169855067;0,000865661217019787;0,241544467452204;4,04137987376615e-05;1,05064286482982e-07;0,0020494091445947;0,00542762747457255;1,85704425920391e-05;0,00540898127548174;4,96435932375155e-05;5,72095052226861;0,00162479880901445
"guardar";-0,345237201211135;0,796448279540781;1,77397538302065;2,75974036077638;-1,1586443237596;-1,78240981874218;-0,0862120553155772;0,1988877296273;0,442994159705046;0,689157737941395;-0,289334718798029;-0,445100392858451;0,0021684688843372;0,00781295460067928;0,0336878637759888;0,0795915591753544;0,0132396830350061;0,0300156915033246;6,12098957313858e-06;3,25762899793621e-05;0,00016161499131562;0,00039113160990226;6,89424546350173e-05;0,000163155454390301;5,13554412801884e-05;2,77123907228125;0,000394397771639724
"compensatorio";2,34567195733165;-0,434953880209102;-0,815760051567749;0,336169782007122;0,131498499677995;0,634649405427578;0,893635804104355;-0,16570533627862;-0,310781900836735;0,128071341144079;0,0500972726092264;0,241783779684517;0,0381711992067215;0,000888525292741497;0,00271635416642276;0,000450330269294624;6,50282608209879e-05;0,00145105611734155;0,000103607798915258;3,5624133924694e-06;1,25309143991618e-05;2,12801772393005e-06;3,25611317358139e-07;7,58447721171684e-06;1,88303284694024e-05;4,48778846080198;0,000379247433867854
"prazo";0,0536181689603774;-0,869120638774465;-0,513579206566624;-0,88949296557514;1,5682511596288;-0,802099007340298;0,0241828154345121;-0,391989961711296;-0,231634003999312;-0,401178269117995;0,707311142539916;-0,361761929413325;0,000144178398032644;0,0256459320705378;0,0077830778754767;0,0227915475870821;0,0668600602353641;0,0167551143673864;2,68216610960561e-06;0,000704728506353241;0,000246080146624225;0,000738153610998235;0,00229452581179943;0,000600229962098108;0,000932957183256757;1,66914814763726;0,00259927052783926
"igual";-0,470486627196275;0,167247686946153;0,831094476178054;0,9458919408281;-0,759570471508022;-0,516816930646699;-0,287459486328823;0,102185548749228;0,507784870818869;0,577924208076561;-0,46408489625179;-0,315766529423082;0,00503040494078682;0,000430339035940794;0,00923569206854914;0,0116789546269983;0,00710728639269059;0,00315207864567268;1,09889899493041e-05;1,38862010475879e-06;3,42897248404156e-05;4,44166969343934e-05;2,86417371396057e-05;1,32597908366301e-05;4,96435932375155e-05;2,47958393729427;0,000305225516397014
"adequado";0,190842911832646;-0,151961017333226;0,0988520658788753;-0,127293808432548;-0,204617556526239;0,444314244090975;0,334878044259794;-0,266650764231183;0,173458821051668;-0,223366438946676;-0,359048845423262;0,779652142535074;0,00452051636646505;0,00194036076988503;0,000713621212732351;0,00115521569160743;0,00281696244140851;0,0127242341089406;1,78936597908652e-05;1,1345182648072e-05;4,80085519902916e-06;7,96089081478877e-06;2,05699338780318e-05;9,69901386136643e-05;0,000491300388247136;1,06099909903254;0,000553066225064261
"estrangeiro";0,162061177751032;1,80021945669794;3,45117445118233;4,39551965066849;-1,50938570961287;0,599784394027978;0,0265937777112567;0,295410885736325;0,566327898335458;0,721292256032576;-0,247685896147551;0,0984229108464519;0,00042630669472554;0,0356120682691409;0,113751798204633;0,180134610641107;0,0200458247899986;0,0030322827503087;4,76572586706725e-06;0,000588060458674322;0,00216124947755139;0,0035058354467885;0,000413401019851712;6,52771821746427e-05;0,000181455892523332;2,93393790547085;0,00156197080462819
"regional";-1,94081099408544;0,282721670912181;-0,785783852990136;-1,47697914458646;-0,486292514758191;0,510818103928687;-0,726176799463226;0,105783571273847;-0,294010084018073;-0,552628767746209;-0,181951948461851;0,191128480284401;0,0582443226103129;0,000836734030904357;0,0056176358790258;0,0193752974800155;0,00198217307142078;0,00209524529327015;0,00128317170458607;2,72293005003249e-05;0,000210341267966504;0,000743133796870617;8,05588868400983e-05;8,88895788253956e-05;0,000340657760491917;3,0060032659279;0,00307820247622084
"atingir";0,291557430474477;0,410855234572966;-0,946170884864438;-0,0526957203650543;0,66336487412238;-1,02498252930131;0,179357442774067;0,252745896763545;-0,582056132338627;-0,0324168368284507;0,408082302190363;-0,630538707397721;0,00169802416638117;0,00228273454537271;0,0105219218700656;3,1860961086278e-05;0,00476496672766902;0,0108979237646827;1,01861831070411e-05;2,02274389800132e-05;0,000107275960236442;3,32746841872213e-07;5,27312654243638e-05;0,000125891432844378;0,000119829362987106;2,64475340204325;0,000838172908692343
"prudenciar";-0,61550822613281;1,74271474718435;0,218809379584766;-0,381562235504474;-0,216438774707694;0,414374184073429;-0,314595281795903;0,890727067004366;0,111836683097722;-0,195022054791033;-0,110625032176312;0,211792722944696;0,00421235808910253;0,0228608458902701;0,000313220157351024;0,00092982425539008;0,000282349474774188;0,000991421064688213;9,72801413054788e-06;7,79846418998901e-05;1,22938621502532e-06;3,73841266056719e-06;1,20289190698934e-06;4,40901778678213e-06;2,56777206400942e-05;3,54490192104716;0,000322674701706468
"planejamento";3,13747881911626;1,34607313029507;0,0387126217316771;-0,429812507933344;-0,922519622793966;0,902742849482032;0,853663496416098;0,366247411086307;0,0105331554181474;-0,116945888555544;-0,251004507794121;0,245623528215731;0,312994643725009;0,0390027055232468;2,80375939772965e-05;0,00337400670710083;0,014668503766646;0,0134560817044931;0,000977360559266549;0,000179899731208938;1,48798437968987e-07;1,83421948880882e-05;8,44976108721445e-05;8,09135616588397e-05;9,9287186475031e-05;2,09626099555725;0,000436298692433447
"basico";0,764550863414232;0,244963894213165;-0,797479694167521;-0,483142845212848;0,226376001083964;0,452570096412371;0,574669673327695;0,18412551446991;-0,59942041434125;-0,363151170596026;0,170154045750738;0,340171363225929;0,018539992891506;0,0012884960020921;0,0118685137792438;0,00425265786268637;0,000881083068727222;0,00337352324600767;6,40409772869205e-05;6,57429729657601e-06;6,9676199161553e-05;2,55738603685668e-05;5,6144336307494e-06;2,24396921047325e-05;0,000109558274731069;2,09886548225615;0,000482630090191806
"imediatamente";0,477893719620124;-0,1417655154009;-1,05481975775909;-1,04769736080072;-1,21758795580156;0,399573997065162;0,235986851915573;-0,070004681618834;-0,520876470546178;-0,517359387213016;-0,601252405761532;0,197312092215156;0,00593489288171576;0,000353568498507778;0,0170124563672589;0,0163845485724876;0,0208838332255564;0,00215456636380417;1,72020629807789e-05;1,51376719500491e-06;8,3805862291743e-05;8,26779285140254e-05;0,000111665386646511;1,20257542090024e-05;7,53213138776097e-05;2,31877113002835;0,000404980074691232
"edicao";0,681583916629548;-0,729685741428498;-1,01711033167194;0,440146425437838;0,107589206718314;0,360453033515159;0,443040951058715;-0,474307942087451;-0,661138735350325;0,286102541702228;0,069934784705376;0,234300503407201;0,0228739995435695;0,0177483213627613;0,0299709042437786;0,00547911405175088;0,000308958495856942;0,0033221253186107;9,70205447781533e-05;0,000111197944946582;0,000216053433742654;4,04593964207588e-05;2,41747756294067e-06;2,71345367108795e-05;0,0002088454612061;1,68453982790025;0,000592635425458314
"consequentemente";0,779484784676267;0,0866452254809917;-0,185452657353593;0,407483770897789;1,06411409147833;-0,416285861135994;0,53520438523915;0,0594917380673712;-0,127334205132842;0,279783653748748;0,730634567024302;-0,285827283319676;0,013853901888528;0,000115885265206663;0,000461405979620978;0,00217465314849471;0,0139956316143449;0,00205189600191845;2,91231620352685e-05;3,59842548945592e-07;1,64850156351001e-06;7,95873189594411e-06;5,42749748206274e-05;8,30627993010286e-06;4,79317451948425e-05;2,47545247102288;0,000293719260714819
"aproveitamento";-0,442262916689708;-3,17627207121274;4,17024926598402;3,97895408062686;9,07715880713518;10,1475972833808;-0,0292334784946735;-0,209950863576871;0,275652530732313;0,263007962363049;0,599998138589805;0,670753879110442;0,000582730577151998;0,0203481190931463;0,0304853411033712;0,0270930034196708;0,133065635890994;0,159311968375315;5,02247196366655e-06;0,000259054929874986;0,000446560698890386;0,000406531613786636;0,00211571096498462;0,00264413068827445;2,56777206400942e-05;6,84825031241181;0,00120424741189414
