"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";-0,0856727690471223;-0,491157046667234;-0,954933554553305;-0,688641540266358;-0,549429328308291;-0,558780586992997;-0,0571303061252795;-0,32752475195769;-0,636790976966375;-0,459215949753669;-0,366383228528478;-0,372619052084269;0,00588085308594233;0,139898501659131;0,370098426348415;0,12356160454753;0,0553799661864148;0,0395878628688751;3,37130599870383e-05;0,00110803460435288;0,0041885034066965;0,00217820624378353;0,00138655225521343;0,0014341520047848;0,00459317048257754;0,101176162308446;4,70185216234532e-05
"classe 2";0,264346395352303;0,25749143550524;-0,207566194092093;-0,0460037395577254;0,0168671749688163;1,91272631162832;0,134895413971927;0,1313973422653;-0,105920595744512;-0,0234756123064418;0,00860728419210339;0,976060245793137;0,0530181139212994;0,0364099974053758;0,0165579642932958;0,000522163059939088;4,94238390363576e-05;0,439246054190251;0,000801843664121791;0,000760796477865581;0,000494374613089118;2,42845012638554e-05;3,26458226197265e-06;0,0419805941359306;0,0114747416546217;0,103972100754254;0,000124044226247403
"classe 3";0,244178099405554;-1,22354037060293;-0,350713265365821;-0,128564146268399;0,696607035603256;-0,110896289898711;0,164858736701311;-0,826082766192848;-0,236786779868291;-0,0868010799923881;0,470319640239551;-0,074872489801794;0,0256238998298324;0,465678298324602;0,026776413397587;0,00231001039528642;0,0477509273944506;0,000836354811215285;0,000469053178251449;0,0117772873629009;0,000967638302366962;0,000130031450000903;0,00381754687050844;9,67481565385808e-05;0,00786699121142825;0,138146427464428;0,000150137085733528
"classe 4";0,581352469185056;-0,638252522174459;0,132561213070344;0,579698667121782;-0,862913394482618;-0,482394672166717;0,403455953080596;-0,442944329454668;0,0919968752102968;0,402308222017236;-0,598857946685997;-0,334779694825845;0,11441913200384;0,0998210808355803;0,00301348305740274;0,0369970071615217;0,0577202647766664;0,012466637381551;0,000188650656251767;0,000227386332425658;9,80871727913127e-06;0,000187578855259483;0,00041563651831577;0,000129892561927721;0,000558186434269046;0,155648794071332;1,35229299380892e-05
"classe 5";0,177098567466376;-0,0981558806247435;0,0987601616918158;0,205269970776405;1,10189559949084;1,11627015784541;0,110835623167212;-0,0614300180527177;0,0618082021882265;0,128466454890088;0,689611932959107;0,698608127314458;0,0193255736585977;0,00429687310157983;0,00304426245229323;0,00844297537866569;0,171300047400791;0,12149702478;9,35926326549302e-05;2,87504214077135e-05;2,91055058571411e-05;0,000125736801387678;0,00362320130870851;0,00371834939857457;0,00298408759434742;0,115373060768801;3,97210203264444e-05
"classe 6";-0,0155882580078683;0,164610001223716;0,353476304526421;0,754944050301902;1,27269063371198;-0,868713708040573;-0,00885835126383988;0,0935430509069557;0,200870249091242;0,429012631093522;0,723232876818502;-0,493664601243572;0,000143307651869373;0,0115665603495092;0,0373259637445934;0,109306534847717;0,21872286859947;0,0704291220441268;9,13652536953324e-07;0,00010188220367273;0,000469792961266152;0,00214296672380754;0,00609020048660506;0,00283752203611494;0,00375998310708504;0,117928414212204;5,22905019719139e-05
"classe 7";-0,286980313069899;-0,114166073113371;-0,307939258008703;-0,565915084458648;1,60228545128887;-1,78971569303025;-0,114509598494054;-0,0455540348883471;-0,122872542781514;-0,225808901000483;0,639336760550762;-0,714124335690878;0,0348139196571386;0,00398786475934165;0,0203046280996474;0,0440244193875733;0,248486488707135;0,214260207494116;0,000253312072817206;4,0089053715197e-05;0,000291663307613965;0,000985040799687545;0,00789644213614695;0,00985189492029096;0,00307575457475524;0,139293614171389;5,96779769638185e-05
"classe 8";0,39171779756017;-0,468817378078069;-0,277978069215311;0,401132979091826;-1,51223053589812;-1,04262425485356;0,196219327317309;-0,234840058670076;-0,13924480860999;0,200935581207785;-0,757506705977644;-0,522271469936597;0,0784298688392822;0,0813129779509944;0,02000654786781;0,0267457020660587;0,267636397424489;0,0879255805296178;0,000536001397042076;0,000767762183655418;0,000269923304304273;0,000562077306687906;0,00798831754647036;0,00379730045448864;0,00349316671768371;0,126674186198031;5,60525738353362e-05
"classe 9";-0,932377595804393;1,50023208376252;1,02540536352382;-0,929412661012682;0,295367112156976;0,0498797859772027;-0,411854797290678;0,662690506000332;0,452947518296522;-0,410545110503785;0,130471133853012;0,0220331647124359;0,213877067792625;0,40078830783009;0,131035189483782;0,0691098762969456;0,00491449756816817;9,68622251658058e-05;0,00507872976533716;0,0131488673612873;0,00614274682301964;0,00504648068412125;0,000509677803231856;1,4535186521599e-05;0,00584213309063409;0,182585078190382;0,000194761006447667
"classe 10";0,209283407239862;-0,492726479386886;-0,590390702638201;0,008498055292115;-1,08488837607757;-0,0599964958341261;0,155310717408635;-0,365655853987991;-0,438133174471092;0,0063064677768933;-0,805103444267716;-0,0445238298291022;0,0193506339360894;0,0776345409936811;0,0780047107673023;1,03754535804306e-05;0,119061130735168;0,000251652987326479;0,000190854561465583;0,00105790033318935;0,00151883980024694;3,14682110790612e-07;0,00512864999601473;1,568500714829e-05;0,00435745539010029;0,136251961090964;8,08944028318838e-05
