"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,00820183685764629;26,8341378280761;26,8341378280761
"facteur 2";0,00593647590021806;19,4225044077771;46,2566422358532
"facteur 3";0,00415458200039846;13,5926412524047;59,8492834882579
"facteur 4";0,00266718727477121;8,72629780215362;68,5755812904115
"facteur 5";0,00187795600768125;6,14415175768855;74,7197330481
"facteur 6";0,00129788389244403;4,24631650923591;78,9660495573359
"facteur 7";0,00101310022563224;3,31458325252181;82,2806328098578
"facteur 8";0,000821056286116154;2,68626868939842;84,9669014992562
"facteur 9";0,000730858909121954;2,3911678616202;87,3580693608764
"facteur 10";0,000617624312632102;2,0206956342578;89,3787649951342
"facteur 11";0,00049807081983073;1,6295497288538;91,008314723988
"facteur 12";0,000483562631193873;1,58208295521831;92,5903976792063
"facteur 13";0,000452126727611084;1,47923338820891;94,0696310674152
"facteur 14";0,000346716049128796;1,13435885290189;95,2039899203171
"facteur 15";0,000331425155487845;1,08433128534631;96,2883212056634
"facteur 16";0,000303703518289548;0,993633768886262;97,2819549745497
"facteur 17";0,000271063328387119;0,886844110694047;98,1687990852437
"facteur 18";0,000246120930743045;0,805239496049736;98,9740385812935
"facteur 19";0,000173452318086392;0,567487928730301;99,5415265100238
"facteur 20";0,000140132125445316;0,45847348997624;100
