"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"adv";-0,00265935551320676;-0,00120372294426872;1,41890104236824;1,33486169338967;-0,410218169219833;0,192572240642613;-0,00132959342252604;-0,000601823299402893;0,709405524676636;0,667388515262002;-0,205096075679505;0,096280013427303;2,52357758331394e-06;3,74226486480847e-07;0,363901869158334;0,206765838325097;0,013748899396033;0,0020939964708188;3,16999606994845e-07;6,49469861303993e-08;0,0902422968492191;0,0798690402001294;0,00754285413020817;0,00166223832821995;0,0448235165090595;0,151608528381402;0,00103027506572452
"nom";0,231984146762064;-0,33972421422595;-0,389271257783427;-0,214496960606967;0,395012974424469;0,300718393051742;0,296240284220961;-0,433822738250559;-0,497093571497753;-0,273909409162831;0,504425657734677;0,384012888257787;0,129869597412228;0,201586510819715;0,185230186979585;0,036105681685254;0,0862160037326545;0,0345331010733275;0,0136095792029056;0,0291864375177102;0,0383206405165561;0,0116351066421278;0,0394594296711885;0,0228690469868806;0,252887919110437;0,0582988681786349;0,000859504845996678
"pre";0,267661937298552;-0,227677288142001;0,105891297574702;0,00501838645258335;-0,261043455508328;0,686265651349164;0,326072329445024;-0,277362050261861;0,128999372927748;0,00611352132157662;-0,318009532782528;0,83602562923966;0,0986329057554337;0,0516541948126843;0,00781961448974885;1,12750683162715e-05;0,0214807035266022;0,102602474400316;0,00742713530168967;0,0053738745199035;0,00116243490390664;2,61081624252101e-06;0,0070643746109559;0,0488239178576252;0,103668807199787;0,077184708154159;0,000617604759766173
"ver";0,168681630781225;-0,29007547653053;-0,548276447724758;-0,366315859170283;0,357984607212629;-0,0964678741314411;0,203830817635757;-0,350520215410916;-0,662524046706124;-0,442647256502183;0,432579972408513;-0,116569454354501;0,0601362829827216;0,128718393297358;0,321822488104474;0,0922263084298592;0,0620160345293543;0,00311236935865052;0,0071067244428937;0,0210162837315144;0,0750815232442565;0,0335154717617864;0,032008299377673;0,00232433814971288;0,249766331045478;0,0622952687598286;0,000969268328233868
"ono";-0,263022594151434;0,108080791496071;0,441634888147002;-0,622456675035299;0,0371288943566051;0,876086645965015;-0,219776757708213;0,0903102868488471;0,369021848183487;-0,520113149573491;0,0310242093281435;0,732041607082613;0,0328925744340163;0,00402000291448928;0,0469736935178186;0,0599062857210032;0,000150075595028885;0,0577471545576167;0,00213893204125182;0,000361166870045687;0,00603028199088844;0,0119792362415995;4,26221061300112e-05;0,0237303964411403;0,0309179629632661;0,131340808997993;0,000533347478992015
"pro_per";0,785243251268183;-0,421015499326967;2,91926898996683;4,72754552917329;-5,67804598020078;0,341389370845104;0,0981382091662953;-0,0526177169539162;0,364844690212051;0,590839655400921;-0,709631395317112;0,0426661947479819;0,0113541927597415;0,00236244436089585;0,0794899592802932;0,133832521943652;0,135931445707061;0,000339603802536118;0,000818566897301989;0,000235310833066633;0,0113134218373978;0,0296699758528868;0,0427999796864423;0,000154719745801896;0,00132753430554896;0,667392995586348;0,000591301582666937
"ver_sup";0,533953090237826;-0,534239172861885;0,834789071553283;0,212851207368521;-1,4542092293462;0,143828274403336;0,287549584675014;-0,287703648657853;0,449558688216357;0,114626691736408;-0,78313482508889;0,0774557940113843;0,13524246888778;0,0979931961537179;0,167446702826916;0,00698878212588129;0,229686231812456;0,00155281650212573;0,0174687784544407;0,0174875023942795;0,042698226655849;0,00277593034458092;0,129571689492067;0,00126749095347625;0,0612711918508054;0,131492845142391;0,00105940147472889
"nom_sup";-1,48537555645355;1,35908824983793;-3,85325110476079;-1,23694325967957;-5,6256732027414;-1,17119950209346;-0,203169538281407;0,185895971563265;-0,527047348015959;-0,16918899052669;-0,769479087061305;-0,160196565132573;0,114446520283518;0,069349437848417;0,390122392406582;0,0258090481395272;0,375883563415471;0,011259433006348;0,0380010626837035;0,0318140171958379;0,255727727413915;0,0263525564780061;0,545094997618455;0,0236257146438218;0,0172235708544836;0,397640434594377;0,00272335511623077
"art_def";3,13326191862121;-0,386486792388929;3,36474977896341;1,79770739756759;-3,64756464461899;5,51476791761224;0,379302322763443;-0,0467868125544457;0,407325477354354;0,217624510576016;-0,441562109414273;0,667599560770877;0,270048380734626;0,00297395966247745;0,157750204904232;0,0289087006382515;0,0837969978548173;0,132381523153389;0,0353863373835976;0,000538408028720846;0,0408082301352344;0,0116487741272679;0,0479565804555474;0,109621740686628;0,00360447662246463;0,546048822410717;0,00107474433070238
"sw";-1,06214691295136;2,58381947536092;-4,27405717404727;0,120860798691444;3,00521119363668;14,74654833977;-0,0668323078668008;0,162578845302791;-0,26893182234322;0,00760479177473622;0,189093615251207;0,927880923626332;0,0118856787377957;0,0509092527295183;0,0974881139762798;5,00458544747951e-05;0,0217860797216286;0,362543629846125;0,00174512238545973;0,0103271632372609;0,0282577359025818;2,25957950457522e-05;0,0139703312138336;0,336385652972758;0,00154688029438196;0,882324138511882;0,00120423994438383
