"";"X.adpf_1003";"X.adpf_1016";"X.adpf_1021";"X.adpf_1035";"X.adpf_1041";"X.adpf_1045";"X.adpf_1048";"X.adpf_1061";"X.adpf_1065";"X.adpf_1067";"X.adpf_1072";"X.adpf_1074";"X.adpf_1093";"X.adpf_1112";"X.adpf_1124";"X.adpf_1127";"X.adpf_1129";"X.adpf_1131";"X.adpf_1134";"X.adpf_1140";"X.adpf_1177";"X.adpf_1195";"X.adpf_340";"X.adpf_343";"X.adpf_344";"X.adpf_350";"X.adpf_355";"X.adpf_360";"X.adpf_365";"X.adpf_375";"X.adpf_382";"X.adpf_383";"X.adpf_390";"X.adpf_397";"X.adpf_407";"X.adpf_409";"X.adpf_410";"X.adpf_412";"X.adpf_417";"X.adpf_426";"X.adpf_436";"X.adpf_450";"X.adpf_456";"X.adpf_458";"X.adpf_470";"X.adpf_500";"X.adpf_503";"X.adpf_506";"X.adpf_507";"X.adpf_518";"X.adpf_533";"X.adpf_545";"X.adpf_546";"X.adpf_550";"X.adpf_551";"X.adpf_558";"X.adpf_563";"X.adpf_570";"X.adpf_571";"X.adpf_576";"X.adpf_579";"X.adpf_592";"X.adpf_601";"X.adpf_602";"X.adpf_603";"X.adpf_612";"X.adpf_617";"X.adpf_621";"X.adpf_629";"X.adpf_639";"X.adpf_645";"X.adpf_656";"X.adpf_658";"X.adpf_669";"X.adpf_671";"X.adpf_673";"X.adpf_678";"X.adpf_679";"X.adpf_684";"X.adpf_685";"X.adpf_686";"X.adpf_689";"X.adpf_693";"X.adpf_697";"X.adpf_704";"X.adpf_705";"X.adpf_710";"X.adpf_711";"X.adpf_712";"X.adpf_719";"X.adpf_721";"X.adpf_724";"X.adpf_726";"X.adpf_729";"X.adpf_730";"X.adpf_736";"X.adpf_737";"X.adpf_752";"X.adpf_753";"X.adpf_754";"X.adpf_755";"X.adpf_756";"X.adpf_757";"X.adpf_773";"X.adpf_776";"X.adpf_778";"X.adpf_780";"X.adpf_782";"X.adpf_784";"X.adpf_786";"X.adpf_790";"X.adpf_797";"X.adpf_799";"X.adpf_801";"X.adpf_803";"X.adpf_805";"X.adpf_806";"X.adpf_807";"X.adpf_813";"X.adpf_815";"X.adpf_816";"X.adpf_830";"X.adpf_831";"X.adpf_841";"X.adpf_843";"X.adpf_845";"X.adpf_864";"X.adpf_869";"X.adpf_874";"X.adpf_891";"X.adpf_894";"X.adpf_895";"X.adpf_906";"X.adpf_908";"X.adpf_911";"X.adpf_921";"X.adpf_922";"X.adpf_923";"X.adpf_924";"X.adpf_930";"X.adpf_932";"X.adpf_939";"X.adpf_940";"X.adpf_952";"X.adpf_954";"X.adpf_958";"X.adpf_960";"X.adpf_963";"X.adpf_978";"X.adpf_980";"X.adpf_986";"X.adpf_993";"X.adpf_996";"X.adpf_997";"X.adpf_998";"X.adpf_999"
"adv";39,91;47,65;33,5;52,79;49,92;44,84;38,32;52,01;43,71;46,96;40,95;50,7;44,27;23,77;51,88;44,34;47,6;39,45;50,37;39,8;36,32;27,78;55,43;36,34;35,02;39,66;34,05;38,58;63,23;29,55;45,25;44,18;37,01;36,66;22,32;52,35;40,82;52,82;53,81;23,24;38,49;37,13;54,24;37,42;30,2;32,14;47,21;36,65;34,94;41,22;51,09;44,71;31,47;45,29;47,39;27,51;53,35;42,47;47,08;61,52;52,72;29,42;46,65;54,55;46,5;54,12;41,9;42,14;42,63;41,67;49,43;36,76;49,81;50,35;51,29;56,86;37,23;59,75;35,49;57,89;46,89;45,95;37,58;46,72;53,75;36,59;30,44;45,42;42,88;57,64;57,83;33,14;50,05;42,04;47,9;52,63;58,29;54,2;51,64;49,43;33,14;45,53;38,49;42,57;48,25;43,89;48;45,49;33,83;41,49;40,3;46,73;49,18;42,15;43,93;48,3;50;44,12;58,82;47,92;52,81;62,31;37,41;50,3;44,99;52,04;56,26;48,53;39,91;49,17;55,63;40,7;33,91;33,93;34,91;34,72;28,44;50,97;44,32;40,5;52,25;48,04;41,42;48,21;52,57;38,78;42;45,52;34,99;38,8;36,6;57,57;46,67;28,05;41,47;43,3
"nom";272,63;254,92;266,33;269,79;249,04;251,63;269,29;234,77;240,68;241,17;259,55;240,81;252,41;274,89;255,17;240,22;246,15;239,45;240,4;267,73;264,37;250;201,85;237,46;291,18;244,73;257,88;263,78;252,03;275,27;234,91;176,71;262,48;287,17;285,71;271,66;231,91;249,46;225,71;275,04;251,22;255,75;254,92;241,01;236,79;257,63;229,37;274,87;251,02;256,98;257,46;260,2;251,25;286,73;239,56;296,02;236,51;254,4;202,72;268,32;245,37;277,31;257,22;238,96;255,46;233,07;244,91;251,04;232,53;274,41;255,96;269,78;264,44;266,72;219,24;229,78;280,88;215,29;284,24;252,74;233,12;260,65;255,45;258,56;248,2;267,62;291,09;255,68;252,44;232,03;229,57;266,57;251,92;249,75;259,71;237,99;268,37;247,81;235,61;254,58;283,35;252,71;243,77;264,95;250,69;237,58;254;263,85;300,21;239,04;253,98;269,16;268,44;242,02;225,14;242,3;259,32;268,38;238,01;270,83;270,87;247;281,97;214,5;246,13;282,81;250,51;247,73;260,85;232,06;213,45;261,02;280,28;278,39;280,91;277,76;292,53;252,07;276,35;266,29;265,83;254,12;260,26;243,97;253,47;249,65;229,06;235,55;248,73;253,72;276,52;232,49;233,36;241,96;251,56;267,84
"pre";95,87;111,55;99,88;99,71;106,42;96,21;80,36;107,31;100,31;107,06;102,33;101,39;99,61;98,07;97,99;102,62;106,98;99,73;87,03;106,74;100,69;27,78;103,46;98,77;107;88,25;89,22;95,28;110,21;92,33;108,51;52,21;111,02;96,74;107,14;93,86;90,91;104,01;80,72;109,02;99,68;98,37;99,66;105,65;92,31;99,67;90,87;111,69;106;106,98;104,45;94,12;102,4;90,98;89,13;113,85;98,4;126,58;116,73;116,49;99,62;103,59;102,55;108,23;106,68;93,96;100,08;101,77;106,33;77,86;101,72;102,02;110,23;111,26;102,7;88,91;115,06;98,42;125,11;100,26;94,6;106,52;103,64;97,6;103,34;97,56;102,93;113,92;81,87;103,61;100,76;106,77;99,1;98,01;104,84;99,16;111,72;110,14;90,64;111,55;97,76;113,96;109,43;101,45;109,61;98,29;95,33;105,24;103,59;118,34;104,45;123,36;122,95;101,53;106,16;104,56;107,63;107,23;95,21;122,92;90,29;101,98;106,8;115,38;98,41;122,17;100,5;97,87;105,51;94,98;106,73;102,32;96,89;100,42;85,2;108,65;93,45;102,69;100,86;113,59;98,78;104,08;109,42;102,99;101,39;103,53;101,86;102,96;116,09;94,97;108,05;99,64;95,64;87,38;95,68;99,44
"ver";261,94;252,21;257,39;246,33;255,62;261,65;255,99;264,76;230,88;274,61;242,86;215,46;244,2;270,43;241,27;252,08;242,97;238,9;221,45;261,51;251,03;277,78;231,87;226,71;294,42;239,01;288,15;254,33;256,55;286,22;256,22;180,72;221,17;300,41;276,79;256,32;224,49;241,6;254,86;258,99;251,22;255,47;246,78;274,39;314,69;246,19;232,71;287,96;260,92;236,15;248,86;238,04;264,24;255,22;250,47;266,6;251,33;283,82;244,75;246,07;238,28;254,74;262,89;263,2;243,65;222,44;225,39;255,42;236,41;277,36;251,03;256,58;257,02;244,81;241,95;238,82;275,8;248,68;253,18;250,85;230,48;239,35;253,03;255,63;246,01;262,2;287,77;233,33;296,3;240,06;238,92;276,88;247,58;232,09;250,67;241,8;274,13;230,33;250,13;246,68;242,2;241,35;225,66;273,55;238,95;246,52;255,33;262,5;289,64;242,34;259,28;254,21;256,15;240,74;234,9;253,18;270,34;292,28;251,62;258,33;245,32;252,31;246,6;250,74;238,12;248,87;255,2;237,94;255,43;222,3;263,26;247,46;299,65;300,55;266,5;281,95;241,75;239,77;274,54;268,62;264,3;250,91;244,24;276,84;251,22;234,07;235,34;221,82;243,96;273,74;264,09;239,69;250,19;303,62;254,81;239,78
"ono";28,51;30,67;30,59;23,46;35,66;22,64;34,59;29,52;37,55;36,06;29,42;35,49;27,85;23,77;26,71;33,51;29,01;26,85;30,92;27,57;29,89;27,78;34,64;35,31;23,35;43,94;40,67;24,41;31,62;22,77;29,29;12,05;41,31;46,84;31,25;38,81;33,4;33,04;38,12;24,35;32,41;28,82;29,83;28,98;30,2;31,05;30,5;37,52;27,96;27,82;32,12;29,61;25,97;20,87;32,72;33,21;36,75;28,59;29,96;24,87;26,87;35,07;28,71;30,3;32,07;36,85;34,58;29,42;42,15;21,04;30,39;36,48;37,63;30,75;25,95;32,57;40,61;29;24,84;39,73;33,18;35,51;26,36;31,07;27,31;27,78;27,67;30,4;38,99;31,38;30,82;41,97;31,36;32,09;25,55;31,27;33,09;34,09;27,7;28,91;33,14;29,61;29,43;34,42;33,66;37,84;34;23,16;33,83;29,23;31,28;35,51;32,79;21,71;40,27;33,17;31,36;34,93;30,6;31,25;34,07;31,29;25,85;33,28;30,57;40,72;25,49;31,2;34,41;35,37;34,28;32,08;31,14;29,78;34,27;30,23;32,5;27,87;28,95;33,99;32,8;28,22;34,78;27,76;28,54;35,32;41,52;31,07;33,4;32,42;28,58;27,68;29,84;33,02;28,73;28,07
"pro_per";1,78;1,28;0;2,93;0;3,05;1,06;2,81;0,28;2,25;1,65;0;1,07;0;1,62;0,42;2,27;0;1,25;0,22;0;0;1,39;0,51;0,65;2,14;0,32;0,79;0;0,98;1,38;0;2,58;0;4,46;2,71;0;3,25;0,75;0,55;2,43;1,94;1,36;1,47;0,34;0,54;2,72;0;0;1,35;3,03;1,37;1;0,79;2,63;1,9;1,78;0,21;0;1,31;1,01;0;0,57;0;0,42;1,33;1,63;1,39;0,48;2,53;1,38;0,85;0;1,15;2,5;1,55;1,69;2,64;0;3,03;1,82;6,68;0;2,45;1,97;0;0;1,47;0,97;0,73;0,69;0;1,33;2,49;0;3,81;0,91;1,75;0,27;2,12;0;1,94;1,51;0;0,83;2,37;0,67;1,85;0;0;0;0;0;2,55;1,22;1,33;1,69;0;0,68;0;0;0,56;0,68;0;2,09;6,79;1,17;0,92;1,57;0,67;1,94;1,41;0;0;0;1,5;0;1;0,9;0,93;0,76;1,04;1,56;0;2,25;1,04;0,97;0;0,64;0,35;0,81;2,49;0,77;0,29;1,5;0
"ver_sup";58,09;54,07;73,66;70,38;69,67;58,77;47,9;66,07;55,76;59,35;57,09;59,57;58,19;47,55;65,33;59,74;58,02;53,15;59,6;58,26;61,15;55,56;63,74;57,32;47,99;49,3;62,11;59,84;58,72;46,9;64,5;44,18;48,19;37,68;62,5;74,91;53,8;49,84;59,04;40,95;66,05;54,59;61,69;49,16;54,56;45,75;53,48;49,74;44,85;68,47;63,48;55,1;57,94;71,29;56,41;38,9;68,17;50,76;43,97;68,06;67,68;60,06;60,25;54,55;56,29;59,1;55,33;59,63;70,24;62,71;66,4;64,5;67,3;80,51;71,38;66,68;42,3;61,51;60,34;70;71,49;67,67;45,15;84,15;66,2;67,07;54,79;58,12;42,88;67,86;68,21;50,07;78,08;62,44;50,56;49,58;54,64;62,5;55,41;66,65;72,63;69,45;56,6;56,16;53,38;58,34;54;58,91;46,51;57,99;60,98;61,68;59,43;73,44;49,12;55,47;73,73;53,92;57,8;56,25;57,92;61,75;57,48;51,04;63,8;76,92;50,1;53,52;64,46;50,86;65,33;66,42;56,75;50,55;58,94;55,67;42,66;71,3;59,25;51,68;46,15;63,71;67,6;47,48;50,69;49,52;45,14;46,6;63,61;55,28;64,71;58,4;43,61;69,26;68,2;48,12
"nom_sup";24,23;17,55;12,48;17,6;9,87;9,14;15,43;22,96;17,37;22,54;16,47;19,01;19,99;23,77;16,88;19,57;7,71;24,11;26,18;11,12;13,33;0;25,4;31,22;9,73;17,86;9,14;24,41;14,45;24,5;19,67;8,03;23,24;9,16;4,46;5,42;22,26;12,73;8,22;23,8;18,64;27,99;7,46;31,91;26,42;53,92;19,85;28,8;10,48;16,67;19,73;22,75;25,97;10,24;25,2;13,28;14,82;19,68;31,52;5,24;20,03;18,94;10,2;13,85;19,33;16,93;14,65;16,7;12,84;15,99;12,5;15,77;11,13;6,73;39,93;17,06;3,38;12,3;11,83;8,7;16,18;5,85;26,36;8,81;10,71;6,78;33,2;16,73;25,34;13,13;12,47;21,35;13,01;20,4;12,24;16,02;7,29;10,05;20,98;10,31;16,57;17,48;17,36;5,43;11,83;20,76;6;16,28;14,8;10,37;30,75;18,69;20,49;9,58;12,81;25,74;18,64;9,8;7,14;20,83;17,04;5,31;15,65;25,89;17,59;0;9,38;18,96;17,78;9,43;20,7;19,79;15,22;14,54;35,87;20,65;46,22;24,1;14,93;16,76;16,78;11,1;11,33;5,84;13,52;15,24;33,79;10,84;23,85;15,95;24,63;20,2;12,24;29,81;12,49;12,03
"art_def";2,85;7,56;2,29;5,87;0,55;1,31;2,66;1,87;3,64;0,38;2,31;0;1,79;0;5,89;4,16;4,08;1,64;3,74;4,45;2,3;0;4,16;0,51;0,65;3,22;6,62;1,57;9,03;0,98;1,93;0;2,58;0;0;2,71;0;1,35;2,24;0,55;2,84;0,55;2,03;1,83;0,69;1,09;3,55;0;2,33;5,41;4,05;2,75;1,5;4,73;1,88;0;5,33;1,04;3,11;3,93;1,52;0;2,83;2,6;2,7;1;3,25;3,38;3,51;2,53;6,19;5,79;2,65;7,3;3,37;4,39;0;4,39;1,77;6,43;3,96;12,53;2,42;4,89;2,4;1,36;1,11;2,69;0,97;3,65;3,46;0;3,34;2,49;3,19;3,81;3,95;6,99;1,08;4,27;1,93;5,53;1,51;2,26;6,24;1,18;6;3,19;0;4,71;0,53;9,35;8,2;12,77;1,53;3,98;0,85;0,61;3,74;8,33;1,7;3,07;3,74;2,22;2,02;2,26;3,81;2,24;5,57;1,35;6,47;3,25;0,69;0,69;3,52;2,99;0,51;4,77;3,62;4,19;2,67;4,36;3,91;3,65;1,5;2,42;1,21;2,89;0,95;6,02;4,3;2,21;0,77;1,17;4,25;0,8
"sw";0,71;3,42;2,29;0;3,29;1,31;0,53;0,94;0,56;1,5;2,74;3,8;3,21;2,97;1,81;2,29;1,36;3,29;1,25;1,33;0;0;2,31;2,05;2,59;0,36;4,1;1,57;0,9;2,83;2,61;0;0,86;2,04;8,93;0,9;1,86;1,35;1,49;1,11;2,03;0,83;0;0,73;1,03;3,81;0,21;0;1,16;1,13;1,77;0,59;3,5;0,79;1,13;1,9;0,59;0,41;0,39;5,24;0,76;2,42;0,38;0,87;4,14;1;0,41;0,8;0,48;1,68;0,69;1,61;1,59;0,19;0,25;0,52;0;0,88;0,59;0;1,49;0;0,91;0,73;2,84;1,36;4,43;2,56;0,97;1,82;1,73;0,74;1,33;1,99;2,66;12,2;1,52;4,81;0,81;1,24;0,55;1,14;0,75;1,81;2,66;1,58;0,67;0,67;2,11;0,47;5,3;0;0;1,28;0,61;2,39;0,85;0;2,04;0;1,7;1,4;0,68;0,74;0,87;0;3,22;0,92;1,64;0,67;0;0,42;0;0;1,92;0,3;3,05;0,5;0;1,4;2,29;1,04;1,56;0,73;0,75;0,69;11,1;0,72;1,59;2,66;1,98;0,83;1,53;1,17;1,5;3,21
