"";"X.adpf_1003";"X.adpf_1016";"X.adpf_1021";"X.adpf_1035";"X.adpf_1041";"X.adpf_1045";"X.adpf_1048";"X.adpf_1061";"X.adpf_1065";"X.adpf_1067";"X.adpf_1072";"X.adpf_1074";"X.adpf_1093";"X.adpf_1112";"X.adpf_1124";"X.adpf_1127";"X.adpf_1129";"X.adpf_1131";"X.adpf_1134";"X.adpf_1140";"X.adpf_1177";"X.adpf_1195";"X.adpf_340";"X.adpf_343";"X.adpf_344";"X.adpf_350";"X.adpf_355";"X.adpf_360";"X.adpf_365";"X.adpf_375";"X.adpf_382";"X.adpf_383";"X.adpf_390";"X.adpf_397";"X.adpf_407";"X.adpf_409";"X.adpf_410";"X.adpf_412";"X.adpf_417";"X.adpf_426";"X.adpf_436";"X.adpf_450";"X.adpf_456";"X.adpf_458";"X.adpf_470";"X.adpf_500";"X.adpf_503";"X.adpf_506";"X.adpf_507";"X.adpf_518";"X.adpf_533";"X.adpf_545";"X.adpf_546";"X.adpf_550";"X.adpf_551";"X.adpf_558";"X.adpf_563";"X.adpf_570";"X.adpf_571";"X.adpf_576";"X.adpf_579";"X.adpf_592";"X.adpf_601";"X.adpf_602";"X.adpf_603";"X.adpf_612";"X.adpf_617";"X.adpf_621";"X.adpf_629";"X.adpf_639";"X.adpf_645";"X.adpf_656";"X.adpf_658";"X.adpf_669";"X.adpf_671";"X.adpf_673";"X.adpf_678";"X.adpf_679";"X.adpf_684";"X.adpf_685";"X.adpf_686";"X.adpf_689";"X.adpf_693";"X.adpf_697";"X.adpf_704";"X.adpf_705";"X.adpf_710";"X.adpf_711";"X.adpf_712";"X.adpf_719";"X.adpf_721";"X.adpf_724";"X.adpf_726";"X.adpf_729";"X.adpf_730";"X.adpf_736";"X.adpf_737";"X.adpf_752";"X.adpf_753";"X.adpf_754";"X.adpf_755";"X.adpf_756";"X.adpf_757";"X.adpf_773";"X.adpf_776";"X.adpf_778";"X.adpf_780";"X.adpf_782";"X.adpf_784";"X.adpf_786";"X.adpf_790";"X.adpf_797";"X.adpf_799";"X.adpf_801";"X.adpf_803";"X.adpf_805";"X.adpf_806";"X.adpf_807";"X.adpf_813";"X.adpf_815";"X.adpf_816";"X.adpf_830";"X.adpf_831";"X.adpf_841";"X.adpf_843";"X.adpf_845";"X.adpf_864";"X.adpf_869";"X.adpf_874";"X.adpf_891";"X.adpf_894";"X.adpf_895";"X.adpf_906";"X.adpf_908";"X.adpf_911";"X.adpf_921";"X.adpf_922";"X.adpf_923";"X.adpf_924";"X.adpf_930";"X.adpf_932";"X.adpf_939";"X.adpf_940";"X.adpf_952";"X.adpf_954";"X.adpf_958";"X.adpf_960";"X.adpf_963";"X.adpf_978";"X.adpf_980";"X.adpf_986";"X.adpf_993";"X.adpf_996";"X.adpf_997";"X.adpf_998";"X.adpf_999"
"subscritor";-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9;-1;-1;-1
"relogio";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;184;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"guardar";-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;-1;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;18;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;5;1;-1;-1;-1;-1;2;2;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;4;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"compensatorio";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;23;-1;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9;9;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"prazo";11;-2;1;-1;-1;-1;-1;-1;-1;-1;-2;-1;-1;-1;-3;-2;-1;-1;-2;-1;-1;-1;-1;-1;-1;1;-2;-1;-1;2;3;-1;-1;-1;-1;1;-1;-2;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;2;1;2;-2;1;-1;-1;1;-1;-1;-1;-1;-2;-1;-2;1;116;-2;-1;-2;-3;-1;-2;43;18;-2;-3;3;-1;-1;-1;-1;-2;-1;1;-2;-1;-1;9;-2;-1;-1;-1;-1;-1;-2;-1;-1;-1;-1;-2;-1;-1;-2;-1;1;-2;-3;-1;-1;-1;-1;-1;-1;-1;-1;-2;-2;-1;-1;-1;-1;2;-2;-1;-1;1;-1;7;-3;5;1;-1;-2;-1;-1;-1;2;-1;1;-1;-1;-1;62;-1;1;-1;-1;-2;-1;-2;-2;4;4;-1;1;-1;-1
"igual";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;3;3;-1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-1;1;-1;-1;-1;2;-1;-1;1;-1;7;7;-1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1
"adequado";-1;-2;1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;2;3;-1;1;-1;4;-1;-1;-1;-1;2;-1;-1;-1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;1;13;1;-1;-1;-1;1;2;1;1;1;-1;-2;-1;1;-2;1;1;2;1;3;1;1;-1;2;-1;-1;-1;-1;-1;1;6;4;1;1;2;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;1;1;1;-1;1;1;1;1;-1;-1;-1;-1;2;2;3;1;5;1;-2;-1;1;-1;-1;-1;-1;-2;-1;-1;-1;1;-1;1;1;-1;-1;2;5;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;1
"estrangeiro";-1;-1;-1;-1;-1;1;-1;-1;-1;-1;9;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15;-1;12;-1;-1;-1;-1;-1;-1;140;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"regional";-1;-1;-1;-1;-1;-1;12;-1;-1;-1;7;29;-1;-1;-2;-1;1;16;-1;18;-1;-1;3;38;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;58;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;6;-2;-1;-1;-1;-1;8;6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;62;-1;-1;-2;-2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1;1;-1;-1;-2;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-2;-1;-3;2;-1;9;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-2;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-2;-1;70;-1;-1;24
"atingir";-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;25;-1;7;1;-1;3;-1;-1;-1;-1;1;-1;-1;-1;-1;2;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;48;-1;-1;-1;5;-1;-1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
