"";"*adpf_1003";"*adpf_1016";"*adpf_1021";"*adpf_1035";"*adpf_1041";"*adpf_1045";"*adpf_1048";"*adpf_1061";"*adpf_1065";"*adpf_1067";"*adpf_1072";"*adpf_1074";"*adpf_1093";"*adpf_1112";"*adpf_1124";"*adpf_1127";"*adpf_1129";"*adpf_1131";"*adpf_1134";"*adpf_1140";"*adpf_1177";"*adpf_1195";"*adpf_340";"*adpf_343";"*adpf_344";"*adpf_350";"*adpf_355";"*adpf_360";"*adpf_365";"*adpf_375";"*adpf_382";"*adpf_383";"*adpf_390";"*adpf_397";"*adpf_407";"*adpf_409";"*adpf_410";"*adpf_412";"*adpf_417";"*adpf_426";"*adpf_436";"*adpf_450";"*adpf_456";"*adpf_458";"*adpf_470";"*adpf_500";"*adpf_503";"*adpf_506";"*adpf_507";"*adpf_518";"*adpf_533";"*adpf_545";"*adpf_546";"*adpf_550";"*adpf_551";"*adpf_558";"*adpf_563";"*adpf_570";"*adpf_571";"*adpf_576";"*adpf_579";"*adpf_592";"*adpf_601";"*adpf_602";"*adpf_603";"*adpf_612";"*adpf_617";"*adpf_621";"*adpf_629";"*adpf_639";"*adpf_645";"*adpf_656";"*adpf_658";"*adpf_669";"*adpf_671";"*adpf_673";"*adpf_678";"*adpf_679";"*adpf_684";"*adpf_685";"*adpf_686";"*adpf_689";"*adpf_693";"*adpf_697";"*adpf_704";"*adpf_705";"*adpf_710";"*adpf_711";"*adpf_712";"*adpf_719";"*adpf_721";"*adpf_724";"*adpf_726";"*adpf_729";"*adpf_730";"*adpf_736";"*adpf_737";"*adpf_752";"*adpf_753";"*adpf_754";"*adpf_755";"*adpf_756";"*adpf_757";"*adpf_773";"*adpf_776";"*adpf_778";"*adpf_780";"*adpf_782";"*adpf_784";"*adpf_786";"*adpf_790";"*adpf_797";"*adpf_799";"*adpf_801";"*adpf_803";"*adpf_805";"*adpf_806";"*adpf_807";"*adpf_813";"*adpf_815";"*adpf_816";"*adpf_830";"*adpf_831";"*adpf_841";"*adpf_843";"*adpf_845";"*adpf_864";"*adpf_869";"*adpf_874";"*adpf_891";"*adpf_894";"*adpf_895";"*adpf_906";"*adpf_908";"*adpf_911";"*adpf_921";"*adpf_922";"*adpf_923";"*adpf_924";"*adpf_930";"*adpf_932";"*adpf_939";"*adpf_940";"*adpf_952";"*adpf_954";"*adpf_958";"*adpf_960";"*adpf_963";"*adpf_978";"*adpf_980";"*adpf_986";"*adpf_993";"*adpf_996";"*adpf_997";"*adpf_998";"*adpf_999"
"adv";112;334;161;18;91;103;72;111;156;125;373;40;124;16;802;213;105;72;202;179;79;1;120;71;54;111;108;49;70;240;329;11;43;36;5;58;22;195;72;42;95;134;80;102;88;59;226;42;60;366;202;228;63;115;126;29;90;205;121;47;208;73;247;63;551;163;103;212;352;99;431;387;94;262;411;220;22;68;120;153;284;110;124;191;246;54;55;372;44;158;167;45;150;169;90;69;192;124;192;1515;120;2628;51;94;526;334;72;271;16;88;76;25;24;66;144;182;59;72;173;23;31;223;110;68;624;23;192;476;559;146;86;288;49;49;109;116;56;203;98;87;137;463;106;66;140;112;174;126;110;219;315;208;61;96;166;54
"nom";765;1787;1280;92;454;578;506;501;859;642;2364;190;707;185;3945;1154;543;437;964;1204;575;9;437;464;449;685;818;335;279;2236;1708;44;305;282;64;301;125;921;302;497;620;923;376;657;690;473;1098;315;431;2282;1018;1327;503;728;637;312;399;1228;521;205;968;688;1362;276;3027;702;602;1263;1920;652;2232;2840;499;1388;1757;889;166;245;961;668;1412;624;843;1057;1136;395;526;2094;259;636;663;362;755;1004;488;312;884;567;876;7803;1026;14587;323;585;2733;1808;381;1572;142;507;479;144;131;379;738;913;306;438;700;130;159;884;829;290;3414;125;855;2430;3654;689;330;1847;405;402;877;928;576;1004;611;572;697;2449;666;334;675;721;949;652;782;1432;2380;840;305;828;1007;334
"pre";269;782;480;34;194;221;151;229;358;285;932;80;279;66;1515;493;236;182;349;480;219;1;224;193;165;247;283;121;122;750;789;13;129;95;24;104;49;384;108;197;246;355;147;288;269;183;435;128;182;950;413;480;205;231;237;120;166;611;300;89;393;257;543;125;1264;283;246;512;878;185;887;1074;208;579;823;344;68;112;423;265;573;255;342;399;473;144;186;933;84;284;291;145;297;394;197;130;368;252;337;3419;354;6578;145;224;1195;748;143;627;49;251;197;66;60;159;348;394;127;175;280;59;53;365;314;156;1365;54;343;960;1478;282;165;724;140;145;266;363;184;409;223;244;259;1003;280;141;270;299;422;285;365;536;930;360;125;299;383;124
"ver";735;1768;1237;84;466;601;481;565;824;731;2212;170;684;182;3730;1211;536;436;888;1176;546;10;502;443;454;669;914;323;284;2325;1863;45;257;295;62;284;121;892;341;468;620;922;364;748;917;452;1114;330;448;2097;984;1214;529;648;666;281;424;1370;629;188;940;632;1392;304;2887;670;554;1285;1952;659;2189;2701;485;1274;1939;924;163;283;856;663;1396;573;835;1045;1126;387;520;1911;304;658;690;376;742;933;471;317;903;527;930;7561;877;13931;299;604;2605;1876;383;1564;137;514;489;136;125;377;770;954;319;477;740;124;144;903;725;339;3303;110;871;2334;3578;660;407;1751;433;434;832;942;476;955;607;577;693;2418;625;379;669;676;975;614;767;1545;2273;866;327;1039;1020;299
"ono";80;215;147;8;65;52;65;63;134;96;268;28;78;16;413;161;64;49;124;124;65;1;75;69;36;123;129;31;35;185;213;3;48;46;7;43;18;122;51;44;80;104;44;79;88;57;146;43;48;247;127;151;52;53;87;35;62;138;77;19;106;87;152;35;380;111;85;148;348;50;265;384;71;160;208;126;24;33;84;105;201;85;87;127;125;41;50;249;40;86;89;57;94;129;48;41;109;78;103;886;120;1709;39;76;367;288;51;138;16;62;59;19;16;34;132;125;37;57;90;15;20;112;76;45;424;18;87;306;482;105;53;227;45;43;107;101;64;111;64;73;86;272;89;38;76;102;172;86;105;183;246;100;39;113;115;35
"pro_per";5;9;0;1;0;7;2;6;1;6;15;0;3;0;25;2;5;0;5;1;0;0;3;1;1;6;1;1;0;8;10;0;3;0;1;3;0;12;1;1;6;7;2;4;1;1;13;0;0;12;12;7;2;2;7;2;3;1;0;1;4;0;3;0;5;4;4;7;4;6;12;9;0;6;20;6;1;3;0;8;11;16;0;10;9;0;0;12;1;2;2;0;4;10;0;5;3;4;1;65;0;112;2;0;9;18;1;11;0;0;0;0;0;4;4;5;2;0;2;0;0;2;2;0;29;3;4;9;22;2;3;10;0;0;0;5;0;4;2;2;2;10;4;0;6;3;4;0;2;2;7;9;1;1;6;0
"ver_sup";163;379;354;24;127;135;90;141;199;158;520;47;163;32;1010;287;128;97;239;262;133;2;138;112;74;138;197;76;65;381;469;11;56;37;14;83;29;184;79;74;163;197;91;134;159;84;256;57;77;608;251;281;116;181;150;41;115;245;113;52;267;149;319;63;667;178;136;300;580;149;579;679;127;419;572;258;25;70;204;185;433;162;149;344;303;99;99;476;44;186;197;68;234;251;95;65;180;143;206;2043;263;4009;75;124;582;444;81;351;22;123;115;33;29;115;161;209;87;88;170;27;34;221;169;69;885;34;171;525;903;151;101;470;82;73;184;186;84;284;131;111;121;614;173;65;135;143;187;129;200;312;557;211;57;237;273;60
"nom_sup";68;123;60;6;18;21;29;49;62;60;150;15;56;16;261;94;17;44;105;50;29;0;55;61;15;50;29;31;16;199;143;2;27;9;1;6;12;47;11;43;46;101;11;87;77;99;95;33;18;148;78;116;52;26;67;14;25;95;81;4;79;47;54;16;229;51;36;84;106;38;109;166;21;35;320;66;2;14;40;23;98;14;87;36;49;10;60;137;26;36;36;29;39;82;23;21;24;23;78;316;60;1009;23;12;129;158;9;97;7;22;58;10;10;15;42;97;22;16;21;10;10;19;46;35;244;0;32;186;249;28;32;140;22;21;112;69;91;96;33;36;44;107;29;8;36;44;140;30;75;90;212;73;16;102;50;15
"art_def";8;53;11;2;1;3;5;4;13;1;21;0;5;0;91;20;9;3;15;20;5;0;9;1;1;9;21;2;10;8;14;0;3;0;0;3;0;5;3;1;7;2;3;5;2;2;17;0;4;48;16;14;3;12;5;0;9;5;8;3;6;0;15;3;32;3;8;17;29;6;54;61;5;38;27;17;0;5;6;17;24;30;8;20;11;2;2;22;1;10;10;0;10;10;6;5;13;16;4;131;7;319;2;5;68;9;9;19;0;10;1;5;4;20;5;15;1;1;11;4;1;11;11;3;28;1;13;22;78;4;10;23;1;1;11;10;1;19;8;9;7;42;10;5;4;7;5;8;3;34;37;8;1;4;17;1
"sw";2;24;11;0;6;3;1;2;2;4;25;3;9;2;28;11;3;6;5;6;0;0;5;4;4;1;13;2;1;23;19;0;1;2;2;1;1;5;2;2;5;3;0;2;3;7;1;0;2;10;7;3;7;2;3;2;1;2;1;4;3;6;2;1;49;3;1;4;4;4;6;17;3;1;2;2;0;1;2;0;9;0;3;3;13;2;8;21;1;5;5;1;4;8;5;16;5;11;3;38;2;66;1;4;29;12;1;4;1;1;10;0;0;2;2;9;1;0;6;0;1;5;2;1;12;0;11;9;23;2;0;3;0;0;6;1;6;2;0;3;6;10;4;1;2;2;46;2;5;15;17;3;2;4;6;4
